"","metabolites","adaptedDervLabel","File_Name_Neg","File_Name_Pos","rowID_full","rep_group","n","Site","Site_abv","group","Date","Time","sample_type","Sampling_Day","collection_depth_m","DNA_no","Before_mass_g","After_mass_g","vol_difference","vol_ml","SPE_label","Deriv_label","Deriv_mass_g","FCM_no","DOC_no","HOBO_temp_F","HOBO_lumens","Dry_shipper","Notes","Analyze_","matlabName","DateRun","filename","NPOC","TN","CINARSampleBox","AddedDetailFromNotesInsideSampleBox","Experiment","Sample_ID","Filtration_typeOrReef","TimeOrDay","TreatmentOrTimeCollected","IncubationOrTimeOfDay","Prochlorococcus","Synechococcus","Picoeukaryotes","Unpigmented_cells","date_time","concentration","LOD","LOQ","QuantFlag","LODflag","site_time","log2_concen"
"1","3'AMP","CINAR_BC_100","mtab_CINAR_BC_lumos_032822_43","mtab_CINAR_BC_lumos_032822_156","13","5",3,"LB_seagrass","SG","seagrass",2021-01-25,13:40:00,"peak_photo","Day4",3.6,282,2025.5,332.5,1693,1.65,184,"Deriv_100",55.1,300,86,81.621,336,NA,NA,1,"CINAR_BC_100","2-Apr-22","CINAR_86",80.82129562,5.857904996,1,"USVI 2021","Temporal",300,"LB_seagrass","1/25/2021",13:40:00,"peak_photo",14444,68110,1707,702000,2021-01-25 13:40:00,0.026542613,0.005030561,0.015244124,FALSE,FALSE,"LB_seagrass_peak_photo",0.0377935166698529
"2","3'AMP","CINAR_BC_45","mtab_CINAR_BC_lumos_032822_53","mtab_CINAR_BC_lumos_032822_166","50","17",3,"Yawzi","YZ","coral",2021-01-23,13:40:00,"peak_photo","Day2",8.1,239,1994.9,331.5,1663.4,1.62,146,"Deriv_45",58.5,253,45,81.09,416,NA,NA,1,"CINAR_BC_45","2-Apr-22","CINAR_45",84.43350133,6.24107083,1,"USVI 2021","Temporal",253,"Yawzi","1/23/2021",13:40:00,"peak_photo",17385,57460,1077,575000,2021-01-23 13:40:00,0.005434217,0.005030561,0.015244124,TRUE,FALSE,"Yawzi_peak_photo",0.007818692869026
"3","3'AMP","CINAR_BC_77","mtab_CINAR_BC_lumos_032822_46","mtab_CINAR_BC_lumos_032822_159","29","10",3,"Tektite","TK","coral",2021-01-23,05:55:00,"dawn","Day2",7.4,234,1921.2,328,1593.2,1.55,141,"Deriv_77",54.8,192,34,80.206,0,NA,NA,1,"CINAR_BC_77","31-Mar-22","CINAR_34",89.67781279,8.146896333,1,"USVI 2021","Temporal",192,"Tektite","1/23/2021",05:55:00,"dawn",21732,53482,998,529000,2021-01-23 05:55:00,0.006151198,0.005030561,0.015244124,TRUE,FALSE,"Tektite_dawn",0.00884712046568785
"4","3'AMP","CINAR_BC_85","mtab_CINAR_BC_lumos_032822_89","mtab_CINAR_BC_lumos_032822_202","17","6",3,"LB_seagrass","SG","seagrass",2021-01-25,06:44:00,"dawn","Day4",3.8,337,1924.6,331.8,1592.8,1.55,173,"Deriv_85",52.6,346,76,79.853,1,"cane5",NA,1,"CINAR_BC_85","1-Apr-22","CINAR_76",84.65941401,8.292664215,1,"USVI 2021","Temporal",346,"LB_seagrass","1/25/2021",06:44:00,"dawn",9192,46759,3165,629000,2021-01-25 06:44:00,0.011351364,0.005030561,0.015244124,TRUE,FALSE,"LB_seagrass_dawn",0.016284305880436
"5","3'AMP","CINAR_BC_98","mtab_CINAR_BC_lumos_032822_91","mtab_CINAR_BC_lumos_032822_204","40","13",3,"Tektite","TK","coral",2021-01-25,13:00:00,"peak_photo","Day4",9.1,270,1967.1,332.4,1634.7,1.59,183,"Deriv_98",56.5,288,80,81.266,960,NA,NA,1,"CINAR_BC_98","1-Apr-22","CINAR_80",87.3442488,9.023692114,1,"USVI 2021","Temporal",288,"Tektite","1/25/2021",13:00:00,"peak_photo",23439,55714,1392,591000,2021-01-25 13:00:00,0.013291501,0.005030561,0.015244124,TRUE,FALSE,"Tektite_peak_photo",0.0190492645145552
"6","3'AMP","CINAR_BC_101","mtab_CINAR_BC_lumos_032822_85","mtab_CINAR_BC_lumos_032822_198","47","16",3,"Tektite","TK","coral",2021-01-26,05:54:00,"dawn","Day5",9.4,312,1980.4,352.3,1628.1,1.59,191,"Deriv_101",52.3,335,94,80.206,0,NA,NA,1,"CINAR_BC_101","31-Mar-22","CINAR_94",84.68748536,6.587480067,1,"USVI 2021","Temporal",335,"Tektite","1/26/2021",05:54:00,"dawn",25040,45616,1142,462000,2021-01-26 05:54:00,0.010906534,0.005030561,0.015244124,TRUE,FALSE,"Tektite_dawn",0.015649615274432
"7","3'AMP","CINAR_BC_99","mtab_CINAR_BC_lumos_032822_26","mtab_CINAR_BC_lumos_032822_139","15","5",3,"LB_seagrass","SG","seagrass",2021-01-25,13:40:00,"peak_photo","Day4",3.6,273,1805.1,332,1473.1,1.44,181,"Deriv_99",55.4,297,85,81.621,336,NA,NA,1,"CINAR_BC_99","1-Apr-22","CINAR_85",80.70281538,7.647374156,1,"USVI 2021","Temporal",297,"LB_seagrass","1/25/2021",13:40:00,"peak_photo",13538,68582,1668,704000,2021-01-25 13:40:00,0.010245414,0.005030561,0.015244124,TRUE,FALSE,"LB_seagrass_peak_photo",0.0147058024350325
"8","3'AMP","CINAR_BC_69","mtab_CINAR_BC_lumos_032822_52","mtab_CINAR_BC_lumos_032822_165","58","19",3,"Yawzi","YZ","coral",2021-01-24,13:37:00,"peak_photo","Day3",8.9,274,1955.2,332.2,1623,1.58,168,"Deriv_69",55.4,263,62,81.09,432,"cane4",NA,1,"CINAR_BC_69","1-Apr-22","CINAR_62",79.24735231,9.240292973,1,"USVI 2021","Temporal",263,"Yawzi","1/24/2021",13:37:00,"peak_photo",16492,56633,1339,569000,2021-01-24 13:37:00,0.043379682,0.005030561,0.015244124,FALSE,FALSE,"Yawzi_peak_photo",0.0612642447814898
"9","3'AMP","CINAR_BC_86","mtab_CINAR_BC_lumos_032822_58","mtab_CINAR_BC_lumos_032822_171","68","22",3,"Yawzi","YZ","coral",2021-01-25,06:29:00,"dawn","Day4",8.4,325,2141,332.3,1808.7,1.76,177,"Deriv_86",54.9,355,74,80.206,0,"cane5",NA,1,"CINAR_BC_86","1-Apr-22","CINAR_74",77.8766735,8.576952843,1,"USVI 2021","Temporal",355,"Yawzi","1/25/2021",06:29:00,"dawn",25132,68070,1681,620000,2021-01-25 06:29:00,0.000503056,0.005030561,0.015244124,TRUE,TRUE,"Yawzi_dawn",0.000725573909632558
"10","3'AMP","CINAR_BC_62","mtab_CINAR_BC_lumos_032822_94","mtab_CINAR_BC_lumos_032822_207","37","12",3,"Tektite","TK","coral",2021-01-24,06:02:00,"dawn","Day3",6.6,275,1937.9,332.5,1605.4,1.57,157,"Deriv_62",54.4,251,53,80.382,0,NA,NA,1,"CINAR_BC_62","1-Apr-22","CINAR_53",87.16054958,7.868487533,1,"USVI 2021","Temporal",251,"Tektite","1/24/2021",06:02:00,"dawn",24607,62949,1129,540000,2021-01-24 06:02:00,0.000503056,0.005030561,0.015244124,TRUE,TRUE,"Tektite_dawn",0.000725573909632558
