"","metabolites","LOD","LODflag","LOQ","QuantFlag","adaptedDervLabel","File_Name_Neg","File_Name_Pos","rowID_full","rep_group","n","Site","Site_abv","group","Date","Time","date_time","sample_type","Sampling_Day","collection_depth_m","DNA_no","Before_mass_g","After_mass_g","vol_difference","vol_ml","SPE_label","Deriv_label","Deriv_mass_g","FCM_no","DOC_no","HOBO_temp_F","HOBO_lumens","Dry_shipper","Notes","Analyze_","matlabName","DateRun","filename","NPOC","TN","CINARSampleBox","AddedDetailFromNotesInsideSampleBox","Experiment","Sample_ID","Filtration_typeOrReef","TimeOrDay","TreatmentOrTimeCollected","IncubationOrTimeOfDay","Prochlorococcus","Synechococcus","Picoeukaryotes","Unpigmented_cells","concentration"
"1","2'deoxycytidine",0.124174896,TRUE,0.376287562,FALSE,"CINAR_BC_53","mtab_CINAR_BC_lumos_032822_77","mtab_CINAR_BC_lumos_032822_190","60","20",3,"Yawzi","YZ","coral","01/24/2021",06:26:00,2021-01-24 06:26:00,"dawn","Day3",8.8,284,1979.3,331.4,1647.9,1.61,154,"Deriv_53",54.6,246,50,80.382,0,NA,NA,1,"CINAR_BC_53","01-Apr-2022","CINAR_50",87.2170724126155,9.54714418977565,1,"USVI 2021","Temporal",246,"Yawzi","01/24/2021",06:26:00,"dawn",27207,74924,1668,657000,0.352261510096282
"2","2'deoxycytidine",0.124174896,FALSE,0.376287562,FALSE,"CINAR_BC_118","mtab_CINAR_BC_lumos_032822_61","mtab_CINAR_BC_lumos_032822_174","71","23",3,"Yawzi","YZ","coral","01/26/2021",13:28:00,2021-01-26 13:28:00,"peak_photo","Day5",8.8,323,1993.2,329.1,1664.1,1.62,202,"Deriv_118",56.4,348,105,81.09,464,NA,NA,1,"CINAR_BC_118","31-Mar-2022","CINAR_105",91.7657539395974,7.32082717592966,1,"USVI 2021","Temporal",348,"Yawzi","01/26/2021",13:28:00,"peak_photo",21902,61465,1536,660000,0.0705375494370725
"3","2'deoxycytidine",0.124174896,FALSE,0.376287562,FALSE,"CINAR_BC_62","mtab_CINAR_BC_lumos_032822_94","mtab_CINAR_BC_lumos_032822_207","37","12",3,"Tektite","TK","coral","01/24/2021",06:02:00,2021-01-24 06:02:00,"dawn","Day3",6.6,275,1937.9,332.5,1605.4,1.57,157,"Deriv_62",54.4,251,53,80.382,0,NA,NA,1,"CINAR_BC_62","01-Apr-2022","CINAR_53",87.1605495750247,7.86848753320185,1,"USVI 2021","Temporal",251,"Tektite","01/24/2021",06:02:00,"dawn",24607,62949,1129,540000,0.0705375494370725
"4","2'deoxycytidine",0.124174896,TRUE,0.376287562,FALSE,"CINAR_BC_36","mtab_CINAR_BC_lumos_032822_83","mtab_CINAR_BC_lumos_032822_196","28","10",3,"Tektite","TK","coral","01/23/2021",05:55:00,2021-01-23 05:55:00,"dawn","Day2",7.4,231,2114.3,333.3,1781,1.74,140,"Deriv_36",55.6,195,36,80.206,0,NA,NA,1,"CINAR_BC_36","31-Mar-2022","CINAR_36",78.0534595797351,6.93308042855745,1,"USVI 2021","Temporal",195,"Tektite","01/23/2021",05:55:00,"dawn",25828,63645,801,592000,0.293674045008969
"5","2'deoxycytidine",0.124174896,FALSE,0.376287562,FALSE,"CINAR_BC_100","mtab_CINAR_BC_lumos_032822_43","mtab_CINAR_BC_lumos_032822_156","13","5",3,"LB_seagrass","SG","seagrass","01/25/2021",13:40:00,2021-01-25 13:40:00,"peak_photo","Day4",3.6,282,2025.5,332.5,1693,1.65,184,"Deriv_100",55.1,300,86,81.621,336,NA,NA,1,"CINAR_BC_100","02-Apr-2022","CINAR_86",80.8212956157857,5.85790499627716,1,"USVI 2021","Temporal",300,"LB_seagrass","01/25/2021",13:40:00,"peak_photo",14444,68110,1707,702000,0.0705375494370725
"6","2'deoxycytidine",0.124174896,FALSE,0.376287562,FALSE,"CINAR_BC_120","mtab_CINAR_BC_lumos_032822_32","mtab_CINAR_BC_lumos_032822_145","21","7",3,"LB_seagrass","SG","seagrass","01/26/2021",13:49:00,2021-01-26 13:49:00,"peak_photo","Day5",3.6,332,1940.2,332.6,1607.6,1.57,203,"DerIv_120",53.7,354,97,82.686,2304,NA,NA,1,"CINAR_BC_120","01-Apr-2022","CINAR_97",83.2463430718624,9.01466707828181,1,"USVI 2021","Temporal",354,"LB_seagrass","01/26/2021",13:49:00,"peak_photo",13052,59850,1497,745000,0.0705375494370725
"7","2'deoxycytidine",0.124174896,TRUE,0.376287562,FALSE,"CINAR_BC_88","mtab_CINAR_BC_lumos_032822_112","mtab_CINAR_BC_lumos_032822_225","18","6",3,"LB_seagrass","SG","seagrass","01/25/2021",06:44:00,2021-01-25 06:44:00,"dawn","Day4",3.8,328,1822.2,331.6,1490.6,1.45,170,"Deriv_87, Deriv_88, Deriv_89*",NA,343,77,79.853,1,"cane5",NA,1,"CINAR_BC_88","02-Apr-2022","CINAR_77",81.5321312780007,7.12324333077394,1,"USVI 2021","Temporal",343,"LB_seagrass","01/25/2021",06:44:00,"dawn",14024,65339,3467,716000,0.214275781276519
"8","2'deoxycytidine",0.124174896,FALSE,0.376287562,FALSE,"CINAR_BC_75","mtab_CINAR_BC_lumos_032822_71","mtab_CINAR_BC_lumos_032822_184","41","14",3,"Tektite","TK","coral","01/25/2021",06:03:00,2021-01-25 06:03:00,"dawn","Day4",9.6,322,1894.1,332,1562.1,1.52,171,"Deriv_75",52.7,302,70,80.382,0,"cane5",NA,1,"CINAR_BC_75","01-Apr-2022","CINAR_70",88.3192677456359,10.8557743790401,1,"USVI 2021","Temporal",302,"Tektite","01/25/2021",06:03:00,"dawn",31514,56922,1694,511000,0.0705375494370725
"9","2'deoxycytidine",0.124174896,FALSE,0.376287562,FALSE,"CINAR_BC_60","mtab_CINAR_BC_lumos_032822_76","mtab_CINAR_BC_lumos_032822_189","36","12",3,"Tektite","TK","coral","01/24/2021",06:02:00,2021-01-24 06:02:00,"dawn","Day3",6.6,278,1852.2,332.6,1519.6,1.48,152,"Deriv_58, Deriv_59*, Deriv_60",NA,254,55,80.382,0,NA,NA,1,"CINAR_BC_60","31-Mar-2022","CINAR_55",100.38406421761,10.0097665761848,1,"USVI 2021","Temporal",254,"Tektite","01/24/2021",06:02:00,"dawn",24226,59982,1129,525000,0.0705375494370725
"10","2'deoxycytidine",0.124174896,TRUE,0.376287562,TRUE,"CINAR_BC_76","mtab_CINAR_BC_lumos_032822_69","mtab_CINAR_BC_lumos_032822_182","55","18",4,"Yawzi","YZ","coral","01/23/2021",06:20:00,2021-01-23 06:20:00,"dawn","Day2",8.2,222,2093.2,332,1761.2,1.72,137,"Deriv_76",55.5,210,32,80.382,0,NA,NA,1,"CINAR_BC_76","02-Apr-2022","CINAR_32",97.6347350547074,14.5727000042901,1,"USVI 2021","Temporal",210,"Yawzi","01/23/2021",06:20:00,"dawn",19591,64709,1090,648000,2.27712035777266
