contrast	hold	variable	asv_id	p_val	p_fdr	test	q_cutoff	p_adj	taxon_resolution
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00001	0.016050146311862655	0.31882203740041604	cc_da	0.003989567137017027	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00001	0.2574564488117473	0.9998300621891226	cc_dv	1.825135001626081e-4	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00001	0.015440279913380546	0.0600455329964799	cc_da	1.1211470090943884e-14	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00001	0.11050586334860323	0.7947339487399547	cc_dv	0.003811169536309327	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00001	0.8730370200691193	0.9862623762019521	cc_da	1.1513536282126479e-14	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00001	0.6430489312643531	0.9993841327412634	cc_dv	1.2079700037537759e-4	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00002	0.081937104310412	0.7570526820792997	cc_da	0.003989567137017027	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00002	0.9081229896039397	0.9998300621891226	cc_dv	1.825135001626081e-4	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00002	6.880357358100266e-24	2.7786058561558767e-22	cc_da	1.1211470090943884e-14	6.880357358100266e-24	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00002	0.29903392087093456	0.9988579185548043	cc_dv	0.003811169536309327	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00002	4.6654811059412087e-20	1.5551603686470696e-18	cc_da	1.1513536282126479e-14	4.6654811059412087e-20	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00002	0.3548318608393622	0.9993841327412634	cc_dv	1.2079700037537759e-4	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00003	1.5235103815445703e-12	9.994228102932382e-10	cc_da	0.003989567137017027	1.5235103815445703e-12	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00003	0.11681468702546793	0.7030315109055685	cc_dv	1.825135001626081e-4	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00003	7.457483400776295e-27	3.262648987839629e-25	cc_da	1.1211470090943884e-14	7.457483400776295e-27	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00003	2.7890076423904075e-7	1.4642290122549639e-4	cc_dv	0.003811169536309327	2.7890076423904075e-7	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00003	1.4697535481142494e-13	2.844684286672741e-12	cc_da	1.1513536282126479e-14	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00003	1.6635861338049218e-11	3.3271722676098436e-9	cc_dv	1.2079700037537759e-4	1.6635861338049218e-11	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00004	1.271086673899138e-4	0.00830264014167387	cc_da	0.003989567137017027	1.271086673899138e-4	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00004	0.7093019767242987	0.9998300621891226	cc_dv	1.825135001626081e-4	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00004	4.281019457549511e-21	1.3220795383608783e-19	cc_da	1.1211470090943884e-14	4.281019457549511e-21	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00004	0.6940005405175199	0.9988579185548043	cc_dv	0.003811169536309327	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00004	2.0484938169538964e-10	2.5606172711923703e-9	cc_da	1.1513536282126479e-14	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00004	0.4427546792003926	0.9993841327412634	cc_dv	1.2079700037537759e-4	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00005	0.016941829388447266	0.31882203740041604	cc_da	0.003989567137017027	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00005	0.8928966169614911	0.9998300621891226	cc_dv	1.825135001626081e-4	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00005	5.464312130453876e-27	2.607967153171168e-25	cc_da	1.1211470090943884e-14	5.464312130453876e-27	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00005	0.21058295015198414	0.9988579185548043	cc_dv	0.003811169536309327	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00005	8.032751783656333e-22	3.012281918871125e-20	cc_da	1.1513536282126479e-14	8.032751783656333e-22	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00005	0.26274427685245483	0.9328199178193662	cc_dv	1.2079700037537759e-4	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00006	2.7065020126053445e-9	8.87732660134553e-7	cc_da	0.003989567137017027	2.7065020126053445e-9	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00006	0.41712217025272486	0.9998300621891226	cc_dv	1.825135001626081e-4	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00006	5.539150002366246e-29	2.908053751242279e-27	cc_da	1.1211470090943884e-14	5.539150002366246e-29	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00006	6.024318961657876e-7	1.5813837274351923e-4	cc_dv	0.003811169536309327	6.024318961657876e-7	asv
