taxon_resolution	contrast	hold	variable	asv_id	test	metric	p_fdr	taxonomy
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00001	cc_da	p_fdr	0.026927989232335248	Cyanobacteria;Synechococcus CC9902
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00001	cc_da	p_fdr	0.06131291704546782	Cyanobacteria;Synechococcus CC9902
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00002	cc_da	p_fdr	4.268499143834945e-22	Alphaproteobacteria;SAR11 Clade Ia
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00002	cc_da	p_fdr	1.0006472659138903e-27	Alphaproteobacteria;SAR11 Clade Ia
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00002	cc_da	p_fdr	1.5899115000650863e-18	Alphaproteobacteria;SAR11 Clade Ia
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00002	cc_da	p_fdr	2.86497850704898e-22	Alphaproteobacteria;SAR11 Clade Ia
agg_genus	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00003	cc_da	p_fdr	4.884703111951536e-10	Alphaproteobacteria;HIMB11
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00003	cc_da	p_fdr	2.9327393852419835e-12	Alphaproteobacteria;HIMB11
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00003	cc_dv	p_fdr	3.0811704776059504e-9	Alphaproteobacteria;HIMB11
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00003	cc_da	p_fdr	3.0672105786795265e-25	Alphaproteobacteria;HIMB11
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00003	cc_dv	p_fdr	2.334857097410434e-5	Alphaproteobacteria;HIMB11
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00003	cc_da	p_fdr	1.0057304632856069e-9	Alphaproteobacteria;HIMB11
