grouping	median_dist	setome	site	sampling_time
all	0.24410549236975787	metabolome	all	all
LB_seagrass.dawn	0.10504367181182948	metabolome	LB_seagrass	dawn
Tektite.dawn	0.24058624387010896	metabolome	Tektite	dawn
Yawzi.dawn	0.09317008667336721	metabolome	Yawzi	dawn
LB_seagrass.peak_photo	0.13367419104942146	metabolome	LB_seagrass	peak_photo
Tektite.peak_photo	0.22185582134384624	metabolome	Tektite	peak_photo
Yawzi.peak_photo	0.2408674923214722	metabolome	Yawzi	peak_photo
LB_seagrass	0.1378801430915305	metabolome	LB_seagrass	all
Tektite	0.2428544703928662	metabolome	Tektite	all
Yawzi	0.18823665400471357	metabolome	Yawzi	all
all	0.12385918468955337	microbiome	all	all
LB_seagrass.dawn	0.08612342560518005	microbiome	LB_seagrass	dawn
Yawzi.dawn	0.045337957224635295	microbiome	Yawzi	dawn
Tektite.dawn	0.049077327692110706	microbiome	Tektite	dawn
LB_seagrass.peak_photo	0.16065860968773604	microbiome	LB_seagrass	peak_photo
Yawzi.peak_photo	0.03216735462423381	microbiome	Yawzi	peak_photo
Tektite.peak_photo	0.06462692040805956	microbiome	Tektite	peak_photo
LB_seagrass	0.10649086021351561	microbiome	LB_seagrass	all
Yawzi	0.042208497668664136	microbiome	Yawzi	all
Tektite	0.05292859642612735	microbiome	Tektite	all
