setome	set_label	sample_id	dispersion	metab_deriv_label	sample_type	sampling_date	sampling_time	sampling_day	site	grouping
microbiome	all	Metab_183	0.5463844229349815	CINAR_BC_48	seawater	20210123	peak_photo	Day2	LB_seagrass	all
microbiome	all	Metab_186	0.49109525962283473	CINAR_BC_47	seawater	20210123	peak_photo	Day2	Yawzi	all
microbiome	all	Metab_189	0.5617532913903606	CINAR_BC_52	seawater	20210123	peak_photo	Day2	LB_seagrass	all
microbiome	all	Metab_222	0.534367668415788	CINAR_BC_76	seawater	20210123	dawn	Day2	Yawzi	all
microbiome	all	Metab_225	0.48789429846898935	CINAR_BC_78	seawater	20210123	dawn	Day2	Yawzi	all
microbiome	all	Metab_227	0.49281956376944447	CINAR_BC_44	seawater	20210123	peak_photo	Day2	Tektite	all
microbiome	all	Metab_228	0.49354888142738296	CINAR_BC_38	seawater	20210123	dawn	Day2	Yawzi	all
microbiome	all	Metab_230	0.49453387160081447	CINAR_BC_46	seawater	20210123	peak_photo	Day2	Yawzi	all
microbiome	all	Metab_234	0.4882607109475709	CINAR_BC_77	seawater	20210123	dawn	Day2	Tektite	all
microbiome	all	Metab_236	0.5226254071162761	CINAR_BC_43	seawater	20210123	peak_photo	Day2	Tektite	all
microbiome	all	Metab_237	0.5194628064831448	CINAR_BC_37	seawater	20210123	dawn	Day2	LB_seagrass	all
microbiome	all	Metab_239	0.4903252422682203	CINAR_BC_45	seawater	20210123	peak_photo	Day2	Yawzi	all
microbiome	all	Metab_240	0.5130784591013215	CINAR_BC_41	seawater	20210123	dawn	Day2	LB_seagrass	all
microbiome	all	Metab_241	0.5270538375477034	CINAR_BC_79	seawater	20210123	dawn	Day2	Tektite	all
microbiome	all	Metab_261	0.4906525055876507	CINAR_BC_93	seawater	20210125	peak_photo	Day4	Tektite	all
microbiome	all	Metab_264	0.5045206434733406	CINAR_BC_90	seawater	20210125	peak_photo	Day4	Tektite	all
microbiome	all	Metab_266	0.48893035384411043	CINAR_BC_72	seawater	20210124	peak_photo	Day3	Tektite	all
microbiome	all	Metab_267	0.5016922774245659	CINAR_BC_97	seawater	20210125	peak_photo	Day4	Yawzi	all
