setome	grouping	set_label	site	sampling_time	med_disp	mean_disp
metabolome	all	all	LB_seagrass	dawn	0.34772231003114795	0.34852127426041984
metabolome	all	all	LB_seagrass	peak_photo	0.34725500196075415	0.34632802520147515
metabolome	all	all	Yawzi	dawn	0.32267579683964476	0.3280127531894156
metabolome	all	all	Yawzi	peak_photo	0.3605942441991138	0.36355258301388027
metabolome	all	all	Tektite	dawn	0.3588444207885012	0.37152200939713115
metabolome	all	all	Tektite	peak_photo	0.3416453385777762	0.35259512875047927
metabolome	site	LB_seagrass.daily	LB_seagrass	dawn	0.10038911601997341	0.11072799800257747
metabolome	site	LB_seagrass.daily	LB_seagrass	peak_photo	0.10770026541874347	0.11737402368601257
metabolome	site	Yawzi.daily	Yawzi	dawn	0.14440444987845039	0.1667790851361101
metabolome	site	Yawzi.daily	Yawzi	peak_photo	0.23036396940503678	0.23222972564373728
metabolome	site	Tektite.daily	Tektite	dawn	0.23743719694267085	0.2638455633684723
metabolome	site	Tektite.daily	Tektite	peak_photo	0.2545213521649639	0.2515540978529569
metabolome	site.time	LB_seagrass.dawn	LB_seagrass	dawn	0.07855119536840768	0.09312975240334381
metabolome	site.time	LB_seagrass.peak_photo	LB_seagrass	peak_photo	0.09055083673548057	0.09413032212922301
metabolome	site.time	Yawzi.dawn	Yawzi	dawn	0.07715084543820325	0.1028334194779304
metabolome	site.time	Yawzi.peak_photo	Yawzi	peak_photo	0.22272243317356508	0.21902013876465126
metabolome	site.time	Tektite.dawn	Tektite	dawn	0.16637641341515164	0.20418289035918155
metabolome	site.time	Tektite.peak_photo	Tektite	peak_photo	0.19812020359901836	0.20893963027150997
microbiome	all	all	LB_seagrass	dawn	0.5190688861650223	0.5232074006731515
microbiome	all	all	LB_seagrass	peak_photo	0.5249260746121851	0.522718973900517
microbiome	all	all	Yawzi	dawn	0.4935140455412572	0.49610486035662027
microbiome	all	all	Yawzi	peak_photo	0.4931534334168536	0.495402787276898
microbiome	all	all	Tektite	dawn	0.4970279160359057	0.5021753823734754
microbiome	all	all	Tektite	peak_photo	0.4948475537185645	0.510826490643093
microbiome	site	LB_seagrass.daily	LB_seagrass	dawn	0.20509025888075189	0.22064601315168186
microbiome	site	LB_seagrass.daily	LB_seagrass	peak_photo	0.2293983049478219	0.24040851977351466
microbiome	site	Yawzi.daily	Yawzi	dawn	0.20386569715330466	0.21015141276065588
microbiome	site	Yawzi.daily	Yawzi	peak_photo	0.20046136647170004	0.20257869120561278
microbiome	site	Tektite.daily	Tektite	dawn	0.19538221122230828	0.20266794655548004
microbiome	site	Tektite.daily	Tektite	peak_photo	0.2016947671503192	0.20713594594470913
microbiome	site.time	LB_seagrass.dawn	LB_seagrass	dawn	0.10580534128939727	0.11345005249459975
microbiome	site.time	LB_seagrass.peak_photo	LB_seagrass	peak_photo	0.17873015336044554	0.19468967628287098
microbiome	site.time	Yawzi.dawn	Yawzi	dawn	0.1359697153400825	0.13994743971657864
microbiome	site.time	Yawzi.peak_photo	Yawzi	peak_photo	0.09091094706623506	0.0955440577849246
microbiome	site.time	Tektite.dawn	Tektite	dawn	0.09246808674707535	0.10236125814724775
microbiome	site.time	Tektite.peak_photo	Tektite	peak_photo	0.15395587228692242	0.16301418660398914
