site	grouping	sampling_time	mean_disp	setome
LB_seagrass	all	dawn	0.3034164719026766	metabolome
LB_seagrass	all	peak_photo	0.3031573063712955	metabolome
Yawzi	all	dawn	0.30818564527693887	metabolome
Yawzi	all	peak_photo	0.34552591197086185	metabolome
Tektite	all	dawn	0.34581732947073524	metabolome
Tektite	all	peak_photo	0.33648133646563466	metabolome
LB_seagrass	site	dawn	0.10250468125305243	metabolome
LB_seagrass	site	peak_photo	0.1063921809364767	metabolome
Yawzi	site	dawn	0.16178679815328373	metabolome
Yawzi	site	peak_photo	0.22379230796471236	metabolome
Tektite	site	dawn	0.25377256756985045	metabolome
Tektite	site	peak_photo	0.24266427348012684	metabolome
LB_seagrass	site.time	dawn	0.09312975240334373	metabolome
LB_seagrass	site.time	peak_photo	0.09413032212922298	metabolome
Yawzi	site.time	dawn	0.10283341947793037	metabolome
Yawzi	site.time	peak_photo	0.2190201387646513	metabolome
Tektite	site.time	dawn	0.2041828903591816	metabolome
Tektite	site.time	peak_photo	0.20893963027150989	metabolome
LB_seagrass	all	dawn	0.479742797192616	microbiome
LB_seagrass	all	peak_photo	0.48700924468725926	microbiome
Tektite	all	dawn	0.4784599459135339	microbiome
Tektite	all	peak_photo	0.48030542765325623	microbiome
Yawzi	all	dawn	0.4786360638134333	microbiome
Yawzi	all	peak_photo	0.47530110836256667	microbiome
LB_seagrass	site	dawn	0.21520231964738817	microbiome
LB_seagrass	site	peak_photo	0.23323141858906676	microbiome
Tektite	site	dawn	0.19852165528779267	microbiome
Tektite	site	peak_photo	0.20287612444937703	microbiome
Yawzi	site	dawn	0.2044403930950203	microbiome
Yawzi	site	peak_photo	0.19705621449286415	microbiome
LB_seagrass	site.time	dawn	0.11345005249459972	microbiome
LB_seagrass	site.time	peak_photo	0.194689676282871	microbiome
Tektite	site.time	dawn	0.10236125814724778	microbiome
Tektite	site.time	peak_photo	0.16301418660398903	microbiome
Yawzi	site.time	dawn	0.13994743971657858	microbiome
Yawzi	site.time	peak_photo	0.09554405778492463	microbiome
