sample_id	dispersion	metab_deriv_label	sample_type	sampling_date	sampling_time	sampling_day	site
Metab_183	0.23360592286550158	CINAR_BC_48	seawater	20210123	peak_photo	Day2	LB_seagrass
Metab_189	0.24302761974942225	CINAR_BC_52	seawater	20210123	peak_photo	Day2	LB_seagrass
Metab_237	0.2046865308963643	CINAR_BC_37	seawater	20210123	dawn	Day2	LB_seagrass
Metab_240	0.20455854508425933	CINAR_BC_41	seawater	20210123	dawn	Day2	LB_seagrass
Metab_272	0.20273170344791863	CINAR_BC_57	seawater	20210124	dawn	Day3	LB_seagrass
Metab_273	0.24403320234144316	CINAR_BC_99	seawater	20210125	peak_photo	Day4	LB_seagrass
Metab_279	0.25917292689595706	CINAR_BC_95	seawater	20210125	peak_photo	Day4	LB_seagrass
Metab_281	0.2533902566869238	CINAR_BC_63	seawater	20210124	dawn	Day3	LB_seagrass
Metab_282	0.2293983049478219	CINAR_BC_100	seawater	20210125	peak_photo	Day4	LB_seagrass
Metab_286	0.21707547059518129	CINAR_BC_70	seawater	20210124	peak_photo	Day3	LB_seagrass
Metab_287	0.22958663840630475	CINAR_BC_54	seawater	20210124	dawn	Day3	LB_seagrass
Metab_289	0.22196715716344834	CINAR_BC_74	seawater	20210124	peak_photo	Day3	LB_seagrass
Metab_309	0.23692769182789308	CINAR_BC_109	seawater	20210126	dawn	Day5	LB_seagrass
Metab_318	0.20159982776165386	CINAR_BC_110	seawater	20210126	dawn	Day5	LB_seagrass
Metab_324	0.20549398686513945	CINAR_BC_103	seawater	20210126	dawn	Day5	LB_seagrass
Metab_326	0.3436938881962552	CINAR_BC_117	seawater	20210126	peak_photo	Day5	LB_seagrass
Metab_328	0.20088634018079451	CINAR_BC_87	seawater	20210125	dawn	Day4	LB_seagrass
Metab_329	0.22294616583658555	CINAR_BC_119	seawater	20210126	peak_photo	Day5	LB_seagrass
Metab_332	0.207594238204289	CINAR_BC_120	seawater	20210126	peak_photo	Day5	LB_seagrass
Metab_334	0.2405703632942793	CINAR_BC_83	seawater	20210125	dawn	Day4	LB_seagrass
Metab_337	0.19813148238624045	CINAR_BC_85	seawater	20210125	dawn	Day4	LB_seagrass
Metab_219	0.26918879098241094	CINAR_BC_81B	seawater	20210123	dawn	Day2	LB_seagrass
Metab_233	0.22197882071275604	CINAR_BC_49	seawater	20210123	peak_photo	Day2	LB_seagrass
Metab_186	0.19861734334637296	CINAR_BC_47	seawater	20210123	peak_photo	Day2	Yawzi
Metab_222	0.27741730769305173	CINAR_BC_76	seawater	20210123	dawn	Day2	Yawzi
Metab_225	0.19395887375256823	CINAR_BC_78	seawater	20210123	dawn	Day2	Yawzi
Metab_228	0.20970464789021911	CINAR_BC_38	seawater	20210123	dawn	Day2	Yawzi
Metab_230	0.20534182799190082	CINAR_BC_46	seawater	20210123	peak_photo	Day2	Yawzi
Metab_239	0.19625430595619958	CINAR_BC_45	seawater	20210123	peak_photo	Day2	Yawzi
Metab_267	0.2092902715978306	CINAR_BC_97	seawater	20210125	peak_photo	Day4	Yawzi
Metab_269	0.20241913887078392	CINAR_BC_71	seawater	20210124	peak_photo	Day3	Yawzi
Metab_271	0.2023053895970271	CINAR_BC_67	seawater	20210124	peak_photo	Day3	Yawzi
Metab_274	0.19431034511962925	CINAR_BC_69	seawater	20210124	peak_photo	Day3	Yawzi
Metab_276	0.19317211498875542	CINAR_BC_91	seawater	20210125	peak_photo	Day4	Yawzi
Metab_284	0.20852331820481362	CINAR_BC_53	seawater	20210124	dawn	Day3	Yawzi
Metab_285	0.21038505524661602	CINAR_BC_96	seawater	20210125	peak_photo	Day4	Yawzi
Metab_292	0.2005940335883976	CINAR_BC_61	seawater	20210124	dawn	Day3	Yawzi
Metab_295	0.21270901504222967	CINAR_BC_55	seawater	20210124	dawn	Day3	Yawzi
Metab_303	0.2071373607182117	CINAR_BC_107	seawater	20210126	dawn	Day5	Yawzi
Metab_306	0.19406229086495472	CINAR_BC_111	seawater	20210126	dawn	Day5	Yawzi
Metab_308	0.2297766967031542	CINAR_BC_113	seawater	20210126	peak_photo	Day5	Yawzi
Metab_313	0.19493929069834084	CINAR_BC_80	seawater	20210125	dawn	Day4	Yawzi
Metab_317	0.19521149144903005	CINAR_BC_114	seawater	20210126	peak_photo	Day5	Yawzi
Metab_323	0.19386031360005343	CINAR_BC_118	seawater	20210126	peak_photo	Day5	Yawzi
Metab_325	0.22872438299226655	CINAR_BC_86	seawater	20210125	dawn	Day4	Yawzi
Metab_327	0.19408500503727844	CINAR_BC_102	seawater	20210126	dawn	Day5	Yawzi
Metab_331	0.1999614266455384	CINAR_BC_82	seawater	20210125	dawn	Day4	Yawzi
Metab_227	0.19532954612858072	CINAR_BC_44	seawater	20210123	peak_photo	Day2	Tektite
Metab_234	0.19752543546009887	CINAR_BC_77	seawater	20210123	dawn	Day2	Tektite
Metab_236	0.20294225942171523	CINAR_BC_43	seawater	20210123	peak_photo	Day2	Tektite
Metab_241	0.28136457330019016	CINAR_BC_79	seawater	20210123	dawn	Day2	Tektite
Metab_261	0.2004472748789232	CINAR_BC_93	seawater	20210125	peak_photo	Day4	Tektite
Metab_264	0.1895460396321834	CINAR_BC_90	seawater	20210125	peak_photo	Day4	Tektite
Metab_266	0.20835191214756782	CINAR_BC_72	seawater	20210124	peak_photo	Day3	Tektite
Metab_270	0.18805189573902556	CINAR_BC_98	seawater	20210125	peak_photo	Day4	Tektite
Metab_275	0.1946471109810788	CINAR_BC_62	seawater	20210124	dawn	Day3	Tektite
Metab_277	0.1916571483647808	CINAR_BC_64	seawater	20210124	peak_photo	Day3	Tektite
Metab_278	0.2017353533420898	CINAR_BC_58	seawater	20210124	dawn	Day3	Tektite
Metab_283	0.19492908981503257	CINAR_BC_68	seawater	20210124	peak_photo	Day3	Tektite
Metab_290	0.19611731146353775	CINAR_BC_56	seawater	20210124	dawn	Day3	Tektite
Metab_311	0.2721356075149562	CINAR_BC_115	seawater	20210126	peak_photo	Day5	Tektite
Metab_312	0.18705349761445547	CINAR_BC_101	seawater	20210126	dawn	Day5	Tektite
Metab_314	0.22321253030917815	CINAR_BC_116	seawater	20210126	peak_photo	Day5	Tektite
Metab_315	0.18668338828672226	CINAR_BC_108	seawater	20210126	dawn	Day5	Tektite
Metab_316	0.2038141660130735	CINAR_BC_84	seawater	20210125	dawn	Day4	Tektite
Metab_319	0.2088285809671593	CINAR_BC_81A	seawater	20210125	dawn	Day4	Tektite
Metab_320	0.20518773609051985	CINAR_BC_112	seawater	20210126	peak_photo	Day5	Tektite
Metab_321	0.18714899396897705	CINAR_BC_104	seawater	20210126	dawn	Day5	Tektite
Metab_322	0.19377525333596093	CINAR_BC_75	seawater	20210125	dawn	Day4	Tektite
Metab_224	0.2138403112940463	CINAR_BC_42	seawater	20210123	peak_photo	Day2	Tektite
Metab_231	0.19332169393241644	CINAR_BC_36	seawater	20210123	dawn	Day2	Tektite
