sample_id	original_ID	sample_type	product_conc	site	sampling_date	sampling_time	sampling_day	dna_extracted	depth	fcm_label	doc_label	metab_spe_label	metab_deriv_label	fcm_Prochlorococcus	fcm_Synechococcus	fcm_Picoeukaryotes	fcm_Unpigmented_cells	batch	is.neg	dna_conc
Metab_179	179	seawater	33.4	Yawzi	20210122	peak_photo	Day1	20240724	7.8	211	24	127	CINAR_BC_25	18593	71537	1287	665000	2	FALSE	14.9
Metab_181	181	seawater	31	LB_seagrass	20210122	peak_photo	Day1	20240724	3.1	205	28	131	CINAR_BC_35	8115	35939	1313	676000	2	FALSE	20.4
Metab_183	183	seawater	31.4	LB_seagrass	20210123	peak_photo	Day2	20240724	3.8	268	40	148	CINAR_BC_48	2298	18882	1878	331000	2	FALSE	9.48
Metab_184	184	seawater	39	Tektite	20210122	peak_photo	Day1	20240724	7.8	208	25	128	CINAR_BC_31	19578	64630	998	591000	2	FALSE	16
Metab_185	185	seawater	26.2	Yawzi	20210122	dawn	Day1	20240723	8.3	209	18	124	CINAR_BC_20	19683	67112	1208	613000	2	FALSE	15.3
Metab_186	186	seawater	17.1	Yawzi	20210123	peak_photo	Day2	20240711	8.1	259	44	149	CINAR_BC_47	19145	67755	1392	617000	2	FALSE	7.72
Metab_186	186	seawater	17.1	Yawzi	20210123	peak_photo	Day2	20240711	8.1	259	44	149	CINAR_BC_50	19145	67755	1392	617000	2	FALSE	7.72
Metab_186	186	seawater	17.1	Yawzi	20210123	peak_photo	Day2	20240711	8.1	259	44	149	CINAR_BC_51	19145	67755	1392	617000	2	FALSE	7.72
Metab_187	187	seawater	37.4	Yawzi	20210122	peak_photo	Day1	20240724	7.8	226	23	129	CINAR_BC_32	16256	70644	959	639000	2	FALSE	22.2
Metab_188	188	seawater	19.8	Yawzi	20210122	dawn	Day1	20240723	8.3	212	17	119	CINAR_BC_21	18383	64932	1037	617000	2	FALSE	13.7
Metab_189	189	seawater	34.6	LB_seagrass	20210123	peak_photo	Day2	20240711	3.8	265	48	147	CINAR_BC_52	2298	17083	1458	343000	2	FALSE	4.08
Metab_190	190	seawater	44	Yawzi	20210122	peak_photo	Day1	20240724	7.8	202	27	126	CINAR_BC_33	19066	75634	1563	694000	2	FALSE	18.9
Metab_191	191	seawater	39.8	LB_seagrass	20210122	dawn	Day1	20240712	2.8	200	19	117	CINAR_BC_18	15967	63199	1497	594000	2	FALSE	8.52
Metab_193	193	seawater	45.8	LB_seagrass	20210122	peak_photo	Day1	20240724	3.1	223	30	125	CINAR_BC_34	6434	34048	1037	675000	2	FALSE	19.7
