Source,Target,Type,Weight
1,18,Undirected,0.34013620231610964
1,28,Undirected,0.28849886422425475
1,31,Undirected,0.29609474579174566
1,34,Undirected,0.3071202789788898
1,53,Undirected,0.293167895801137
1,83,Undirected,0.41089820855404335
1,85,Undirected,0.29735792617617185
1,90,Undirected,0.30198946584150155
1,131,Undirected,0.33945120213484137
2,11,Undirected,0.31372444220964835
2,12,Undirected,0.4687183894890329
2,19,Undirected,0.3005025866949437
2,24,Undirected,0.2150597797333338
2,26,Undirected,0.23626552886699925
2,57,Undirected,0.29203304559016596
2,64,Undirected,0.27234055395874934
2,100,Undirected,0.29045809304406656
3,8,Undirected,0.44533069982693996
3,12,Undirected,0.3683413734373363
3,14,Undirected,0.29876578613086946
3,19,Undirected,0.4147749919713787
3,30,Undirected,0.3098075006793546
3,45,Undirected,0.34150333262866484
3,49,Undirected,0.25641117916232403
3,63,Undirected,0.30311938809526073
3,80,Undirected,0.27414231990223303
4,5,Undirected,0.4768194285615409
4,14,Undirected,0.2434318271925069
4,18,Undirected,0.3511528295137081
4,33,Undirected,0.29953616111012304
4,35,Undirected,0.27555395333875676
4,55,Undirected,0.2791454267951323
4,58,Undirected,0.289219097310062
4,63,Undirected,0.2896496176491774
5,11,Undirected,0.2699231632801117
5,18,Undirected,0.34049830830125327
5,24,Undirected,0.40931122392797914
5,34,Undirected,0.29832573852625555
5,52,Undirected,0.33052160798322117
6,7,Undirected,0.5147446923731185
6,10,Undirected,0.3986165996833362
6,13,Undirected,0.33507987549744833
6,17,Undirected,0.3645726615283177
6,20,Undirected,0.27651646697623167
6,34,Undirected,0.4499136130162692
6,46,Undirected,0.3449003836451735
7,13,Undirected,0.39867233540942026
7,15,Undirected,0.28558580891518437
7,17,Undirected,0.4449079982486498
7,20,Undirected,0.2782675588386212
7,39,Undirected,0.2475089944210287
7,43,Undirected,0.2864499075584396
7,59,Undirected,0.2188433814916695
7,65,Undirected,0.2629132882459271
7,105,Undirected,0.29577936735174015
7,106,Undirected,0.3958175825179664
7,132,Undirected,0.34167816133135476
8,16,Undirected,0.4296067416958522
8,22,Undirected,0.4780048652979645
8,27,Undirected,0.41449353122388854
8,33,Undirected,0.28164021423072017
8,35,Undirected,0.37171857973897926
8,64,Undirected,0.2684889803114374
8,133,Undirected,0.28426985938741356
9,19,Undirected,0.30314543921567383
9,20,Undirected,0.317046812372202
9,25,Undirected,0.2281562812849246
9,29,Undirected,0.2871844478976058
9,30,Undirected,0.3267561206474061
9,37,Undirected,0.36999917355038314
9,39,Undirected,0.42566454270292975
9,57,Undirected,0.25555136261892275
9,59,Undirected,0.3032271639615788
9,60,Undirected,0.25749764646155227
9,69,Undirected,0.28945075796008957
9,71,Undirected,0.269444322975014
9,121,Undirected,0.26044210720420913
10,41,Undirected,0.3699013997975159
10,134,Undirected,0.27270807751984194
11,14,Undirected,0.3965338208390631
11,15,Undirected,0.5402487159896123
11,20,Undirected,0.3698356810819612
11,28,Undirected,0.3234478651482572
11,42,Undirected,0.43622970249642723
11,135,Undirected,0.2954959095486863
12,14,Undirected,0.2980591282261186
12,15,Undirected,0.3553796280277399
12,19,Undirected,0.2940832626550821
12,35,Undirected,0.31957570854366113
12,49,Undirected,0.2301377831689525
13,19,Undirected,0.22250150812734215
13,24,Undirected,0.3807134186901209
13,26,Undirected,0.2964331629116519
13,132,Undirected,0.3593898365316748
14,15,Undirected,0.29444764407392787
14,17,Undirected,0.2892764998197368
14,28,Undirected,0.4206523403904794
14,35,Undirected,0.3553833297347394
14,43,Undirected,0.37368194804763144
14,45,Undirected,0.32706954524937715
14,55,Undirected,0.38219372199003865
15,19,Undirected,0.32496718242473677
15,36,Undirected,0.3484998206598132
15,70,Undirected,0.33089281919036406
16,63,Undirected,0.33503987538186764
16,136,Undirected,0.28195300938212065
17,135,Undirected,0.2880409576443448
18,33,Undirected,0.32643770465480293
18,53,Undirected,0.3512194339217345
18,137,Undirected,0.20484417785617226
19,20,Undirected,0.36796951437543524
19,39,Undirected,0.3340799989393748
19,43,Undirected,0.30484360156523604
20,24,Undirected,0.26946544912369463
20,30,Undirected,0.3223926419535422
20,43,Undirected,0.34718465903286244
20,46,Undirected,0.2897164521180432
20,59,Undirected,0.2944579106693349
21,23,Undirected,0.34912972506669393
21,77,Undirected,0.48902612771056964
21,131,Undirected,0.2878988262671113
22,27,Undirected,0.3544648633188633
22,78,Undirected,0.25870590259283954
22,80,Undirected,0.2900197625031883
22,84,Undirected,0.26574076658488577
23,51,Undirected,0.22420369373041082
23,137,Undirected,0.28703506140842683
23,68,Undirected,0.28853176830938354
23,73,Undirected,0.3322169511752219
23,85,Undirected,0.2743357008787223
23,131,Undirected,0.2876961519632395
23,133,Undirected,0.4651187192058277
23,138,Undirected,0.3185415757760638
24,26,Undirected,0.3965722066239602
24,46,Undirected,0.46175899185106517
24,52,Undirected,0.3101741260475085
24,80,Undirected,0.375449074533285
25,52,Undirected,0.3272274017574315
25,54,Undirected,0.40203587645424577
25,69,Undirected,0.3255302646149061
26,44,Undirected,0.37434160521171
26,46,Undirected,0.3171903422956168
26,49,Undirected,0.3548128231794825
27,57,Undirected,0.2901570868132628
27,69,Undirected,0.24057969638581522
27,136,Undirected,0.26251005165126895
28,36,Undirected,0.30324312518757535
28,42,Undirected,0.32625128407394033
28,55,Undirected,0.3307638962533378
28,58,Undirected,0.3545017982918889
28,65,Undirected,0.331937663284565
29,37,Undirected,0.2543513459497997
29,41,Undirected,0.3217086806713928
29,48,Undirected,0.41899338648638984
29,82,Undirected,0.29727727414974725
29,136,Undirected,0.5155560869089386
29,100,Undirected,0.36108505852879824
30,39,Undirected,0.3538773496108363
30,53,Undirected,0.31886965051859406
30,63,Undirected,0.3563422519727508
31,33,Undirected,0.29656410891788754
31,47,Undirected,0.4163171877628996
31,86,Undirected,0.3112167936252812
31,89,Undirected,0.3213054884726426
31,90,Undirected,0.35236885204691726
31,138,Undirected,0.31670521982811595
32,67,Undirected,0.44225727881816246
32,68,Undirected,0.28176371131753086
32,85,Undirected,0.2867274570193289
32,107,Undirected,0.2633954632552099
33,52,Undirected,0.29729177738999635
33,57,Undirected,0.4565617497056814
33,66,Undirected,0.29780944796787456
33,71,Undirected,0.3342188881614522
33,84,Undirected,0.34133070415030287
34,51,Undirected,0.29497022597556477
34,139,Undirected,0.315951412668946
35,50,Undirected,0.2540215946547776
35,58,Undirected,0.3206928058988875
35,63,Undirected,0.3552774724793335
35,70,Undirected,0.2942990076835662
35,75,Undirected,0.3034730236795119
36,39,Undirected,0.35489957645403036
36,43,Undirected,0.2949277693636262
36,45,Undirected,0.3648095263053962
36,135,Undirected,0.5430911263619702
36,79,Undirected,0.35767143750792385
37,50,Undirected,0.28493612842350524
37,73,Undirected,0.29189978799393346
37,85,Undirected,0.3100253218585579
37,131,Undirected,0.30189555370806065
38,51,Undirected,0.2498143904798561
38,66,Undirected,0.41053795606515764
39,43,Undirected,0.30299480879046214
39,135,Undirected,0.30432672365070146
39,59,Undirected,0.34252050736862794
39,61,Undirected,0.4480150310234645
39,106,Undirected,0.27133810118314783
39,132,Undirected,0.2734057045809869
40,59,Undirected,0.28658734160359756
40,81,Undirected,0.459898236770375
41,48,Undirected,0.5038128367234507
41,76,Undirected,0.3061666647516852
41,116,Undirected,0.3111341413836376
42,135,Undirected,0.30858851000902443
42,79,Undirected,0.32861296698595555
42,115,Undirected,0.3087200931623396
43,45,Undirected,0.30558613695335135
43,135,Undirected,0.3556079371011278
44,49,Undirected,0.3464250366418846
44,57,Undirected,0.3432936981383936
44,60,Undirected,0.3129427722227498
44,62,Undirected,0.3195024947056736
44,82,Undirected,0.31545352283585015
44,86,Undirected,0.32871691596479335
44,136,Undirected,0.304506853249663
44,89,Undirected,0.31150032113053705
45,63,Undirected,0.4055755712577497
45,138,Undirected,0.2894073385850626
46,64,Undirected,0.2971039097022574
47,81,Undirected,0.3711847165948684
47,139,Undirected,0.3250493797358637
47,90,Undirected,0.4231629387307777
48,72,Undirected,0.29160200157336
48,76,Undirected,0.5865218812159827
48,140,Undirected,0.4665480310223422
49,52,Undirected,0.30900064594888665
49,57,Undirected,0.3221381207714221
49,60,Undirected,0.36182304201468374
50,58,Undirected,0.2672031487434141
50,66,Undirected,0.33997000246620923
50,67,Undirected,0.3037902478616754
50,136,Undirected,0.325580198101284
50,141,Undirected,0.2899290076210749
51,56,Undirected,0.2701381260304574
51,85,Undirected,0.3224391081569158
51,131,Undirected,0.2956329668608382
52,80,Undirected,0.46240561513367084
52,84,Undirected,0.306784598253785
52,139,Undirected,0.3332839347788433
52,92,Undirected,0.3156603721962946
53,72,Undirected,0.3108377242134668
53,74,Undirected,0.29956059450467354
53,83,Undirected,0.29697176309313156
53,90,Undirected,0.33847844575385766
54,74,Undirected,0.25949046425724265
54,75,Undirected,0.3349010551066042
55,58,Undirected,0.38468825951001906
55,134,Undirected,0.29562974518240326
56,59,Undirected,0.33663886627871076
56,61,Undirected,0.33070788939156415
56,69,Undirected,0.29935139353997897
56,70,Undirected,0.2541601976008313
57,64,Undirected,0.31772868190234593
57,71,Undirected,0.49948093208682676
58,63,Undirected,0.3461093152243453
59,67,Undirected,0.32619793819622533
59,68,Undirected,0.29543129259166445
60,62,Undirected,0.49128012183236214
60,66,Undirected,0.43519884091078676
60,69,Undirected,0.3265879487003387
61,74,Undirected,0.35067618278691104
62,69,Undirected,0.31925166288002993
62,82,Undirected,0.307791909193179
62,86,Undirected,0.31456720579342656
62,136,Undirected,0.2950390322168064
62,89,Undirected,0.3195473135551299
63,66,Undirected,0.26732147970203324
63,68,Undirected,0.3483568153300155
64,71,Undirected,0.3314121956782562
64,91,Undirected,0.4016998522757902
65,121,Undirected,0.2742293645390498
66,136,Undirected,0.30163667625229806
67,121,Undirected,0.28983563821733416
68,83,Undirected,0.29796288197655385
68,85,Undirected,0.3190149858229284
69,91,Undirected,0.31932398595759637
69,92,Undirected,0.302031109701029
70,72,Undirected,0.3435197955102467
70,74,Undirected,0.4035912777212657
70,131,Undirected,0.3254442352424549
70,134,Undirected,0.37306451495335036
70,138,Undirected,0.27737880047728736
71,82,Undirected,0.3965276716571292
71,84,Undirected,0.30859124941106775
71,91,Undirected,0.3743681314762439
72,85,Undirected,0.30132124696913576
72,88,Undirected,0.3362052336914798
72,89,Undirected,0.3066753397749439
72,101,Undirected,0.2943228572252168
72,138,Undirected,0.28689421746794075
73,77,Undirected,0.4230470748364178
73,133,Undirected,0.34376268820978184
74,79,Undirected,0.3405262577051503
74,85,Undirected,0.3182788219860857
74,131,Undirected,0.29942501120995313
74,134,Undirected,0.31175320255490024
75,142,Undirected,0.30595213898197793
76,140,Undirected,0.3478441536006337
77,133,Undirected,0.30797408118761893
77,126,Undirected,0.3778691997410809
78,80,Undirected,0.420805705585792
78,84,Undirected,0.3150024617480929
78,87,Undirected,0.4643852057916571
78,136,Undirected,0.2965776414151534
78,139,Undirected,0.37702300199639793
78,91,Undirected,0.2978781848792429
79,134,Undirected,0.3650368050442925
79,115,Undirected,0.3230036039493722
80,82,Undirected,0.375413886385762
80,139,Undirected,0.3348252877549758
80,91,Undirected,0.34778271188142296
81,131,Undirected,0.2999866182900569
82,136,Undirected,0.34956045450243656
83,87,Undirected,0.34688608207075655
83,88,Undirected,0.2988335162615827
83,139,Undirected,0.3187424326811057
83,89,Undirected,0.3229618204054442
83,90,Undirected,0.4186424746673457
83,131,Undirected,0.2946996658214548
84,90,Undirected,0.3190200504677342
84,92,Undirected,0.34554475422607667
85,131,Undirected,0.3606276658858295
85,134,Undirected,0.32261079568999973
85,141,Undirected,0.31916246438302176
86,90,Undirected,0.2989484048442329
86,91,Undirected,0.33598998850502304
86,92,Undirected,0.39791527313412955
87,89,Undirected,0.30223626382006175
87,131,Undirected,0.30208095437521865
87,92,Undirected,0.36441047609258626
88,90,Undirected,0.298613637433112
89,90,Undirected,0.31631322928116046
89,133,Undirected,0.3279163455632358
90,91,Undirected,0.2933990516465049
90,92,Undirected,0.3126681672375229
90,133,Undirected,0.3054284520313394
91,92,Undirected,0.3388364341875554
92,101,Undirected,0.3008939986377026
93,95,Undirected,0.2795026393750746
93,122,Undirected,0.324246134572145
93,125,Undirected,0.350713129889779
93,126,Undirected,0.31091833290696547
94,99,Undirected,0.4632513327601194
94,125,Undirected,0.3281307355087735
94,143,Undirected,0.3158303701173881
94,144,Undirected,0.3545971065565059
95,145,Undirected,0.5936637854080763
95,143,Undirected,0.2877018767493119
96,97,Undirected,0.5323564133467178
96,101,Undirected,0.26502885913574126
96,146,Undirected,0.23196874320765837
97,105,Undirected,0.3006743728302562
97,112,Undirected,0.3553160064197286
97,120,Undirected,0.23888299617699082
97,125,Undirected,0.39446411376504964
97,138,Undirected,0.42028167910450687
98,146,Undirected,0.46331989515207284
98,128,Undirected,0.3442252095430677
98,144,Undirected,0.23071983680988384
98,147,Undirected,0.3627020241468204
99,109,Undirected,0.6098339721715602
99,111,Undirected,0.29076489047348275
99,118,Undirected,0.35938172600203644
99,144,Undirected,0.5746153494700453
100,111,Undirected,0.29537849609162947
100,124,Undirected,0.2735602437536767
100,127,Undirected,0.34488195696043045
100,132,Undirected,0.36377571408480536
101,109,Undirected,0.2636739191746622
101,110,Undirected,0.2622696158928375
101,146,Undirected,0.29324203041514973
101,143,Undirected,0.2425334997902575
102,105,Undirected,0.2831938908530969
102,107,Undirected,0.27215472205757774
102,120,Undirected,0.4477074229088289
102,124,Undirected,0.31052688822722285
102,125,Undirected,0.2148979391260769
103,110,Undirected,0.3034272219076859
103,125,Undirected,0.4066180082013191
103,144,Undirected,0.442677658457884
103,148,Undirected,0.440125968721518
104,105,Undirected,0.2814771843384696
104,106,Undirected,0.26705685460871353
104,114,Undirected,0.3407067184869693
104,119,Undirected,0.3191218933419372
104,132,Undirected,0.25336173868869194
104,130,Undirected,0.23772337347145012
105,106,Undirected,0.2995252758746164
