Label,Id,Category
ASV_00001,1,1
ASV_00002,2,1
ASV_00008,3,1
ASV_00014,4,1
ASV_00004,5,1
ASV_00003,6,1
ASV_00006,7,1
ASV_00015,8,1
ASV_00013,9,1
ASV_00021,10,2
ASV_00012,11,1
ASV_00017,12,1
ASV_00009,13,1
ASV_00007,14,1
ASV_00023,15,1
ASV_00040,16,1
ASV_00036,17,1
ASV_00019,18,1
ASV_00031,19,1
ASV_00018,20,1
ASV_00051,21,1
ASV_00057,22,1
ASV_00028,23,1
ASV_00038,24,1
ASV_00064,25,1
ASV_00045,26,1
ASV_00103,27,1
ASV_00133,28,1
ASV_00060,29,1
ASV_00053,30,1
ASV_00066,31,1
ASV_00054,32,1
ASV_00058,33,1
ASV_00059,34,1
ASV_00150,35,1
ASV_00072,36,1
ASV_00080,37,1
ASV_00084,38,1
ASV_00093,39,1
ASV_00092,40,1
ASV_00111,41,2
ASV_00125,42,1
ASV_00119,43,1
ASV_00097,44,1
ASV_00096,45,1
ASV_00124,46,1
ASV_00094,47,1
ASV_00105,48,2
ASV_00215,49,1
ASV_00147,50,1
ASV_00240,51,1
ASV_00164,52,1
ASV_00217,53,1
ASV_00191,54,1
ASV_00155,55,1
ASV_00269,56,1
ASV_00131,57,1
ASV_00130,58,1
ASV_00138,59,1
ASV_01134,60,1
ASV_00146,61,1
ASV_00361,62,1
ASV_00153,63,1
ASV_00227,64,1
ASV_00171,65,1
ASV_00229,66,1
ASV_00177,67,1
ASV_00290,68,1
ASV_00624,69,1
ASV_00209,70,1
ASV_00243,71,1
ASV_00392,72,1
ASV_00231,73,1
ASV_00236,74,1
ASV_00314,75,1
ASV_00251,76,2
ASV_00256,77,1
ASV_00260,78,1
ASV_00524,79,1
ASV_00271,80,1
ASV_00264,81,1
ASV_00282,82,1
ASV_00277,83,1
ASV_00441,84,1
ASV_00370,85,1
ASV_00186,86,1
ASV_00317,87,1
ASV_00349,88,1
ASV_00451,89,1
ASV_00313,90,1
ASV_00389,91,1
ASV_00568,92,1
2'deoxycytidine,93,3
3'AMP,94,3
4-aminobenzoic acid,95,3
5'AMP,96,3
5'UMP,97,3
alanine,98,3
amMP,99,3
arginine,100,3
asparagine,101,3
aspartate,102,3
ciliatine,103,3
citrulline,104,3
cysteate,105,3
cysteine 2,106,3
cytidine,107,3
DHPS,108,3
folate,109,3
GABA,110,3
glutamic acid,111,3
glutathione 2,112,3
guanosine,113,3
histidine,114,3
homoserine betaine,115,1
isethionate,116,3
isoleucine,117,3
kynurenine,118,3
leucine,119,3
lysine 2,120,3
malic acid,121,3
methionine,122,3
N-acetyl-muramic acid,123,3
ornithine 2,124,3
pantothenic acid,125,3
putrescine 2,126,3
sarcosine,127,3
serine,128,3
threonine,129,3
uridine,130,3
ASV_00307,131,1
taurine,132,3
ASV_00323,133,1
ASV_00346,134,1
ASV_00129,135,1
ASV_00300,136,1
ASV_00168,137,1
sn-glycerol 3-phosphate,138,3
ASV_00337,139,1
ASV_00400,140,2
tryptophan,141,3
glutamine,142,3
spermidine 3,143,3
tryptamine,144,3
proline,145,3
glycine,146,3
valine,147,3
tyrosine,148,3
phenylalanine,149,3
