cluster,Source,Target,Type,Weight
reefs,1,3,Undirected,0.27748455821196827
reefs,1,5,Undirected,0.29811145652596727
reefs,1,18,Undirected,0.26897734336858914
reefs,1,20,Undirected,0.2808210215140773
reefs,1,26,Undirected,0.2508970363683517
reefs,1,29,Undirected,0.2977494439896343
reefs,1,32,Undirected,0.3193532766667285
reefs,1,45,Undirected,0.29810542093904646
reefs,1,47,Undirected,0.32264884597908605
reefs,1,56,Undirected,0.3194819456790243
reefs,1,77,Undirected,0.3183722964113209
reefs,2,11,Undirected,0.3769446757095354
reefs,2,15,Undirected,0.3475063942120825
reefs,2,33,Undirected,0.29574610632478493
reefs,3,8,Undirected,0.43417073780239435
reefs,3,18,Undirected,0.3266235170487415
reefs,3,28,Undirected,0.30968526919121975
reefs,3,31,Undirected,0.28362712688234737
reefs,3,34,Undirected,0.306590138361419
reefs,3,41,Undirected,0.3315490459431202
reefs,3,81,Undirected,0.289886658564662
reefs,3,133,Undirected,0.28563334389983386
reefs,4,5,Undirected,0.4461540237854139
reefs,4,134,Undirected,0.31840456239760595
reefs,4,22,Undirected,0.3537846834528988
reefs,4,54,Undirected,0.2830544187900482
reefs,4,135,Undirected,0.2882020073148923
reefs,5,10,Undirected,0.2947531014659396
reefs,5,11,Undirected,0.282986848197484
reefs,5,134,Undirected,0.31550565136498354
reefs,5,17,Undirected,0.42646653270863266
reefs,5,22,Undirected,0.31823725681857173
reefs,5,32,Undirected,0.29436856779708265
reefs,5,35,Undirected,0.31174948187434215
reefs,6,7,Undirected,0.4158607616643458
reefs,6,10,Undirected,0.3307843934742323
reefs,6,11,Undirected,0.2816337504057319
reefs,6,136,Undirected,0.27467876119932066
reefs,6,22,Undirected,0.351790711802077
reefs,6,24,Undirected,0.2956184207133491
reefs,6,39,Undirected,0.3329619245666837
reefs,7,13,Undirected,0.3959504381650282
reefs,7,134,Undirected,0.37169139059447664
reefs,7,24,Undirected,0.2945989399610348
reefs,7,35,Undirected,0.30274235852141196
reefs,7,49,Undirected,0.30485761156912383
reefs,7,104,Undirected,0.30090495116581994
reefs,8,12,Undirected,0.31087351198496016
reefs,8,20,Undirected,0.35667399507442044
reefs,8,25,Undirected,0.2947538167763645
reefs,8,26,Undirected,0.3313395093970575
reefs,8,36,Undirected,0.28939127531069797
reefs,8,43,Undirected,0.3150870628370961
reefs,8,50,Undirected,0.28734729679418847
reefs,8,137,Undirected,0.30246345226101967
reefs,8,62,Undirected,0.31011406001759867
reefs,8,63,Undirected,0.2814273380358947
reefs,9,10,Undirected,0.3328228341934336
reefs,9,31,Undirected,0.29544007580355813
reefs,9,33,Undirected,0.21425789183611832
reefs,9,48,Undirected,0.30832477827207305
reefs,9,51,Undirected,0.31678082499695803
reefs,9,53,Undirected,0.2910487582784972
reefs,10,14,Undirected,0.26619354231589576
reefs,10,135,Undirected,0.28552965015269294
reefs,11,14,Undirected,0.3092028405667424
reefs,11,15,Undirected,0.47938308007080765
reefs,11,136,Undirected,0.3209485632119422
reefs,11,26,Undirected,0.3031347853771241
reefs,11,40,Undirected,0.30621503419354434
reefs,11,52,Undirected,0.2997086570010773
reefs,12,15,Undirected,0.37329686775185356
reefs,12,17,Undirected,0.28370391601239064
reefs,12,26,Undirected,0.30554118972963873
reefs,12,34,Undirected,0.32994536018628584
reefs,12,115,Undirected,0.30908534677642463
reefs,13,22,Undirected,0.3618754709067965
reefs,13,52,Undirected,0.29085184495714544
reefs,14,17,Undirected,0.2455435022353939
reefs,14,31,Undirected,0.23855945666306655
reefs,14,33,Undirected,0.29802293821796044
reefs,14,41,Undirected,0.3220125213023579
