Label,Id,reefs_hub,seagrass_hub
ASV_00001,1,1,1
ASV_00002,2,1,1
ASV_00008,3,1,1
ASV_00014,4,1,1
ASV_00004,5,1,1
ASV_00003,6,1,1
ASV_00006,7,1,1
ASV_00015,8,1,1
ASV_00013,9,1,1
ASV_00021,10,1,1
ASV_00012,11,1,1
ASV_00017,12,1,1
ASV_00009,13,1,2
ASV_00007,14,1,1
ASV_00023,15,1,1
ASV_00040,16,2,1
ASV_00019,17,1,1
ASV_00031,18,1,1
ASV_00051,19,2,1
ASV_00057,20,1,1
ASV_00028,21,2,1
ASV_00038,22,1,1
ASV_00064,23,2,1
ASV_00045,24,1,1
ASV_00103,25,1,1
ASV_00133,26,1,1
ASV_00060,27,1,1
ASV_00053,28,2,1
ASV_00066,29,1,1
ASV_00054,30,2,2
ASV_00058,31,1,1
ASV_00059,32,1,1
ASV_00150,33,1,1
ASV_00072,34,1,1
ASV_00080,35,1,1
ASV_00084,36,1,1
ASV_00093,37,1,1
ASV_00092,38,1,1
ASV_00111,39,1,1
ASV_00125,40,1,1
ASV_00119,41,1,1
ASV_00097,42,1,1
ASV_00096,43,1,1
ASV_00124,44,1,1
ASV_00094,45,1,1
ASV_00105,46,1,1
ASV_00215,47,1,1
ASV_00147,48,1,1
ASV_00240,49,1,1
ASV_00164,50,1,1
ASV_00217,51,1,1
ASV_00129,52,1,1
ASV_00191,53,2,1
ASV_00155,54,1,1
ASV_00269,55,1,1
ASV_00131,56,1,1
ASV_00138,57,1,1
ASV_01134,58,1,1
ASV_00146,59,1,1
ASV_00361,60,1,1
ASV_00168,61,1,1
ASV_00153,62,1,1
ASV_00227,63,1,1
ASV_00229,64,1,1
ASV_00290,65,2,1
ASV_00624,66,2,1
ASV_00209,67,1,1
ASV_00243,68,1,1
ASV_00392,69,1,1
ASV_00231,70,2,1
ASV_00236,71,1,1
ASV_00314,72,1,1
ASV_00251,73,1,1
ASV_00256,74,2,1
ASV_00260,75,1,1
ASV_00524,76,1,1
ASV_00271,77,1,1
ASV_00264,78,1,1
ASV_00282,79,1,1
ASV_00277,80,1,1
ASV_00441,81,1,1
ASV_00370,82,2,1
ASV_00186,83,1,1
ASV_00317,84,1,1
ASV_00300,85,1,1
ASV_00349,86,1,1
ASV_00337,87,1,1
ASV_00451,88,1,1
ASV_00313,89,1,1
ASV_00400,90,1,1
2'deoxycytidine,91,1,3
3'AMP,92,3,2
4-aminobenzoic acid,93,3,1
5'AMP,94,3,2
5'UMP,95,3,2
alanine,96,3,2
amMP,97,3,2
arginine,98,3,1
asparagine,99,3,2
aspartate,100,3,2
ciliatine,101,3,2
citrulline,102,3,1
cysteate,103,3,2
cysteine 2,104,3,1
cytidine,105,3,1
DHPS,106,3,1
folate,107,3,2
GABA,108,3,2
glutamic acid,109,3,1
glutamine,110,3,1
glutathione 2,111,3,2
glycine,112,3,2
guanosine,113,3,1
histidine,114,3,1
homoserine betaine,115,1,2
isethionate,116,3,1
isoleucine,117,3,1
kynurenine,118,3,2
leucine,119,3,1
lysine 2,120,3,2
methionine,121,3,2
N-acetyl-muramic acid,122,3,1
ornithine 2,123,3,2
pantothenic acid,124,3,2
phenylalanine,125,3,1
proline,126,3,1
putrescine 2,127,3,2
sarcosine,128,3,2
serine,129,3,2
sn-glycerol 3-phosphate,130,3,1
spermidine 3,131,3,2
threonine,132,3,2
ASV_00568,133,1,1
ASV_00036,134,1,3
ASV_00346,135,1,1
ASV_00018,136,2,1
ASV_00130,137,1,1
ASV_00323,138,2,1
ASV_00389,139,1,1
ASV_00177,140,2,1
ASV_00307,141,1,1
ASV_00171,142,1,1
malic acid,143,1,2
tryptamine,144,3,2
tyrosine,145,3,2
taurine,146,3,1
uridine,147,3,1
valine,148,3,2
tryptophan,149,3,2
