asv_id	NMDS1	NMDS2	taxonomy	Domain	Phylum	Class	Order	Family	Genus	color	abund_0.01_316	sda_asvs_181	sda_abund_asvs_36
ASV_00001	0.10631087022031288	0.08832524975147761	ASV_00001: Cyanobacteria; Synechococcus CC9902	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Synechococcus CC9902	#C1FEB3	1	NA	NA
ASV_00002	0.5577234744901606	0.01503848224918191	ASV_00002: Alphaproteobacteria; SAR11 Clade Ia	Bacteria	Pseudomonadota	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	#FFDCAD	2	1	1
ASV_00003	-0.6902934930737782	-0.04322199648990574	ASV_00003: Alphaproteobacteria; HIMB11	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	HIMB11	#FF9660	3	2	2
ASV_00004	-0.08263272674160746	0.0922020010186502	ASV_00004: Bacteroidia; NS4 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4 marine group	#FFB97C	4	3	3
ASV_00005	0.5510165744128966	0.03139624520536172	ASV_00005: Alphaproteobacteria; SAR11 Clade Ia	Bacteria	Pseudomonadota	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	#FFDCAD	5	4	4
ASV_00006	-0.5253678574739262	-0.00129383804045555	ASV_00006: Bacteroidia; Cryomorphaceae	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae	#FFB97C	6	5	5
ASV_00007	0.6796356805480314	0.00810867716649538	ASV_00007: Cyanobacteria; Prochlorococcus MIT9313	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Prochlorococcus MIT9313	#C1FEB3	8	6	6
ASV_00008	0.4838423124837504	0.01112362243546001	ASV_00008: Gammaproteobacteria; SAR86 clade	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade	#FF945E	7	7	7
ASV_00009	-0.5178019236949954	0.01240787658714695	ASV_00009: Bacteroidia; Flavobacteriaceae	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae	#FFB97C	9	8	8
ASV_00010	0.5586648753877519	0.04297672722396165	ASV_00010: Alphaproteobacteria; SAR11 Clade Ia	Bacteria	Pseudomonadota	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	#FFDCAD	10	9	9
ASV_00011	0.4818216525387034	0.01739009751671913	ASV_00011: Gammaproteobacteria; SAR86 clade	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade	#FF945E	11	10	10
ASV_00012	0.5079396320056583	0.05140607716926608	ASV_00012: Alphaproteobacteria; SAR11 Clade II	Bacteria	Pseudomonadota	Alphaproteobacteria	SAR11 clade	Clade II	Clade II	#FFDCAD	12	11	11
ASV_00013	0.4115949913344637	0.06940131404063386	ASV_00013: Acidimicrobia; Candidatus Actinomarina	Bacteria	Actinobacteriota	Acidimicrobia	Actinomarinales	Actinomarinaceae	Candidatus Actinomarina	#14C1FF	13	12	12
ASV_00014	0.2973454730799859	0.09107887029706212	ASV_00014: Bacteroidia; NS5 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	#FFB97C	14	13	13
ASV_00015	0.4240329417216863	-0.03214987841243411	ASV_00015: Alphaproteobacteria; SAR116 clade	Bacteria	Pseudomonadota	Alphaproteobacteria	Puniceispirillales	SAR116 clade	SAR116 clade	#FF8D57	15	14	32
ASV_00016	0.4650736392825765	0.08586017097234852	ASV_00016: Acidimicrobia; Candidatus Actinomarina	Bacteria	Actinobacteriota	Acidimicrobia	Actinomarinales	Actinomarinaceae	Candidatus Actinomarina	#14C1FF	16	15	14
ASV_00017	0.4916056571081148	-0.0043254268341943	ASV_00017: Alphaproteobacteria; AEGEAN-169 marine group	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group	#FFDEB2	17	16	15
ASV_00018	0.5107754854173043	0.05654186292031225	ASV_00018: Verrucomicrobiae; Coraliomargarita	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Coraliomargarita	#00A6E2	18	17	16
ASV_00019	0.03507214367922358	0.11458815924394349	ASV_00019: Bacteroidia; NS2b marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS2b marine group	#FFB97C	24	18	17
ASV_00020	0.46600901257314664	0.03416910078313839	ASV_00020: Gammaproteobacteria; SAR86 clade	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade	#FF945E	19	19	18
ASV_00021	0.3986883036209998	0.02500710371531257	ASV_00021: Alphaproteobacteria; Rhodobacteraceae	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae	#FF9660	22	20	19
ASV_00022	-0.1732695802077973	0.14093026221355462	ASV_00022: Cyanobacteria; Synechococcus CC9902	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Synechococcus CC9902	#C1FEB3	25	21	20
ASV_00023	0.5596593618271423	0.04779750778646167	ASV_00023: Alphaproteobacteria; SAR11 Clade Ib	Bacteria	Pseudomonadota	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ib	#FFDCAD	20	22	21
ASV_00024	-0.6422821598315217	-0.02804645005749228	ASV_00024: Alphaproteobacteria; Rhodobacteraceae	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae	#FF9660	21	23	22
ASV_00025	-0.2928646377487369	0.121332603586948	ASV_00025: Bacteroidia; NS5 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	#FFB97C	23	24	23
ASV_00026	0.6371715175509586	0.02702861505057687	ASV_00026: Alphaproteobacteria; AEGEAN-169 marine group	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group	#FFDEB2	27	25	33
ASV_00027	-0.13689446824986592	0.09215108343537888	ASV_00027: Bacteroidia; NS5 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	#FFB97C	28	26	24
