pair1	pair2	t	p.value	q05	q10
LB_seagrass.Day2	LB_seagrass.Day3	-0.874757079090812	0.08887809717364864	0.0781737078511075	0.13406563053825846
LB_seagrass.Day2	LB_seagrass.Day4	-0.16219608102152427	0.06768345481400066	0.09477066154917042	0.18793151847986828
LB_seagrass.Day2	LB_seagrass.Day5	-1.0619372426414653	0.24948772790487136	0.11071606238434895	0.20071138168175875
LB_seagrass.Day2	Tektite.Day2	-0.6368927723313764	0.7173249662524936	0.11289752971446589	0.18726456920684736
LB_seagrass.Day2	Tektite.Day3	2.69835433234158	0.09528754882758661	0.054870203710128025	0.12806023300695668
LB_seagrass.Day2	Tektite.Day4	1.5669361964489197	0.6437547492878459	0.07718897478976108	0.1749252452188123
LB_seagrass.Day2	Tektite.Day5	2.334499224640992	0.22463724172334495	0.051075514371496614	0.11552312901560191
LB_seagrass.Day2	Yawzi.Day2	0.0421693174546788	0.6905470392951341	0.09184288213913507	0.18012140444407698
LB_seagrass.Day2	Yawzi.Day3	1.9652752702010667	0.055778098270784504	0.03186367786652008	0.08460969085730745
LB_seagrass.Day2	Yawzi.Day4	1.0579583443741891	0.7837624281486525	0.05212889894918226	0.12696864979018993
LB_seagrass.Day2	Yawzi.Day5	1.8952726584475081	0.035842518054317575	0.02745702685606184	0.07851303869299356
LB_seagrass.Day3	LB_seagrass.Day4	0.5875063850883359	0.9209175634421375	0.09115120677144281	0.13774322359341296
LB_seagrass.Day3	LB_seagrass.Day5	-0.27703267466962817	0.6940757634036676	0.09677964430332137	0.1714671056508921
LB_seagrass.Day3	Tektite.Day2	0.2797747080415756	0.5704647213672441	0.102244781284644	0.16185967467076598
LB_seagrass.Day3	Tektite.Day3	2.7798847814389154	0.843880361792438	0.053111776946955236	0.08315004549381548
LB_seagrass.Day3	Tektite.Day4	2.0227247787681386	0.583063722609886	0.06839466341336209	0.1088722135927224
LB_seagrass.Day3	Tektite.Day5	2.5633863495613687	0.35884084014062007	0.04196410632531212	0.08298625609332692
LB_seagrass.Day3	Yawzi.Day2	0.7658182613676764	0.6222414013061346	0.07341702767365714	0.1298332236510048
LB_seagrass.Day3	Yawzi.Day3	2.3145788933416025	0.828600207310888	0.044614298636138056	0.08579388824731896
LB_seagrass.Day3	Yawzi.Day4	1.6271318786114393	0.8382346969435427	0.0493437429256239	0.09686406609962737
LB_seagrass.Day3	Yawzi.Day5	2.276599061016665	0.026261637846818956	0.04423651519585943	0.09348763713201022
LB_seagrass.Day4	LB_seagrass.Day5	-0.7988898968428337	0.5928489979555154	0.11138198536191297	0.18917977255435553
LB_seagrass.Day4	Tektite.Day2	-0.3578746010474497	0.76773149008488	0.10673146388082494	0.18208701139623437
LB_seagrass.Day4	Tektite.Day3	2.006533433729754	0.03099773911289083	0.08375261800280154	0.1525551947806848
LB_seagrass.Day4	Tektite.Day4	1.3030745599457259	0.009594082932894188	0.09864976904827319	0.16575070403132522
LB_seagrass.Day4	Tektite.Day5	1.8205105239830826	0.06133690404976981	0.09143177536903697	0.15473814686902485
LB_seagrass.Day4	Yawzi.Day2	0.17030655026926905	0.4358097835302368	0.11092749039535875	0.18528394133859447
LB_seagrass.Day4	Yawzi.Day3	1.5961690553618968	0.1373491681422346	0.07932278297260054	0.15337622770283374
LB_seagrass.Day4	Yawzi.Day4	0.9761713003951674	0.3141156791932762	0.09753855826279065	0.16778478149888781
LB_seagrass.Day4	Yawzi.Day5	1.5930844640408095	0.5006638649530333	0.09103135697260019	0.15777166004406218
LB_seagrass.Day5	Tektite.Day2	0.5391793403874331	0.45912350848028427	0.12168480832194262	0.19522393946025593
