pair1	pair2	t	p.value	q05	q10
LB_seagrass.Day2	LB_seagrass.Day3	0.961636166394566	0.49569587909813484	0.09075616599839002	0.15576547821168804
LB_seagrass.Day2	LB_seagrass.Day4	0.4200135603131305	0.07587568952732299	0.09214076158491276	0.1662617136295338
LB_seagrass.Day2	LB_seagrass.Day5	-5.039136269620234	0.5305042402718679	0.025781750937602148	0.04500321861294769
LB_seagrass.Day2	Tektite.Day2	-5.8718204661865165	0.023218344179233276	0.020078261366891496	0.03802982496781753
LB_seagrass.Day2	Tektite.Day3	-5.243827952696536	0.27948440484068826	0.026071807271033663	0.04702710533926049
LB_seagrass.Day2	Tektite.Day4	-3.243232385460804	0.40302724493501074	0.04633376198380385	0.0823444463928841
LB_seagrass.Day2	Tektite.Day5	-5.439856337259256	0.5065607226136603	0.019559884166503533	0.034482989137603136
LB_seagrass.Day2	Yawzi.Day2	-2.6221601371617185	0.17482531295895348	0.024274951829887238	0.04455183802960479
LB_seagrass.Day2	Yawzi.Day3	-2.0476841409495465	0.09796224360063982	0.04018966553601132	0.07164916416050707
LB_seagrass.Day2	Yawzi.Day4	-2.0900410305362818	0.007832929074286555	0.04411910014557648	0.09529292460323238
LB_seagrass.Day2	Yawzi.Day5	-3.9720288266397743	0.25199532545293574	0.040280453300949315	0.07902418900417459
LB_seagrass.Day3	LB_seagrass.Day4	-0.5014349342199806	0.8453731785654202	0.09459363493538224	0.14289544457044454
LB_seagrass.Day3	LB_seagrass.Day5	-5.760904298898793	0.4292742686282299	0.01717319258003644	0.02920147614927031
LB_seagrass.Day3	Tektite.Day2	-6.2243600354068995	0.10829129319772507	0.018181461362597098	0.0351246456900476
LB_seagrass.Day3	Tektite.Day3	-5.638342778655632	0.2869062756591818	0.020499809928080988	0.041113354060799745
LB_seagrass.Day3	Tektite.Day4	-3.6804367440520287	0.28532226722577175	0.028031912914498046	0.06136024013722191
LB_seagrass.Day3	Tektite.Day5	-6.044921305496933	0.01720324817733887	0.014872909790450908	0.024367192809534623
LB_seagrass.Day3	Yawzi.Day2	-3.092705725789401	0.6481392655211691	0.01937628611668383	0.04153948058715522
LB_seagrass.Day3	Yawzi.Day3	-2.6921888812211208	0.6358876508570797	0.023411806969714274	0.04638142705828439
LB_seagrass.Day3	Yawzi.Day4	-2.473503399513464	0.3775098872499348	0.028650985551338968	0.07145935497221895
LB_seagrass.Day3	Yawzi.Day5	-4.4840621264839875	0.18705202179693112	0.020252050008851195	0.05332125998530419
LB_seagrass.Day4	LB_seagrass.Day5	-5.277426274881452	0.021041618244417713	0.02401188854074068	0.04244817764705923
LB_seagrass.Day4	Tektite.Day2	-6.006375318188021	0.41851265327034165	0.021385740757233804	0.03816051356056795
LB_seagrass.Day4	Tektite.Day3	-5.3941535093803274	0.7589754991519502	0.027852908597858425	0.048973999386594455
LB_seagrass.Day4	Tektite.Day4	-3.4191810877981563	0.3549438499221926	0.04174442545943152	0.07605046094891411
LB_seagrass.Day4	Tektite.Day5	-5.646403365269219	0.33764456083675654	0.019576896110776516	0.03360337433649714
LB_seagrass.Day4	Yawzi.Day2	-2.8143227528425685	0.4069529126553114	0.025276206477192375	0.04775006231573298
LB_seagrass.Day4	Yawzi.Day3	-2.30576269484403	0.9090706948722844	0.03589644682123557	0.06795026231207854
LB_seagrass.Day4	Yawzi.Day4	-2.253829840673701	0.8758119240927051	0.04218791257928186	0.09299957692011124
LB_seagrass.Day4	Yawzi.Day5	-4.166545332625547	0.25505811530500017	0.03957426255123951	0.07631748130683125
LB_seagrass.Day5	Tektite.Day2	-2.9932365129180294	0.13847870467162815	0.05266182207966759	0.08810208378589064
LB_seagrass.Day5	Tektite.Day3	-2.084508414904594	0.2948727644842164	0.06947473718646249	0.11786733692762104
LB_seagrass.Day5	Tektite.Day4	0.11578048853884203	0.20734670530356536	0.095191314788788	0.16290065890220318
LB_seagrass.Day5	Tektite.Day5	-0.9586644464984789	0.3875469410313289	0.09423586829952864	0.15195998198915656
LB_seagrass.Day5	Yawzi.Day2	0.9067422906703918	0.2847123126921353	0.04465835788486696	0.09808348239149231
LB_seagrass.Day5	Yawzi.Day3	2.3288354682741805	0.49518809092172156	0.055509888376367084	0.1159911729280824
LB_seagrass.Day5	Yawzi.Day4	0.8746764419206866	0.7349289343331395	0.03900858305435612	0.07223886672196186
LB_seagrass.Day5	Yawzi.Day5	-0.11900816400452399	0.6908267010599284	0.08556389519419591	0.15422247056276697
Tektite.Day2	Tektite.Day3	0.9100524993503756	0.5410044846957502	0.09229521333073046	0.15407284169381147
