pair1	pair2	t	p.value	boot.p.value	q05	q10
LB_seagrass.Day2	LB_seagrass.Day3	0.961636166394566	0.34636657965151163	0.34636657965151163	0.09155007959507712	0.16103018858584367
LB_seagrass.Day2	LB_seagrass.Day4	0.4200135603131305	0.677685489163784	0.677685489163784	0.09785505904821604	0.16330043015197498
LB_seagrass.Day2	LB_seagrass.Day5	-5.039136269620234	5.321937201301928e-5	5.321937201301928e-5	0.02682869219838953	0.04674775746074128
LB_seagrass.Day2	Tektite.Day2	-5.8718204661865165	2.4981432759120548e-5	2.4981432759120548e-5	0.02111132758132247	0.03837277725977256
LB_seagrass.Day2	Tektite.Day3	-5.243827952696536	2.50055119773474e-5	2.50055119773474e-5	0.0275819772225148	0.050924904305012425
LB_seagrass.Day2	Tektite.Day4	-3.243232385460804	0.004787755850609597	0.004787755850609597	0.04497455872609765	0.07674804476860075
LB_seagrass.Day2	Tektite.Day5	-5.439856337259256	2.967259954302365e-5	2.967259954302365e-5	0.019780983024420037	0.034144068230274126
LB_seagrass.Day2	Yawzi.Day2	-2.6221601371617185	0.014692154254185545	0.014692154254185545	0.023655217697949146	0.044563671756398526
LB_seagrass.Day2	Yawzi.Day3	-2.0476841409495465	0.05336678035823173	0.05336678035823173	0.035456372185771835	0.06876138392487427
LB_seagrass.Day2	Yawzi.Day4	-2.0900410305362818	0.05252848090469705	0.05252848090469705	0.04418911652893144	0.09802736314408948
LB_seagrass.Day2	Yawzi.Day5	-3.9720288266397743	8.990102102878785e-4	8.990102102878785e-4	0.0384222182783851	0.07190968828615102
LB_seagrass.Day3	LB_seagrass.Day4	-0.5014349342199806	0.6208601490067012	0.6208601490067012	0.10102048510415093	0.14595522101294953
LB_seagrass.Day3	LB_seagrass.Day5	-5.760904298898793	1.3639033828559492e-5	1.3639033828559492e-5	0.0192030911435395	0.03202337934727164
LB_seagrass.Day3	Tektite.Day2	-6.2243600354068995	1.4354672090243055e-5	1.4354672090243055e-5	0.015913232822623948	0.033941303224058667
LB_seagrass.Day3	Tektite.Day3	-5.638342778655632	1.0514515802680805e-5	1.0514515802680805e-5	0.022461000160775145	0.042223169556690816
LB_seagrass.Day3	Tektite.Day4	-3.6804367440520287	0.001960837635930443	0.001960837635930443	0.02547360260700387	0.05783509363428181
LB_seagrass.Day3	Tektite.Day5	-6.044921305496933	1.0440743959775092e-5	1.0440743959775092e-5	0.014266112632600782	0.023365597470059462
LB_seagrass.Day3	Yawzi.Day2	-3.092705725789401	0.005002252407457559	0.005002252407457559	0.018984384559288133	0.0381392467660009
LB_seagrass.Day3	Yawzi.Day3	-2.6921888812211208	0.01432065834539056	0.01432065834539056	0.02495937647822349	0.04489382940395224
LB_seagrass.Day3	Yawzi.Day4	-2.473503399513464	0.02504255294207414	0.02504255294207414	0.03181409277302939	0.08143374789175019
LB_seagrass.Day3	Yawzi.Day5	-4.4840621264839875	3.2282821711480687e-4	3.2282821711480687e-4	0.020346412804657883	0.05100049513818313
LB_seagrass.Day4	LB_seagrass.Day5	-5.277426274881452	2.8327952543257482e-5	2.8327952543257482e-5	0.025083613338619377	0.044313762588885516
LB_seagrass.Day4	Tektite.Day2	-6.006375318188021	1.871186571742709e-5	1.871186571742709e-5	0.020279771160460557	0.03733036545813216
LB_seagrass.Day4	Tektite.Day3	-5.3941535093803274	1.670775535220051e-5	1.670775535220051e-5	0.02649696522764007	0.049679167574083104
LB_seagrass.Day4	Tektite.Day4	-3.4191810877981563	0.003224862620321365	0.003224862620321365	0.04004184172115981	0.07234672136918698
LB_seagrass.Day4	Tektite.Day5	-5.646403365269219	1.7648058034113987e-5	1.7648058034113987e-5	0.018700301761194877	0.03362743189283734
LB_seagrass.Day4	Yawzi.Day2	-2.8143227528425685	0.009340934195064847	0.009340934195064847	0.024630516597761744	0.048265192521484854
LB_seagrass.Day4	Yawzi.Day3	-2.30576269484403	0.03124408661560149	0.03124408661560149	0.03471212217935582	0.06687779710119329
LB_seagrass.Day4	Yawzi.Day4	-2.253829840673701	0.03805554313023401	0.03805554313023401	0.04028324346502338	0.08523382015134622
LB_seagrass.Day4	Yawzi.Day5	-4.166545332625547	5.662802669069432e-4	5.662802669069432e-4	0.03553339187760162	0.07282713758639514
LB_seagrass.Day5	Tektite.Day2	-2.9932365129180294	0.007147639833482897	0.007147639833482897	0.0526648365906997	0.08920002144760843
LB_seagrass.Day5	Tektite.Day3	-2.084508414904594	0.045790523105494106	0.045790523105494106	0.069886420577662	0.11781089021636632
LB_seagrass.Day5	Tektite.Day4	0.11578048853884203	0.908812127186746	0.908812127186746	0.10080224739316174	0.16331996781286875
LB_seagrass.Day5	Tektite.Day5	-0.9586644464984789	0.3462339143655677	0.3462339143655677	0.09680796190631046	0.16347377069207322
LB_seagrass.Day5	Yawzi.Day2	0.9067422906703918	0.3711573192921689	0.3711573192921689	0.04124201497004392	0.087757984297157
LB_seagrass.Day5	Yawzi.Day3	2.3288354682741805	0.02731491236599843	0.02731491236599843	0.06025498654672155	0.11998011687810309
LB_seagrass.Day5	Yawzi.Day4	0.8746764419206866	0.39121589685828173	0.39121589685828173	0.03853277221948636	0.07116604562480658
LB_seagrass.Day5	Yawzi.Day5	-0.11900816400452399	0.9062034862481934	0.9062034862481934	0.08979047670279078	0.15616114887227156
Tektite.Day2	Tektite.Day3	0.9100524993503756	0.36977304293514923	0.36977304293514923	0.0897115257100653	0.15122005826578944
Tektite.Day2	Tektite.Day4	2.7135686050576813	0.011592800427956951	0.011592800427956951	0.05778086334564945	0.10505240989873292
Tektite.Day2	Tektite.Day5	2.2419350541574574	0.035112017734207315	0.035112017734207315	0.07259737174380625	0.11639158084541053
Tektite.Day2	Yawzi.Day2	3.3468958922694227	0.002436680688856475	0.002436680688856475	0.05616772625093459	0.10473948551256337
Tektite.Day2	Yawzi.Day3	4.416563877520131	2.5458184987301754e-4	2.5458184987301754e-4	0.04106352731101825	0.07087005558150189
Tektite.Day2	Yawzi.Day4	3.170869664605177	0.0037246869840990996	0.0037246869840990996	0.039239259022080156	0.08062565335538664
Tektite.Day2	Yawzi.Day5	2.681141186509351	0.012954045969583302	0.012954045969583302	0.05710596499453435	0.107554018226836
Tektite.Day3	Tektite.Day4	1.8792402419176233	0.0688172546569838	0.0688172546569838	0.07464145795707565	0.12781537737325743
Tektite.Day3	Tektite.Day5	1.2981419628720703	0.20340739665932342	0.20340739665932342	0.08702805481362406	0.1393304660490439
Tektite.Day3	Yawzi.Day2	2.538930399894703	0.015330963994652048	0.015330963994652048	0.06919055914375839	0.12749254670540403
Tektite.Day3	Yawzi.Day3	3.651111742129515	9.818364408347904e-4	9.818364408347904e-4	0.05303227485687766	0.09089882145915257
