pair1	pair2	t	p.value	q05	q10
LB_seagrass.dawn	Tektite.dawn	-7.1881756858979005	0.05879048531884535	0.0028383292672281503	0.006115815598840205
LB_seagrass.dawn	Yawzi.dawn	-0.47572202538350966	0.01629539581557437	0.059171236797990565	0.11462801654642729
LB_seagrass.dawn	LB_seagrass.peak_photo	-0.5304307517041357	0.6372982387487572	0.07053841797926443	0.12135423550875997
LB_seagrass.dawn	Tektite.peak_photo	-7.071253543129775	3.2841034618321243e-7	0.002657339517085742	0.006489541517597011
LB_seagrass.dawn	Yawzi.peak_photo	-7.618524250899146	0.01505827075098191	0.0015026836588167745	0.00382492416822238
Tektite.dawn	Yawzi.dawn	6.399160023281094	0.14236466991584285	0.003158392767691784	0.0069265263036398985
Tektite.dawn	LB_seagrass.peak_photo	6.819240844652033	0.7541639712757197	0.0030440155949112238	0.007031463427895563
Tektite.dawn	Tektite.peak_photo	1.3018941641742434	0.9267313264999898	0.05346289946857415	0.1016441000050394
Tektite.dawn	Yawzi.peak_photo	0.04674719912599315	0.8979606593837398	0.06670896497438428	0.12613598455114983
Yawzi.dawn	LB_seagrass.peak_photo	0.02861653756331373	0.5370419848174366	0.042630277020194146	0.09726036617765302
Yawzi.dawn	Tektite.peak_photo	-6.002816011662699	0.5546099852661208	0.003977985718394091	0.008832721526349292
Yawzi.dawn	Yawzi.peak_photo	-6.717077584637622	0.27459815785426234	0.0022222918122790022	0.005185253165240876
LB_seagrass.peak_photo	Tektite.peak_photo	-6.594601135418947	0.06061675092475206	0.0033882067262793573	0.008130165362717713
LB_seagrass.peak_photo	Yawzi.peak_photo	-7.214743690938828	0.41999965166341535	0.002016676632745416	0.004734909759764062
Tektite.peak_photo	Yawzi.peak_photo	-1.3134377728980333	0.9405062705925986	0.05058510113775172	0.09931129361842231
