pair1	pair2	t	p.value	boot.p.value	q05	q10	sig
LB_seagrass.dawn	Tektite.dawn	-7.1881756858979005	2.1144899344572246e-10	2.1144899344572246e-10	0.06648263019871997	0.12506935629191657	2.1144899344572246e-10
LB_seagrass.dawn	Yawzi.dawn	-0.47572202538350966	0.6350501198223828	0.6350501198223828	0.0027977812840965263	0.0058333307342310296	NA
LB_seagrass.dawn	LB_seagrass.peak_photo	-0.5304307517041357	0.5968259077447942	0.5968259077447942	0.0030768738913861506	0.007076470152642206	NA
LB_seagrass.dawn	Tektite.peak_photo	-7.071253543129775	1.1711931341082994e-10	1.1711931341082994e-10	0.055145737503641004	0.10944497914797949	1.1711931341082994e-10
LB_seagrass.dawn	Yawzi.peak_photo	-7.618524250899146	2.3740175218712814e-11	2.3740175218712814e-11	0.001616620135640894	0.0038094006388449354	2.3740175218712814e-11
Tektite.dawn	Yawzi.dawn	6.399160023281094	4.137447319715889e-9	4.137447319715889e-9	0.0033003701968575185	0.00730300925902095	4.137447319715889e-9
Tektite.dawn	LB_seagrass.peak_photo	6.819240844652033	1.0472825850274098e-9	1.0472825850274098e-9	0.003810144388662093	0.008673588999627684	1.0472825850274098e-9
Tektite.dawn	Tektite.peak_photo	1.3018941641742434	0.19531795918991526	0.19531795918991526	0.03884757967083224	0.1017711712966104	NA
Tektite.dawn	Yawzi.peak_photo	0.04674719912599315	0.9627868946136944	0.9627868946136944	0.001956148292109262	0.004631643662236905	NA
Yawzi.dawn	LB_seagrass.peak_photo	0.02861653756331373	0.9772144522861785	0.9772144522861785	0.054268552429297186	0.09947048618223302	NA
Yawzi.dawn	Tektite.peak_photo	-6.002816011662699	1.475600045077994e-8	1.475600045077994e-8	0.003276366978797839	0.007218278474243141	1.475600045077994e-8
Yawzi.dawn	Yawzi.peak_photo	-6.717077584637622	7.687397735686689e-10	7.687397735686689e-10	0.06444921761062675	0.11872688271406034	7.687397735686689e-10
LB_seagrass.peak_photo	Tektite.peak_photo	-6.594601135418947	1.233542676090026e-9	1.233542676090026e-9	0.0040240816756445235	0.008987421493112099	1.233542676090026e-9
LB_seagrass.peak_photo	Yawzi.peak_photo	-7.214743690938828	1.433677081695697e-10	1.433677081695697e-10	0.05021496781011584	0.09886432397399736	1.433677081695697e-10
Tektite.peak_photo	Yawzi.peak_photo	-1.3134377728980333	0.1913132200103785	0.1913132200103785	0.0021533724117001997	0.004917957907300657	NA
