Label,Id,omics_type,taxonomy
ASV_01430,1,ASV,ASV_01430: Nitrososphaeria; Candidatus Nitrosopumilus
ASV_01134,2,ASV,ASV_01134: Nanoarchaeia; Woesearchaeales
ASV_01257,3,ASV,ASV_01257: Nanoarchaeia; Woesearchaeales
ASV_00098,4,ASV,ASV_00098: Thermoplasmata; Marine Group II
ASV_00149,5,ASV,ASV_00149: Thermoplasmata; Marine Group II
ASV_00303,6,ASV,ASV_00303: Thermoplasmata; Marine Group II
ASV_01571,7,ASV,ASV_01571: Thermoanaerobaculia; Subgroup 10
ASV_00013,8,ASV,ASV_00013: Acidimicrobia; Candidatus Actinomarina
ASV_00016,9,ASV,ASV_00016: Acidimicrobia; Candidatus Actinomarina
ASV_00100,10,ASV,ASV_00100: Acidimicrobia; Candidatus Actinomarina
ASV_00134,11,ASV,ASV_00134: Acidimicrobia; Candidatus Actinomarina
ASV_00962,12,ASV,ASV_00962: Acidimicrobia; Ilumatobacteraceae
ASV_00058,13,ASV,ASV_00058: Acidimicrobia; Sva0996 marine group
ASV_00300,14,ASV,ASV_00300: Actinobacteria; Candidatus Aquiluna
ASV_00722,15,ASV,ASV_00722: Actinobacteria; ML602J-51
ASV_00474,16,ASV,ASV_00474: Actinobacteria; Microbacteriaceae
ASV_00341,17,ASV,ASV_00341: Bacteroidia; Bacteroides
ASV_01399,18,ASV,ASV_01399: Bacteroidia; Marinifilaceae
ASV_00783,19,ASV,ASV_00783: Bacteroidia; Muribaculaceae
ASV_01107,20,ASV,ASV_01107: Bacteroidia; Muribaculaceae
ASV_00781,21,ASV,ASV_00781: Bacteroidia; Paludibacter
ASV_00608,22,ASV,ASV_00608: Bacteroidia; Prevotellaceae UCG-004
ASV_00530,23,ASV,ASV_00530: Bacteroidia; Roseimarinus
ASV_00562,24,ASV,ASV_00562: Bacteroidia; Macellibacteroides
ASV_00568,25,ASV,ASV_00568: Bacteroidia; Bacteroidales
ASV_00600,26,ASV,ASV_00600: Bacteroidia; Bacteroidales
ASV_02151,27,ASV,ASV_02151: Bacteroidia; Bacteroidetes VC2.1 Bac22
ASV_00528,28,ASV,ASV_00528: Bacteroidia; Lewinella
ASV_00215,29,ASV,ASV_00215: Bacteroidia; Saprospiraceae
ASV_00222,30,ASV,ASV_00222: Bacteroidia; Saprospiraceae
ASV_00423,31,ASV,ASV_00423: Bacteroidia; Saprospiraceae
ASV_00440,32,ASV,ASV_00440: Bacteroidia; Saprospiraceae
ASV_00543,33,ASV,ASV_00543: Bacteroidia; Saprospiraceae
ASV_00164,34,ASV,ASV_00164: Bacteroidia; Chitinophagales
ASV_00238,35,ASV,ASV_00238: Bacteroidia; Chitinophagales
ASV_00567,36,ASV,ASV_00567: Bacteroidia; Chitinophagales
ASV_01565,37,ASV,ASV_01565: Bacteroidia; Amoebophilaceae
ASV_03116,38,ASV,ASV_03116: Bacteroidia; Algoriphagus
ASV_01203,39,ASV,ASV_01203: Bacteroidia; Ekhidna
ASV_00360,40,ASV,ASV_00360: Bacteroidia; Fabibacter
ASV_01874,41,ASV,ASV_01874: Bacteroidia; Fulvivirga
ASV_00084,42,ASV,ASV_00084: Bacteroidia; Marinoscillum
ASV_00229,43,ASV,ASV_00229: Bacteroidia; Cyclobacteriaceae
ASV_00526,44,ASV,ASV_00526: Bacteroidia; Cyclobacteriaceae
ASV_01861,45,ASV,ASV_01861: Bacteroidia; Cyclobacteriaceae
ASV_02202,46,ASV,ASV_02202: Bacteroidia; Cytophagales
ASV_00495,47,ASV,ASV_00495: Bacteroidia; Crocinitomix
ASV_00512,48,ASV,ASV_00512: Bacteroidia; Crocinitomix
ASV_00711,49,ASV,ASV_00711: Bacteroidia; Crocinitomix
ASV_00006,50,ASV,ASV_00006: Bacteroidia; Cryomorphaceae
ASV_00069,51,ASV,ASV_00069: Bacteroidia; Cryomorphaceae
ASV_00074,52,ASV,ASV_00074: Bacteroidia; Cryomorphaceae
ASV_00089,53,ASV,ASV_00089: Bacteroidia; Cryomorphaceae
ASV_00112,54,ASV,ASV_00112: Bacteroidia; Cryomorphaceae
ASV_00187,55,ASV,ASV_00187: Bacteroidia; Cryomorphaceae
ASV_00609,56,ASV,ASV_00609: Bacteroidia; Actibacter
ASV_00576,57,ASV,ASV_00576: Bacteroidia; Algitalea
ASV_00321,58,ASV,ASV_00321: Bacteroidia; Aureicoccus
ASV_01212,59,ASV,ASV_01212: Bacteroidia; Aureitalea
ASV_00525,60,ASV,ASV_00525: Bacteroidia; Flavicella
ASV_00038,61,ASV,ASV_00038: Bacteroidia; Formosa
ASV_00537,62,ASV,ASV_00537: Bacteroidia; Formosa
ASV_00372,63,ASV,ASV_00372: Bacteroidia; Mesoflavibacter
ASV_01519,64,ASV,ASV_01519: Bacteroidia; Muricauda
ASV_00019,65,ASV,ASV_00019: Bacteroidia; NS2b marine group
ASV_00228,66,ASV,ASV_00228: Bacteroidia; NS2b marine group
ASV_00004,67,ASV,ASV_00004: Bacteroidia; NS4 marine group
ASV_00047,68,ASV,ASV_00047: Bacteroidia; NS4 marine group
ASV_00073,69,ASV,ASV_00073: Bacteroidia; NS4 marine group
ASV_00109,70,ASV,ASV_00109: Bacteroidia; NS4 marine group
ASV_00143,71,ASV,ASV_00143: Bacteroidia; NS4 marine group
ASV_00165,72,ASV,ASV_00165: Bacteroidia; NS4 marine group
ASV_00202,73,ASV,ASV_00202: Bacteroidia; NS4 marine group
ASV_00211,74,ASV,ASV_00211: Bacteroidia; NS4 marine group
ASV_00218,75,ASV,ASV_00218: Bacteroidia; NS4 marine group
ASV_00261,76,ASV,ASV_00261: Bacteroidia; NS4 marine group
ASV_00365,77,ASV,ASV_00365: Bacteroidia; NS4 marine group
ASV_00014,78,ASV,ASV_00014: Bacteroidia; NS5 marine group
ASV_00025,79,ASV,ASV_00025: Bacteroidia; NS5 marine group
ASV_00027,80,ASV,ASV_00027: Bacteroidia; NS5 marine group
ASV_00032,81,ASV,ASV_00032: Bacteroidia; NS5 marine group
ASV_00043,82,ASV,ASV_00043: Bacteroidia; NS5 marine group
ASV_00048,83,ASV,ASV_00048: Bacteroidia; NS5 marine group
ASV_00101,84,ASV,ASV_00101: Bacteroidia; NS5 marine group
ASV_00107,85,ASV,ASV_00107: Bacteroidia; NS5 marine group
ASV_00154,86,ASV,ASV_00154: Bacteroidia; NS5 marine group
ASV_00225,87,ASV,ASV_00225: Bacteroidia; NS5 marine group
ASV_00289,88,ASV,ASV_00289: Bacteroidia; NS5 marine group
ASV_00295,89,ASV,ASV_00295: Bacteroidia; NS5 marine group
ASV_00556,90,ASV,ASV_00556: Bacteroidia; NS5 marine group
ASV_00758,91,ASV,ASV_00758: Bacteroidia; NS5 marine group
ASV_00801,92,ASV,ASV_00801: Bacteroidia; Nonlabens
ASV_00097,93,ASV,ASV_00097: Bacteroidia; Tenacibaculum
ASV_00358,94,ASV,ASV_00358: Bacteroidia; Tenacibaculum
ASV_00243,95,ASV,ASV_00243: Bacteroidia; Winogradskyella
ASV_00009,96,ASV,ASV_00009: Bacteroidia; Flavobacteriaceae
ASV_00095,97,ASV,ASV_00095: Bacteroidia; Flavobacteriaceae
ASV_00252,98,ASV,ASV_00252: Bacteroidia; Flavobacteriaceae
ASV_00316,99,ASV,ASV_00316: Bacteroidia; Flavobacteriaceae
ASV_00369,100,ASV,ASV_00369: Bacteroidia; Flavobacteriaceae
ASV_00479,101,ASV,ASV_00479: Bacteroidia; Flavobacteriaceae
ASV_00648,102,ASV,ASV_00648: Bacteroidia; Flavobacteriaceae
ASV_01527,103,ASV,ASV_01527: Bacteroidia; Flavobacteriaceae
ASV_00045,104,ASV,ASV_00045: Bacteroidia; NS7 marine group
ASV_00320,105,ASV,ASV_00320: Bacteroidia; NS7 marine group
ASV_00182,106,ASV,ASV_00182: Bacteroidia; NS9 marine group
ASV_00192,107,ASV,ASV_00192: Bacteroidia; NS9 marine group
ASV_00199,108,ASV,ASV_00199: Bacteroidia; NS9 marine group
ASV_00787,109,ASV,ASV_00787: Bacteroidia; NS9 marine group
ASV_00260,110,ASV,ASV_00260: Bacteroidia; Flavobacteriales
ASV_00124,111,ASV,ASV_00124: Bacteroidia; NS11-12 marine group
ASV_00246,112,ASV,ASV_00246: Bacteroidia; NS11-12 marine group
ASV_00080,113,ASV,ASV_00080: Rhodothermia; Balneola
ASV_01221,114,ASV,ASV_01221: Bdellovibrionia; Halobacteriovorax
ASV_00451,115,ASV,ASV_00451: Bdellovibrionia; Bacteriovoracaceae
ASV_00240,116,ASV,ASV_00240: Bdellovibrionia; OM27 clade
ASV_00386,117,ASV,ASV_00386: Bdellovibrionia; OM27 clade
ASV_00462,118,ASV,ASV_00462: Bdellovibrionia; OM27 clade
ASV_00465,119,ASV,ASV_00465: Bdellovibrionia; OM27 clade
ASV_00487,120,ASV,ASV_00487: Bdellovibrionia; OM27 clade
ASV_00514,121,ASV,ASV_00514: Bdellovibrionia; OM27 clade
ASV_00664,122,ASV,ASV_00664: Bdellovibrionia; OM27 clade
ASV_02055,123,ASV,ASV_02055: Oligoflexia; Oligoflexaceae
ASV_01009,124,ASV,ASV_01009: Campylobacteria; Arcobacteraceae
ASV_01939,125,ASV,ASV_01939: Campylobacteria; Sulfurimonas
ASV_00445,126,ASV,ASV_00445: Cyanobacteria; Oscillatoriaceae
ASV_00066,127,ASV,ASV_00066: Cyanobacteria; Cyanobium PCC-6307
ASV_00151,128,ASV,ASV_00151: Cyanobacteria; Cyanobium PCC-6307
ASV_00007,129,ASV,ASV_00007: Cyanobacteria; Prochlorococcus MIT9313
ASV_00001,130,ASV,ASV_00001: Cyanobacteria; Synechococcus CC9902
ASV_00022,131,ASV,ASV_00022: Cyanobacteria; Synechococcus CC9902
ASV_00030,132,ASV,ASV_00030: Cyanobacteria; Synechococcus CC9902
ASV_00034,133,ASV,ASV_00034: Cyanobacteria; Synechococcus CC9902
ASV_00099,134,ASV,ASV_00099: Cyanobacteria; Synechococcus CC9902
ASV_00115,135,ASV,ASV_00115: Cyanobacteria; Synechococcus CC9902
ASV_00121,136,ASV,ASV_00121: Cyanobacteria; Synechococcus CC9902
ASV_00173,137,ASV,ASV_00173: Cyanobacteria; Synechococcus CC9902
ASV_00094,138,ASV,ASV_00094: Cyanobacteria; Cyanobiaceae
ASV_02020,139,ASV,ASV_02020: Cyanobacteria; Cyanobacteria
ASV_00507,140,ASV,ASV_00507: Dadabacteria; Dadabacteriales
ASV_00829,141,ASV,ASV_00829: Desulfobacteria; Sva0081 sediment group
ASV_00282,142,ASV,ASV_00282: Desulfobulbia; Desulfocapsaceae
ASV_00337,143,ASV,ASV_00337: Desulfuromonadia; Bradymonadales
ASV_00482,144,ASV,ASV_00482: Desulfuromonadia; Bradymonadales
ASV_00709,145,ASV,ASV_00709: Bacilli; Candidatus Hepatoplasma
ASV_00630,146,ASV,ASV_00630: Clostridia; Clostridium sensu stricto 1
ASV_00838,147,ASV,ASV_00838: Clostridia; Sarcina
ASV_00719,148,ASV,ASV_00719: Clostridia; Lachnospiraceae UCG-007
ASV_02678,149,ASV,ASV_02678: Clostridia; Hungateiclostridiaceae
ASV_01741,150,ASV,ASV_01741: Fusobacteria; Cetobacterium
ASV_00349,151,ASV,ASV_00349: Fusobacteria; Propionigenium
ASV_00031,152,ASV,ASV_00031: Bacteria; Marinimicrobia (SAR406 clade)
ASV_00070,153,ASV,ASV_00070: Bacteria; Marinimicrobia (SAR406 clade)
ASV_00136,154,ASV,ASV_00136: Bacteria; Marinimicrobia (SAR406 clade)
ASV_00145,155,ASV,ASV_00145: Bacteria; Marinimicrobia (SAR406 clade)
ASV_00431,156,ASV,ASV_00431: Bacteria; Marinimicrobia (SAR406 clade)
ASV_00359,157,ASV,ASV_00359: Myxococcia; P3OB-42
ASV_00996,158,ASV,ASV_00996: Polyangia; Nannocystaceae
ASV_00430,159,ASV,ASV_00430: Planctomycetota; OM190
ASV_00853,160,ASV,ASV_00853: Planctomycetota; OM190
ASV_00640,161,ASV,ASV_00640: Phycisphaerae; Phycisphaera
ASV_00053,162,ASV,ASV_00053: Phycisphaerae; Urania-1B-19 marine sediment group
ASV_00644,163,ASV,ASV_00644: Alphaproteobacteria; Hirschia
ASV_00570,164,ASV,ASV_00570: Alphaproteobacteria; Ponticaulis
ASV_00469,165,ASV,ASV_00469: Alphaproteobacteria; Hyphomonadaceae
ASV_00093,166,ASV,ASV_00093: Alphaproteobacteria; Defluviicoccales
ASV_01034,167,ASV,ASV_01034: Alphaproteobacteria; Defluviicoccales
ASV_00389,168,ASV,ASV_00389: Alphaproteobacteria; Holosporaceae
ASV_00103,169,ASV,ASV_00103: Alphaproteobacteria; PS1 clade
ASV_00117,170,ASV,ASV_00117: Alphaproteobacteria; PS1 clade
ASV_00120,171,ASV,ASV_00120: Alphaproteobacteria; PS1 clade
ASV_00015,172,ASV,ASV_00015: Alphaproteobacteria; SAR116 clade
ASV_00029,173,ASV,ASV_00029: Alphaproteobacteria; SAR116 clade
ASV_00052,174,ASV,ASV_00052: Alphaproteobacteria; SAR116 clade
ASV_00077,175,ASV,ASV_00077: Alphaproteobacteria; SAR116 clade
ASV_00175,176,ASV,ASV_00175: Alphaproteobacteria; SAR116 clade
ASV_00201,177,ASV,ASV_00201: Alphaproteobacteria; SAR116 clade
ASV_00210,178,ASV,ASV_00210: Alphaproteobacteria; SAR116 clade
ASV_00233,179,ASV,ASV_00233: Alphaproteobacteria; SAR116 clade
ASV_00245,180,ASV,ASV_00245: Alphaproteobacteria; SAR116 clade
ASV_01068,181,ASV,ASV_01068: Alphaproteobacteria; Methyloligellaceae
ASV_00323,182,ASV,ASV_00323: Alphaproteobacteria; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
ASV_00975,183,ASV,ASV_00975: Alphaproteobacteria; Rhizobiaceae
ASV_00064,184,ASV,ASV_00064: Alphaproteobacteria; Stappiaceae
ASV_00087,185,ASV,ASV_00087: Alphaproteobacteria; Stappiaceae
ASV_00232,186,ASV,ASV_00232: Alphaproteobacteria; Stappiaceae
ASV_00398,187,ASV,ASV_00398: Alphaproteobacteria; Stappiaceae
ASV_00908,188,ASV,ASV_00908: Alphaproteobacteria; Stappiaceae
ASV_00967,189,ASV,ASV_00967: Alphaproteobacteria; Rhizobiales
ASV_00348,190,ASV,ASV_00348: Alphaproteobacteria; Aestuariicoccus
ASV_00399,191,ASV,ASV_00399: Alphaproteobacteria; Celeribacter
ASV_00003,192,ASV,ASV_00003: Alphaproteobacteria; HIMB11
ASV_00224,193,ASV,ASV_00224: Alphaproteobacteria; HIMB11
ASV_00527,194,ASV,ASV_00527: Alphaproteobacteria; Leisingera
ASV_00751,195,ASV,ASV_00751: Alphaproteobacteria; Limibaculum
ASV_00060,196,ASV,ASV_00060: Alphaproteobacteria; Litorimicrobium
ASV_00696,197,ASV,ASV_00696: Alphaproteobacteria; Roseobacter clade CHAB-I-5 lineage
ASV_00131,198,ASV,ASV_00131: Alphaproteobacteria; Thalassobius
ASV_00021,199,ASV,ASV_00021: Alphaproteobacteria; Rhodobacteraceae
