Source,Target,Type,Weight,estimate,padj_01
1,230,Undirected,0.5070989554804373,0.5070989554804373,0.018962275915909755
2,231,Undirected,0.5233082706766917,0.5233082706766917,0.01789347798041819
2,232,Undirected,0.5843478260869565,0.5843478260869565,0.002713207698550681
3,233,Undirected,0.6275350425443388,0.6275350425443388,0.016283013027056228
3,234,Undirected,0.5803839911742866,-0.5803839911742866,0.002946249040440945
4,233,Undirected,0.6578661846674337,0.6578661846674337,0.010546522267183634
5,234,Undirected,0.5043478260869564,0.5043478260869564,0.011965355177749597
6,234,Undirected,0.55344633757548,0.55344633757548,0.005024344057739391
6,235,Undirected,0.5081421019774872,0.5081421019774872,0.011238488520747495
7,236,Undirected,0.5101626841867213,0.5101626841867213,0.010866522923219706
7,237,Undirected,0.5510500395678064,0.5510500395678064,0.005257563374170108
8,233,Undirected,0.70031890928483,-0.70031890928483,0.005284006343432954
8,234,Undirected,0.5241026914041738,0.5241026914041738,0.008567575027123131
9,238,Undirected,0.5203765579018045,-0.5203765579018045,0.00913832719554995
9,237,Undirected,0.5249147255579248,-0.5249147255579248,0.008447204845099395
10,239,Undirected,0.5709690171349723,-0.5709690171349723,0.0035686330383127396
11,240,Undirected,0.6208446799135673,0.6208446799135673,0.0015709651273811995
11,241,Undirected,0.5223362515238095,0.5223362515238095,0.008834344250024146
11,242,Undirected,0.6679690354059126,0.6679690354059126,3.6124599705146114e-4
11,243,Undirected,0.6621437240506284,0.6621437240506284,4.240281022809006e-4
11,230,Undirected,0.5765334257674525,0.5765334257674525,0.006223341502557238
11,244,Undirected,0.5771912667860684,0.5771912667860684,0.003146084448357906
11,245,Undirected,0.6231758805807971,0.6231758805807971,0.004365894055056259
11,246,Undirected,0.5893273321095769,0.5893273321095769,0.00244277898086213
11,247,Undirected,0.6169975610471765,0.6169975610471765,0.0013203340638751981
11,248,Undirected,0.5801039224637103,0.5801039224637103,0.0029633371424478603
11,235,Undirected,0.5699096275919632,0.5699096275919632,0.003645146004521039
11,249,Undirected,0.609230479240131,0.609230479240131,0.0015781445535815312
11,250,Undirected,0.6223374297895202,0.6223374297895202,0.0011648045561707136
11,251,Undirected,0.6208446799135673,0.6208446799135673,0.0015709651273811995
11,252,Undirected,0.5407880495962369,0.5407880495962369,0.009357976965977169
11,253,Undirected,0.580473408987729,0.580473408987729,0.003684632573964148
12,240,Undirected,0.5551196058343754,-0.5551196058343754,0.005967713738769707
12,242,Undirected,0.6878958029331069,-0.6878958029331069,2.032443979153975e-4
12,243,Undirected,0.583803392315412,-0.583803392315412,0.002744258106156828
12,244,Undirected,0.5297639280798428,-0.5297639280798428,0.007757269753614835
12,246,Undirected,0.5120460709534267,-0.5120460709534267,0.010529023610765098
12,247,Undirected,0.5465958923499382,-0.5465958923499382,0.005715219823586587
12,249,Undirected,0.5488106244907403,-0.5488106244907403,0.005483657592685118
12,250,Undirected,0.5705149994706,-0.5705149994706,0.0036012560472968237
12,251,Undirected,0.5642033812025743,-0.5642033812025743,0.00504261434766562
12,253,Undirected,0.5339241299752446,-0.5339241299752446,0.008687039644073115
13,240,Undirected,0.5088656040625181,0.5088656040625181,0.013148762705619727
13,251,Undirected,0.5312935689820218,0.5312935689820218,0.009086534447010838
13,252,Undirected,0.5241424656872657,0.5241424656872657,0.012281048180740642
14,234,Undirected,0.6597043403634998,0.6597043403634998,4.530025655681473e-4
14,251,Undirected,0.5004948046732858,0.5004948046732858,0.015002029038992667
15,254,Undirected,0.8857142857142858,-0.8857142857142858,0.018845481049562695
15,255,Undirected,0.8510677611520904,-0.8510677611520904,0.0017911300301950417
16,256,Undirected,0.7306025597645056,-0.7306025597645056,5.034405047109667e-5
16,255,Undirected,0.7531234192521683,0.7531234192521683,0.011914859098813412
17,257,Undirected,0.5617476250044722,0.5617476250044722,0.009949698516209549
18,233,Undirected,0.6386799573433379,0.6386799573433379,0.01395223313919796
18,234,Undirected,0.5521019782596497,-0.5521019782596497,0.005154089366256604
19,258,Undirected,0.592050227118108,-0.592050227118108,0.009636866875318778
19,255,Undirected,0.83300226523868115,-0.83300226523868115,0.0027671029650312277
20,233,Undirected,0.6732677341412533,-0.6732677341412533,0.008308692572141722
20,234,Undirected,0.530720213784925,0.530720213784925,0.007626907773359001
21,239,Undirected,0.5747826086956521,-0.5747826086956521,0.003304331825036481
22,233,Undirected,0.621978021978022,0.621978021978022,0.017550315290540023
22,258,Undirected,0.7155395894182012,-0.7155395894182012,8.415621392048389e-4
23,257,Undirected,0.5234434934500534,0.5234434934500534,0.017858607162910257
24,258,Undirected,0.6845638496165475,-0.6845638496165475,0.0017242242213718383
25,230,Undirected,0.7792207792207793,-0.7792207792207793,3.143559712886147e-5
25,245,Undirected,0.7754385964912281,-0.7754385964912281,9.596416633123103e-5
25,252,Undirected,0.6261998870694524,-0.6261998870694524,0.0018224061944375667
26,259,Undirected,0.5808548044460645,-0.5808548044460645,0.0029177110045398437
27,233,Undirected,0.6810708639991556,0.6810708639991556,0.00732550070434216
28,233,Undirected,0.7494505494505495,-0.7494505494505495,0.002030145549100648
28,234,Undirected,0.5356521739130434,0.5356521739130434,0.0069831847497039785
29,233,Undirected,0.6703296703296703,-0.6703296703296703,0.008704233809858838
30,234,Undirected,0.6226086956521738,0.6226086956521738,0.001157342338259865
31,234,Undirected,0.5269565217391304,0.5269565217391304,0.008150736777295296
32,234,Undirected,0.6208695652173912,0.6208695652173912,0.0012059039024496904
33,233,Undirected,0.8373626373626374,-0.8373626373626374,1.863973778320055e-4
34,234,Undirected,0.5095652173913043,0.5095652173913043,0.010975435304819049
35,233,Undirected,0.7010989010989012,-0.7010989010989012,0.005211861769946928
36,260,Undirected,0.8333333333333335,-0.8333333333333335,0.01017554012345672
36,261,Undirected,0.5156521739130434,-0.5156521739130434,0.009906970265358962
