Label,Id,omics_type,taxonomy
ASV_00013,1,ASV,ASV_00013: Acidimicrobia; Candidatus Actinomarina
ASV_00016,2,ASV,ASV_00016: Acidimicrobia; Candidatus Actinomarina
ASV_00100,3,ASV,ASV_00100: Acidimicrobia; Candidatus Actinomarina
ASV_00440,4,ASV,ASV_00440: Bacteroidia; Saprospiraceae
ASV_00442,5,ASV,ASV_00442: Bacteroidia; Saprospiraceae
ASV_00164,6,ASV,ASV_00164: Bacteroidia; Chitinophagales
ASV_00238,7,ASV,ASV_00238: Bacteroidia; Chitinophagales
ASV_00006,8,ASV,ASV_00006: Bacteroidia; Cryomorphaceae
ASV_00187,9,ASV,ASV_00187: Bacteroidia; Cryomorphaceae
ASV_00263,10,ASV,ASV_00263: Bacteroidia; Cryomorphaceae
ASV_00321,11,ASV,ASV_00321: Bacteroidia; Aureicoccus
ASV_00038,12,ASV,ASV_00038: Bacteroidia; Formosa
ASV_00118,13,ASV,ASV_00118: Bacteroidia; NS2b marine group
ASV_00228,14,ASV,ASV_00228: Bacteroidia; NS2b marine group
ASV_00004,15,ASV,ASV_00004: Bacteroidia; NS4 marine group
ASV_00109,16,ASV,ASV_00109: Bacteroidia; NS4 marine group
ASV_00218,17,ASV,ASV_00218: Bacteroidia; NS4 marine group
ASV_00261,18,ASV,ASV_00261: Bacteroidia; NS4 marine group
ASV_00014,19,ASV,ASV_00014: Bacteroidia; NS5 marine group
ASV_00025,20,ASV,ASV_00025: Bacteroidia; NS5 marine group
ASV_00027,21,ASV,ASV_00027: Bacteroidia; NS5 marine group
ASV_00032,22,ASV,ASV_00032: Bacteroidia; NS5 marine group
ASV_00043,23,ASV,ASV_00043: Bacteroidia; NS5 marine group
ASV_00048,24,ASV,ASV_00048: Bacteroidia; NS5 marine group
ASV_00101,25,ASV,ASV_00101: Bacteroidia; NS5 marine group
ASV_00107,26,ASV,ASV_00107: Bacteroidia; NS5 marine group
ASV_00154,27,ASV,ASV_00154: Bacteroidia; NS5 marine group
ASV_00225,28,ASV,ASV_00225: Bacteroidia; NS5 marine group
ASV_00279,29,ASV,ASV_00279: Bacteroidia; NS5 marine group
ASV_00718,30,ASV,ASV_00718: Bacteroidia; NS5 marine group
ASV_00009,31,ASV,ASV_00009: Bacteroidia; Flavobacteriaceae
ASV_00045,32,ASV,ASV_00045: Bacteroidia; NS7 marine group
ASV_00104,33,ASV,ASV_00104: Bacteroidia; NS9 marine group
ASV_00192,34,ASV,ASV_00192: Bacteroidia; NS9 marine group
ASV_00199,35,ASV,ASV_00199: Bacteroidia; NS9 marine group
ASV_00080,36,ASV,ASV_00080: Rhodothermia; Balneola
ASV_00294,37,ASV,ASV_00294: Rhodothermia; Balneola
ASV_00240,38,ASV,ASV_00240: Bdellovibrionia; OM27 clade
ASV_00386,39,ASV,ASV_00386: Bdellovibrionia; OM27 clade
ASV_00462,40,ASV,ASV_00462: Bdellovibrionia; OM27 clade
ASV_00664,41,ASV,ASV_00664: Bdellovibrionia; OM27 clade
ASV_01207,42,ASV,ASV_01207: Bacteria; Bdellovibrionota
ASV_00066,43,ASV,ASV_00066: Cyanobacteria; Cyanobium PCC-6307
ASV_00007,44,ASV,ASV_00007: Cyanobacteria; Prochlorococcus MIT9313
ASV_00091,45,ASV,ASV_00091: Cyanobacteria; Prochlorococcus MIT9313
