Source,Target,Type,Weight,estimate,padj_01
1,164,Undirected,0.719759493476653,-0.719759493476653,0.00830862408269208
1,165,Undirected,0.6698339794782725,0.6698339794782725,0.017168835069596124
2,166,Undirected,0.6792421919653246,0.6792421919653246,0.015125767324672931
3,167,Undirected,0.6713286713286714,0.6713286713286714,0.016831456186893405
4,168,Undirected,0.6656735199784074,0.6656735199784074,0.018134057155377144
4,169,Undirected,0.6864758174777327,0.6864758174777327,0.013681268234512402
5,166,Undirected,0.6901579588999186,0.6901579588999186,0.012986425675089557
5,170,Undirected,0.7183276715080787,0.7183276715080787,0.008500356838181464
5,171,Undirected,0.7183276715080787,0.7183276715080787,0.008500356838181464
6,164,Undirected,0.7688601341511614,0.7688601341511614,0.0034718663976634353
6,172,Undirected,0.9276336570439175,-0.9276336570439175,0.007665844187473129
7,173,Undirected,0.6783216783216784,0.6783216783216784,0.0153173290532817
8,173,Undirected,0.6993006993006995,0.6993006993006995,0.011374198642690932
9,174,Undirected,0.7526737802859003,-0.7526737802859003,0.00472787750582091
10,168,Undirected,0.8472390798656002,-0.8472390798656002,5.039774184360013e-4
10,170,Undirected,0.6643548731985764,-0.6643548731985764,0.018448113904172385
10,171,Undirected,0.7987187801376142,-0.7987187801376142,0.0018354045665037076
11,175,Undirected,0.6781548984780026,0.6781548984780026,0.015352226699186356
12,176,Undirected,0.6700632434252527,0.6700632434252527,0.017116766567088906
12,177,Undirected,0.7159579861256125,0.7159579861256125,0.008824916610432809
13,178,Undirected,0.6853146853146853,-0.6853146853146853,0.013905968814362726
13,179,Undirected,0.7412587412587414,-0.7412587412587414,0.005801150474478249
13,165,Undirected,0.6643356643356645,-0.6643356643356645,0.018452718028445364
13,180,Undirected,0.8391608391608392,-0.8391608391608392,6.428259886278226e-4
13,181,Undirected,0.8181818181818183,-0.8181818181818183,0.001143105086804052
13,182,Undirected,0.8111888111888113,-0.8111888111888113,0.0013633152527271946
13,183,Undirected,0.8251748251748252,-0.8251748251748252,9.513628555555071e-4
13,184,Undirected,0.8391608391608392,-0.8391608391608392,6.428259886278226e-4
13,185,Undirected,0.8321678321678323,-0.8321678321678323,7.854416778536154e-4
13,186,Undirected,0.7762237762237764,-0.7762237762237764,0.0029928636801859797
13,187,Undirected,0.7832167832167833,-0.7832167832167833,0.0025862148333625963
13,188,Undirected,0.7132867132867134,-0.7132867132867134,0.009201779777634773
