Label,Id,omics_type,taxonomy
ASV_00499,1,ASV,ASV_00499: Nitrososphaeria; Candidatus Nitrosopumilus
ASV_01361,2,ASV,ASV_01361: Nanoarchaeia; Woesearchaeales
ASV_00057,3,ASV,ASV_00057: Thermoplasmata; Marine Group II
ASV_00311,4,ASV,ASV_00311: Thermoplasmata; Marine Group II
ASV_00329,5,ASV,ASV_00329: Thermoplasmata; Marine Group II
ASV_00429,6,ASV,ASV_00429: Thermoplasmata; Marine Group III
ASV_00013,7,ASV,ASV_00013: Acidimicrobia; Candidatus Actinomarina
ASV_00058,8,ASV,ASV_00058: Acidimicrobia; Sva0996 marine group
ASV_00852,9,ASV,ASV_00852: Acidimicrobia; Sva0996 marine group
ASV_00595,10,ASV,ASV_00595: Actinobacteria; PeM15
ASV_01066,11,ASV,ASV_01066: Bacteroidia; Roseimarinus
ASV_02152,12,ASV,ASV_02152: Bacteroidia; Bacteroidales
ASV_00222,13,ASV,ASV_00222: Bacteroidia; Saprospiraceae
ASV_00440,14,ASV,ASV_00440: Bacteroidia; Saprospiraceae
ASV_00543,15,ASV,ASV_00543: Bacteroidia; Saprospiraceae
ASV_00164,16,ASV,ASV_00164: Bacteroidia; Chitinophagales
ASV_02483,17,ASV,ASV_02483: Bacteroidia; Candidatus Amoebophilus
ASV_00229,18,ASV,ASV_00229: Bacteroidia; Cyclobacteriaceae
ASV_00352,19,ASV,ASV_00352: Bacteroidia; Cyclobacteriaceae
ASV_00006,20,ASV,ASV_00006: Bacteroidia; Cryomorphaceae
ASV_00069,21,ASV,ASV_00069: Bacteroidia; Cryomorphaceae
ASV_00187,22,ASV,ASV_00187: Bacteroidia; Cryomorphaceae
ASV_00263,23,ASV,ASV_00263: Bacteroidia; Cryomorphaceae
ASV_00576,24,ASV,ASV_00576: Bacteroidia; Algitalea
ASV_00321,25,ASV,ASV_00321: Bacteroidia; Aureicoccus
ASV_00464,26,ASV,ASV_00464: Bacteroidia; Leeuwenhoekiella
ASV_00014,27,ASV,ASV_00014: Bacteroidia; NS5 marine group
ASV_00025,28,ASV,ASV_00025: Bacteroidia; NS5 marine group
ASV_00027,29,ASV,ASV_00027: Bacteroidia; NS5 marine group
