Source,Target,Type,Weight,estimate,padj_01
1,191,Undirected,0.502516479996169,-0.502516479996169,0.012329790917328394
2,191,Undirected,0.5370165059742458,0.5370165059742458,0.006813340577537129
2,192,Undirected,0.5007111647252828,0.5007111647252828,0.012697938042600476
3,193,Undirected,0.8571428571428573,-0.8571428571428573,0.00653001725471529
4,194,Undirected,0.9746794344808964,-0.9746794344808964,0.0048182304681985404
4,195,Undirected,0.9461247469114747,-0.9461247469114747,3.753118737904433e-4
5,196,Undirected,0.5203765579018045,-0.5203765579018045,0.00913832719554995
5,192,Undirected,0.574834569775249,-0.574834569775249,0.003300848302003926
5,197,Undirected,0.574834569775249,-0.574834569775249,0.003300848302003926
5,198,Undirected,0.5079389325485407,-0.5079389325485407,0.013344203944555065
5,199,Undirected,0.5079389325485407,-0.5079389325485407,0.013344203944555065
6,200,Undirected,0.5156521739130434,0.5156521739130434,0.009906970265358962
7,195,Undirected,0.8095238095238095,0.8095238095238095,0.014902667686230074
7,201,Undirected,0.5516657255787693,0.5516657255787693,0.007777124824611062
7,202,Undirected,0.5634782608695652,0.5634782608695652,0.004139998914296167
7,198,Undirected,0.5474308300395258,0.5474308300395258,0.0068574899732255544
7,199,Undirected,0.5177865612648221,0.5177865612648221,0.011384341355399896
8,203,Undirected,0.5504347826086955,-0.5504347826086955,0.005318886837861637
9,195,Undirected,0.8095238095238095,0.8095238095238095,0.014902667686230074
9,204,Undirected,0.5817391304347825,0.5817391304347825,0.0028647410909035643
9,205,Undirected,0.6521739130434782,0.6521739130434782,5.535306808586666e-4
9,206,Undirected,0.5156521739130434,0.5156521739130434,0.009906970265358962
9,202,Undirected,0.6130434782608695,0.6130434782608695,0.0014466652303273214
10,207,Undirected,0.8455943246644706,-0.8455943246644706,0.008170171744914195
11,208,Undirected,0.6459683592809883,0.6459683592809883,0.001559910778654397
11,209,Undirected,0.5196253913031997,0.5196253913031997,0.009257122153467145
11,210,Undirected,0.673347902897063,0.673347902897063,3.106039243289716e-4
12,211,Undirected,0.5687544332584763,0.5687544332584763,0.0037301525864495183
12,203,Undirected,0.6391629402695738,0.6391629402695738,7.729602645880796e-4
13,211,Undirected,0.5415546736303662,0.5415546736303662,0.006272990102659199
14,197,Undirected,0.5141755661002773,0.5141755661002773,0.010157902805922088
15,212,Undirected,0.5228790587556206,0.5228790587556206,0.008751645489708287
16,201,Undirected,0.578961684826095,0.578961684826095,0.004754108333864604
16,204,Undirected,0.5430523209246549,0.5430523209246549,0.006102731397617627
16,205,Undirected,0.5364081245022488,0.5364081245022488,0.006888646367663973
16,213,Undirected,0.5434952673528154,0.5434952673528154,0.006053122574712544
16,208,Undirected,0.535339141779197,0.535339141779197,0.012388566001006431
16,214,Undirected,0.6510039013875856,0.6510039013875856,7.676626094020949e-4
16,215,Undirected,0.6848157319247703,0.6848157319247703,3.1219909231354535e-4
16,198,Undirected,0.6515085555747078,0.6515085555747078,7.580259626222381e-4
16,199,Undirected,0.6343503132125543,0.6343503132125543,0.0011504794938438296
17,201,Undirected,0.5166572557876906,0.5166572557876906,0.01381881464819809
17,216,Undirected,0.6399999999999999,0.6399999999999999,7.56876769797003e-4
17,200,Undirected,0.5408695652173913,0.5408695652173913,0.006352189578736696
18,217,Undirected,0.5968296115247198,0.5968296115247198,0.0033649628687821512
19,207,Undirected,0.7910398521054726,-0.7910398521054726,0.019384840544571104
20,207,Undirected,0.880952380952381,0.880952380952381,0.0038503204637324014
21,211,Undirected,0.5248043763050004,0.5248043763050004,0.008463479277342164
21,207,Undirected,0.9523809523809526,0.9523809523809526,2.6040002438724964e-4
22,208,Undirected,0.5070989554804373,-0.5070989554804373,0.018962275915909755
23,218,Undirected,0.6643478260869564,-0.6643478260869564,3.9924328712659537e-4
24,216,Undirected,0.5469565217391303,-0.5469565217391303,0.005676965428637711
24,219,Undirected,0.5278260869565217,-0.5278260869565217,0.008027129921072611
25,218,Undirected,0.5999999999999999,-0.5999999999999999,0.0019393928765259155
26,220,Undirected,0.5309130519759374,-0.5309130519759374,0.007600842103211242
26,218,Undirected,0.5396165446312805,-0.5396165446312805,0.00649920295964768
27,203,Undirected,0.606086956521739,0.606086956521739,0.0016940936259311062
28,195,Undirected,0.8095238095238095,-0.8095238095238095,0.014902667686230074
28,203,Undirected,0.6313043478260869,0.6313043478260869,9.388911528619089e-4
29,207,Undirected,0.904761904761905,0.904761904761905,0.0020082755054294543
30,203,Undirected,0.5304347826086956,0.5304347826086956,0.007665625679948612
31,211,Undirected,0.5191304347826086,0.5191304347826086,0.009336095584399821
31,203,Undirected,0.7278260869565216,0.7278260869565216,5.555086738098962e-5
32,195,Undirected,0.9523809523809526,-0.9523809523809526,2.604000243872459e-4
32,203,Undirected,0.5982608695652173,0.5982608695652173,0.0020148039860092472
33,221,Undirected,0.5469565217391303,0.5469565217391303,0.005676965428637711
34,222,Undirected,0.69803665327557,-0.69803665327557,0.0012756296294178726
34,212,Undirected,0.5141624402842457,0.5141624402842457,0.010160156733517368
35,211,Undirected,0.5840400225041129,0.5840400225041129,0.002730725668586608
35,203,Undirected,0.713633415435033,0.713633415435033,9.026040198096814e-5
36,223,Undirected,0.503874047230321,-0.503874047230321,0.012058774811437835
37,195,Undirected,0.7910398521054726,0.7910398521054726,0.01938484054457114
37,216,Undirected,0.5656907255749375,0.5656907255749375,0.003963743397599136
37,200,Undirected,0.528957561576565,0.528957561576565,0.007868630784538077
37,220,Undirected,0.5742617971745578,0.5742617971745578,0.003339419660682553
38,221,Undirected,0.5566818991507675,-0.5566818991507675,0.0047232769389087955
39,207,Undirected,0.904761904761905,0.904761904761905,0.0020082755054294543
39,203,Undirected,0.5356521739130434,0.5356521739130434,0.0069831847497039785
40,203,Undirected,0.586086956521739,0.586086956521739,0.0026160096152165265
41,211,Undirected,0.5713043478260869,0.5713043478260869,0.003544698756748862
42,211,Undirected,0.5048025740099076,-0.5048025740099076,0.01187624945626934
43,193,Undirected,0.8333333333333335,-0.8333333333333335,0.01017554012345672
44,193,Undirected,0.8571428571428573,-0.8571428571428573,0.00653001725471529
45,211,Undirected,0.6895652173913043,0.6895652173913043,1.9329537597921907e-4
45,207,Undirected,0.904761904761905,0.904761904761905,0.0020082755054294543
45,203,Undirected,0.6443478260869565,0.6443478260869565,6.778931573613395e-4
46,218,Undirected,0.5313043478260869,-0.5313043478260869,0.007548179098587885
47,219,Undirected,0.5607820239080162,0.5607820239080162,0.00436367870738584
48,195,Undirected,0.9523809523809526,-0.9523809523809526,2.604000243872459e-4
49,195,Undirected,0.8742671711966792,-0.8742671711966792,0.004512385603651006
49,200,Undirected,0.5470388387780987,-0.5470388387780987,0.005668263638998193
50,195,Undirected,0.8783100656536801,-0.8783100656536801,0.00410393372003153
50,221,Undirected,0.5230346235110103,-0.5230346235110103,0.008728063421289949
50,205,Undirected,0.542236943604946,-0.542236943604946,0.006194940864148997
51,222,Undirected,0.5715844519439474,-0.5715844519439474,0.013207350489617981
52,224,Undirected,0.8244377203267418,0.8244377203267418,0.011809290666614217
53,212,Undirected,0.5039166399346522,0.5039166399346522,0.012050351898097835
54,225,Undirected,0.5217391304347825,-0.5217391304347825,0.008926065916873603
55,213,Undirected,0.5078260869565216,-0.5078260869565216,0.011297601785925492
55,226,Undirected,0.5008695652173912,-0.5008695652173912,0.012665278925668625
55,209,Undirected,0.5513043478260868,-0.5513043478260868,0.005232389972592119
55,225,Undirected,0.6034782608695651,-0.6034782608695651,0.0017957653847595885
56,225,Undirected,0.5478260869565217,-0.5478260869565217,0.005585606044072471
57,224,Undirected,0.8571428571428573,0.8571428571428573,0.0065300172547152705
58,203,Undirected,0.5292124747619996,0.5292124747619996,0.007833283843587094
58,224,Undirected,0.8117540630909457,0.8117540630909457,0.014411077086880482
59,201,Undirected,0.5059654330809318,0.5059654330809318,0.01628366883224185
59,202,Undirected,0.5068110723149868,0.5068110723149868,0.011489206081673985
60,223,Undirected,0.5094890700550925,0.5094890700550925,0.010989380728307765
61,212,Undirected,0.5082747774854833,-0.5082747774854833,0.01121374661668116
62,201,Undirected,0.5117682099883015,-0.5117682099883015,0.014905240813891588
63,203,Undirected,0.522287466141057,-0.522287466141057,0.008841808540986288
63,224,Undirected,0.8333333333333335,-0.8333333333333335,0.01017554012345672
64,193,Undirected,0.8095238095238095,-0.8095238095238095,0.014902667686230074
64,198,Undirected,0.5138339920948617,-0.5138339920948617,0.012140429945704545
65,223,Undirected,0.524448570941918,0.524448570941918,0.008516131326579437
66,223,Undirected,0.5007111647252828,0.5007111647252828,0.012697938042600476
67,217,Undirected,0.577985908138359,0.577985908138359,0.004841998430195015
68,224,Undirected,0.8095238095238095,0.8095238095238095,0.014902667686230074
69,196,Undirected,0.5686956521739129,0.5686956521739129,0.0037345224335913916
69,227,Undirected,0.5260869565217391,0.5260869565217391,0.00827592189426457
69,212,Undirected,0.59304347826086945,0.59304347826086945,0.00225620584103875
70,209,Undirected,0.5203864899769448,0.5203864899769448,0.009136764973329907
71,203,Undirected,0.5068732975114539,0.5068732975114539,0.011477383260598328
72,201,Undirected,0.5561829474872955,0.5561829474872955,0.0071889533434648925
72,224,Undirected,0.8333333333333335,-0.8333333333333335,0.01017554012345672
73,203,Undirected,0.5691908160919905,0.5691908160919905,0.003697846186413399
74,227,Undirected,0.5571196539753174,0.5571196539753174,0.004683734010507456
74,213,Undirected,0.5693640419747747,0.5693640419747747,0.00368508754514517
74,222,Undirected,0.5968657029567312,0.5968657029567312,0.00892162826226625
74,208,Undirected,0.5630739294937263,0.5630739294937263,0.007867707469389756
74,215,Undirected,0.5146196400454771,0.5146196400454771,0.011986952909013911
74,210,Undirected,0.5473241435757513,0.5473241435757513,0.005638190303165565
75,223,Undirected,0.5018126096541599,-0.5018126096541599,0.012472268034505319
76,203,Undirected,0.5234782608695652,-0.5234782608695652,0.00866110192062402
77,224,Undirected,0.8095238095238095,-0.8095238095238095,0.014902667686230074
78,204,Undirected,0.5078260869565216,0.5078260869565216,0.011297601785925492
78,205,Undirected,0.5017391304347825,0.5017391304347825,0.01248721941430211
78,228,Undirected,0.528695652173913,0.528695652173913,0.007905085955029815
78,226,Undirected,0.5504347826086955,0.5504347826086955,0.005318886837861637
78,206,Undirected,0.5826086956521738,0.5826086956521738,0.0028134524476631523
78,202,Undirected,0.5399999999999999,0.5399999999999999,0.006453914474239914
79,229,Undirected,0.9746794344808964,-0.9746794344808964,0.0048182304681985404
79,222,Undirected,0.7242397653581173,-0.7242397653581173,6.767351423083484e-4
80,203,Undirected,0.5476034744387505,-0.5476034744387505,0.005608876288210599
81,193,Undirected,0.8095238095238095,-0.8095238095238095,0.014902667686230074
82,219,Undirected,0.5080169360663276,0.5080169360663276,0.011261871266301427
82,192,Undirected,0.5042257649016535,0.5042257649016535,0.011989365990517533
83,201,Undirected,0.5110107284020329,-0.5110107284020329,0.015079604012521883
84,207,Undirected,0.8333333333333335,0.8333333333333335,0.010175540123456766
84,203,Undirected,0.6156521739130434,0.6156521739130434,0.0013622133102574473
85,201,Undirected,0.5571746315769124,0.5571746315769124,0.007064884562468166
85,213,Undirected,0.5339910608701656,0.5339910608701656,0.0071947284644620635
85,222,Undirected,0.5702573690115038,0.5702573690115038,0.013470960281934376
85,228,Undirected,0.5370165059742458,0.5370165059742458,0.006813340577537129
85,226,Undirected,0.5370165059742458,0.5370165059742458,0.006813340577537129
85,206,Undirected,0.5339910608701656,0.5339910608701656,0.0071947284644620635
85,214,Undirected,0.5661578467443038,0.5661578467443038,0.00486013241240737
85,209,Undirected,0.5566818991507675,0.5566818991507675,0.004723276938908813
85,215,Undirected,0.5838766467169273,0.5838766467169273,0.0034435393673917032
85,198,Undirected,0.5661578467443038,0.5661578467443038,0.00486013241240737
85,199,Undirected,0.5661578467443038,0.5661578467443038,0.00486013241240737
86,211,Undirected,0.5265086839766735,0.5265086839766735,0.008215010715535095
86,203,Undirected,0.5436508271759141,0.5436508271759141,0.006035780536303771
87,211,Undirected,0.5026086956521738,0.5026086956521738,0.012311224300312272
87,207,Undirected,0.904761904761905,0.904761904761905,0.0020082755054294543
87,203,Undirected,0.6669565217391303,0.6669565217391303,3.7154018169145416e-4
88,213,Undirected,0.517391304347826,0.517391304347826,0.0096180258613205
88,206,Undirected,0.5182608695652173,0.5182608695652173,0.009476192167472693
88,209,Undirected,0.5104347826086956,0.5104347826086956,0.010817218599752942
88,202,Undirected,0.5217391304347825,0.5217391304347825,0.008926065916873624
89,195,Undirected,0.9523809523809526,0.9523809523809526,2.6040002438724964e-4
90,203,Undirected,0.5017391304347825,-0.5017391304347825,0.01248721941430211
91,203,Undirected,0.5765217391304347,-0.5765217391304347,0.003189414263574943
92,203,Undirected,0.508695652173913,-0.508695652173913,0.011135557260269265
93,211,Undirected,0.5365217391304347,-0.5365217391304347,0.00687453059333282
93,203,Undirected,0.5608695652173913,-0.5608695652173913,0.004356259737992475
94,203,Undirected,0.5986942313140287,-0.5986942313140287,0.0019957829923828193
95,201,Undirected,0.5231198153854543,-0.5231198153854543,0.012482498048967852
96,220,Undirected,0.5228790587556206,0.5228790587556206,0.008751645489708287
97,227,Undirected,0.5339910608701656,-0.5339910608701656,0.007194728464462032
97,204,Undirected,0.5370165059742458,-0.5370165059742458,0.006813340577537162
97,216,Undirected,0.550631008942607,-0.550631008942607,0.005299263886653042
97,205,Undirected,0.5022238872773228,-0.5022238872773228,0.012388853870261165
97,213,Undirected,0.515838390245684,-0.515838390245684,0.009875692432578935
97,228,Undirected,0.5143256676936439,-0.5143256676936439,0.010132157179362548
97,226,Undirected,0.5143256676936439,-0.5143256676936439,0.010132157179362548
97,206,Undirected,0.5309656157660853,-0.5309656157660853,0.007593750007511625
97,209,Undirected,0.5143256676936439,-0.5143256676936439,0.010132157179362548
97,202,Undirected,0.5339910608701656,-0.5339910608701656,0.007194728464462032
97,210,Undirected,0.5491182863905668,-0.5491182863905668,0.005452121042300372
98,192,Undirected,0.5258173130772518,0.5258173130772518,0.008315063539430302
98,197,Undirected,0.5623959087695823,0.5623959087695823,0.004228601337764842
99,191,Undirected,0.5067620549334433,0.5067620549334433,0.011498526479044539
100,203,Undirected,0.5008695652173912,-0.5008695652173912,0.012665278925668625
101,193,Undirected,0.8571428571428573,0.8571428571428573,0.0065300172547152705
102,203,Undirected,0.5565217391304347,-0.5565217391304347,0.004737814332523167
103,203,Undirected,0.6017391304347824,-0.6017391304347824,0.0018664011338972162
104,203,Undirected,0.5034782608695652,-0.5034782608695652,0.012137275539587173
105,207,Undirected,0.8333333333333335,-0.8333333333333335,0.01017554012345672
105,203,Undirected,0.5939130434782608,-0.5939130434782608,0.002214343550987709
106,207,Undirected,0.8333333333333335,-0.8333333333333335,0.01017554012345672
107,211,Undirected,0.6104347826086955,-0.6104347826086955,0.001535557399601195
107,203,Undirected,0.5130434782608695,-0.5130434782608695,0.010353828161824782
108,201,Undirected,0.569780924709923,0.569780924709923,0.0056360330753217735
108,204,Undirected,0.5046453532816403,0.5046453532816403,0.01190699409020385
108,213,Undirected,0.5260816160759046,0.5260816160759046,0.0082766956283724
108,228,Undirected,0.5216157279937662,0.5216157279937662,0.008945119491297455
108,226,Undirected,0.5662746088151502,0.5662746088151502,0.003918298456355958
108,206,Undirected,0.5403724579387476,0.5403724579387476,0.006410177602052885
108,214,Undirected,0.6353596215867987,0.6353596215867987,0.0011233535113973814
108,209,Undirected,0.5385861027058921,0.5385861027058921,0.006622221800839986
