Label,Id,omics_type,taxonomy
ASV_00499,1,ASV,ASV_00499: Nitrososphaeria; Candidatus Nitrosopumilus
ASV_01931,2,ASV,ASV_01931: Nanoarchaeia; Woesearchaeales
ASV_00057,3,ASV,ASV_00057: Thermoplasmata; Marine Group II
ASV_00292,4,ASV,ASV_00292: Thermoplasmata; Marine Group II
ASV_00821,5,ASV,ASV_00821: Thermoplasmata; Marine Group II
ASV_00013,6,ASV,ASV_00013: Acidimicrobia; Candidatus Actinomarina
ASV_00016,7,ASV,ASV_00016: Acidimicrobia; Candidatus Actinomarina
ASV_00100,8,ASV,ASV_00100: Acidimicrobia; Candidatus Actinomarina
ASV_00134,9,ASV,ASV_00134: Acidimicrobia; Candidatus Actinomarina
ASV_00852,10,ASV,ASV_00852: Acidimicrobia; Sva0996 marine group
ASV_00822,11,ASV,ASV_00822: Bacteroidia; Roseimarinus
ASV_00575,12,ASV,ASV_00575: Bacteroidia; Bacteroidales
ASV_02152,13,ASV,ASV_02152: Bacteroidia; Bacteroidales
ASV_00528,14,ASV,ASV_00528: Bacteroidia; Lewinella
ASV_00933,15,ASV,ASV_00933: Bacteroidia; Saprospiraceae
ASV_00360,16,ASV,ASV_00360: Bacteroidia; Fabibacter
ASV_00229,17,ASV,ASV_00229: Bacteroidia; Cyclobacteriaceae
ASV_00352,18,ASV,ASV_00352: Bacteroidia; Cyclobacteriaceae
ASV_00610,19,ASV,ASV_00610: Bacteroidia; Fluviicola
ASV_00006,20,ASV,ASV_00006: Bacteroidia; Cryomorphaceae
ASV_00069,21,ASV,ASV_00069: Bacteroidia; Cryomorphaceae
ASV_01212,22,ASV,ASV_01212: Bacteroidia; Aureitalea
ASV_00228,23,ASV,ASV_00228: Bacteroidia; NS2b marine group
ASV_00109,24,ASV,ASV_00109: Bacteroidia; NS4 marine group
ASV_00218,25,ASV,ASV_00218: Bacteroidia; NS4 marine group
ASV_00345,26,ASV,ASV_00345: Bacteroidia; NS4 marine group
ASV_00027,27,ASV,ASV_00027: Bacteroidia; NS5 marine group
ASV_00032,28,ASV,ASV_00032: Bacteroidia; NS5 marine group
ASV_00043,29,ASV,ASV_00043: Bacteroidia; NS5 marine group
ASV_00048,30,ASV,ASV_00048: Bacteroidia; NS5 marine group
