Source,Target,Type,Weight,estimate,padj_01
1,69,Undirected,0.8571428571428573,-0.8571428571428573,0.00653001725471529
2,70,Undirected,0.9746794344808964,-0.9746794344808964,0.0048182304681985404
3,71,Undirected,0.7618527288259723,-0.7618527288259723,0.003979733967020674
3,72,Undirected,0.7618527288259723,-0.7618527288259723,0.003979733967020674
4,73,Undirected,0.8545454545454544,0.8545454545454544,0.0016368033159867143
4,74,Undirected,0.7552447552447553,0.7552447552447553,0.0045084354842942305
4,75,Undirected,0.8727272727272727,0.8727272727272727,4.546150514096433e-4
4,76,Undirected,0.7482517482517483,0.7482517482517483,0.005124081698753069
4,77,Undirected,0.9,0.9,1.5997142806871369e-4
4,78,Undirected,0.890909090909091,0.890909090909091,2.3345817037873244e-4
4,79,Undirected,0.9181818181818181,0.9181818181818181,6.66145194135566e-5
5,73,Undirected,0.8303030303030301,0.8303030303030301,0.002940227023279515
5,80,Undirected,0.7412587412587414,0.7412587412587414,0.005801150474478243
5,74,Undirected,0.8321678321678323,0.8321678321678323,7.854416778536104e-4
5,81,Undirected,0.7902097902097903,0.7902097902097903,0.0022231354099909225
5,82,Undirected,0.8111888111888113,0.8111888111888113,0.0013633152527271946
5,83,Undirected,0.7762237762237764,0.7762237762237764,0.0029928636801859767
5,75,Undirected,0.8727272727272727,0.8727272727272727,4.546150514096433e-4
5,76,Undirected,0.8251748251748252,0.8251748251748252,9.513628555555071e-4
5,84,Undirected,0.8111888111888113,0.8111888111888113,0.0013633152527271946
5,77,Undirected,0.890909090909091,0.890909090909091,2.3345817037873244e-4
5,78,Undirected,0.8727272727272727,0.8727272727272727,4.546150514096433e-4
5,79,Undirected,0.890909090909091,0.890909090909091,2.3345817037873244e-4
6,80,Undirected,0.7552447552447553,0.7552447552447553,0.0045084354842942305
6,85,Undirected,0.7692307692307694,0.7692307692307694,0.0034464502618274493
6,74,Undirected,0.7762237762237764,0.7762237762237764,0.0029928636801859767
6,82,Undirected,0.7692307692307694,0.7692307692307694,0.0034464502618274493
6,76,Undirected,0.7412587412587414,0.7412587412587414,0.005801150474478243
6,84,Undirected,0.7692307692307694,0.7692307692307694,0.0034464502618274493
6,77,Undirected,0.7727272727272727,0.7727272727272727,0.005299487178643858
7,75,Undirected,0.7831769234126434,-0.7831769234126434,0.004358376259995989
7,77,Undirected,0.7831769234126434,-0.7831769234126434,0.004358376259995989
7,78,Undirected,0.7831769234126434,-0.7831769234126434,0.004358376259995989
7,79,Undirected,0.8277882671513382,-0.8277882671513382,0.0016558728170318496
8,75,Undirected,0.7583928435578129,0.7583928435578129,0.006823483426977318
8,77,Undirected,0.7930905553545756,0.7930905553545756,0.003585504226241437
8,78,Undirected,0.7831769234126434,0.7831769234126434,0.00435837625999598
9,73,Undirected,0.9393939393939392,-0.9393939393939392,5.484052998513784e-5
9,80,Undirected,0.7832167832167833,-0.7832167832167833,0.0025862148333625963
9,85,Undirected,0.7552447552447553,-0.7552447552447553,0.004508435484294213
9,86,Undirected,0.9285714285714283,-0.9285714285714283,0.0025194724037947234
9,87,Undirected,0.8666666666666667,-0.8666666666666667,0.0024953982859902035
9,83,Undirected,0.7552447552447553,-0.7552447552447553,0.004508435484294213
9,75,Undirected,0.7727272727272727,-0.7727272727272727,0.005299487178643858
9,77,Undirected,0.7909090909090909,-0.7909090909090909,0.0037460829533974027
9,78,Undirected,0.8181818181818182,-0.8181818181818182,0.0020831448404786943
9,79,Undirected,0.8090909090909091,-0.8090909090909091,0.002558580199713915
10,73,Undirected,0.8267515394048878,-0.8267515394048878,0.0031797140860104246
11,86,Undirected,0.8928571428571427,-0.8928571428571427,0.006807187408935407
12,88,Undirected,0.7412587412587414,-0.7412587412587414,0.005801150474478249
13,73,Undirected,0.8181818181818181,-0.8181818181818181,0.003814920082550725
13,80,Undirected,0.7482517482517483,-0.7482517482517483,0.005124081698753069
13,87,Undirected,0.8833333333333333,-0.8833333333333333,0.0015905004234978701
14,89,Undirected,0.9428571428571428,-0.9428571428571428,0.0048046647230320675
14,73,Undirected,0.9393939393939392,-0.9393939393939392,5.484052998513784e-5
14,87,Undirected,0.8166666666666667,-0.8166666666666667,0.007224785246358781
15,80,Undirected,0.7526737802859003,0.7526737802859003,0.00472787750582091
15,90,Undirected,0.7343158832057564,0.7343158832057564,0.006537925003600076
15,91,Undirected,0.7343158832057564,0.7343158832057564,0.006537925003600076
16,92,Undirected,0.7692307692307694,-0.7692307692307694,0.0034464502618274493
16,80,Undirected,0.8111888111888113,-0.8111888111888113,0.0013633152527271946
16,74,Undirected,0.8111888111888113,-0.8111888111888113,0.0013633152527271946
16,82,Undirected,0.7972027972027973,-0.7972027972027973,0.0019003677255282703
16,83,Undirected,0.7902097902097903,-0.7902097902097903,0.0022231354099909034
16,76,Undirected,0.7552447552447553,-0.7552447552447553,0.004508435484294213
16,84,Undirected,0.7972027972027973,-0.7972027972027973,0.0019003677255282703
16,93,Undirected,0.7762237762237764,-0.7762237762237764,0.0029928636801859797
17,92,Undirected,0.7552447552447553,-0.7552447552447553,0.004508435484294213
