variable	num_corrs	type
ASV_00001	2	asv_id
ASV_00002	1	asv_id
ASV_00003	3	asv_id
ASV_00004	1	asv_id
ASV_00005	2	asv_id
ASV_00006	2	asv_id
ASV_00007	1	asv_id
ASV_00008	6	asv_id
ASV_00009	5	asv_id
ASV_00010	3	asv_id
ASV_00011	12	asv_id
ASV_00012	5	asv_id
ASV_00013	8	asv_id
ASV_00014	1	asv_id
ASV_00015	1	asv_id
ASV_00016	11	asv_id
ASV_00017	3	asv_id
ASV_00018	19	asv_id
ASV_00019	1	asv_id
ASV_00020	8	asv_id
ASV_00021	1	asv_id
ASV_00022	4	asv_id
ASV_00023	5	asv_id
ASV_00024	9	asv_id
ASV_00025	5	asv_id
ASV_00026	9	asv_id
ASV_00027	5	asv_id
ASV_00028	9	asv_id
ASV_00029	4	asv_id
ASV_00030	8	asv_id
ASV_00031	11	asv_id
ASV_00032	4	asv_id
ASV_00034	2	asv_id
ASV_00035	7	asv_id
ASV_00036	1	asv_id
ASV_00037	5	asv_id
ASV_00038	1	asv_id
ASV_00039	6	asv_id
ASV_00040	12	asv_id
ASV_00041	19	asv_id
ASV_00043	5	asv_id
ASV_00044	9	asv_id
ASV_00045	3	asv_id
ASV_00046	7	asv_id
ASV_00047	3	asv_id
ASV_00048	4	asv_id
ASV_00049	6	asv_id
ASV_00050	11	asv_id
ASV_00051	8	asv_id
ASV_00052	2	asv_id
ASV_00053	14	asv_id
ASV_00054	17	asv_id
ASV_00055	5	asv_id
ASV_00057	1	asv_id
ASV_00058	5	asv_id
ASV_00059	3	asv_id
ASV_00060	7	asv_id
ASV_00061	8	asv_id
ASV_00063	7	asv_id
ASV_00064	1	asv_id
ASV_00066	5	asv_id
ASV_00067	9	asv_id
ASV_00068	3	asv_id
ASV_00069	7	asv_id
ASV_00070	6	asv_id
ASV_00071	2	asv_id
ASV_00072	5	asv_id
ASV_00073	2	asv_id
ASV_00074	3	asv_id
ASV_00077	7	asv_id
ASV_00079	1	asv_id
ASV_00080	8	asv_id
ASV_00083	4	asv_id
ASV_00084	7	asv_id
ASV_00085	4	asv_id
ASV_00087	4	asv_id
ASV_00089	8	asv_id
ASV_00091	1	asv_id
ASV_00092	2	asv_id
ASV_00093	7	asv_id
ASV_00094	3	asv_id
ASV_00095	8	asv_id
ASV_00096	4	asv_id
ASV_00097	4	asv_id
ASV_00098	5	asv_id
ASV_00099	7	asv_id
ASV_00100	3	asv_id
ASV_00101	5	asv_id
ASV_00102	4	asv_id
ASV_00103	6	asv_id
ASV_00104	4	asv_id
ASV_00105	4	asv_id
ASV_00107	6	asv_id
ASV_00108	7	asv_id
ASV_00109	15	asv_id
ASV_00110	3	asv_id
ASV_00111	5	asv_id
ASV_00112	7	asv_id
ASV_00113	7	asv_id
ASV_00114	3	asv_id
ASV_00115	4	asv_id
ASV_00117	1	asv_id
ASV_00119	1	asv_id
ASV_00120	8	asv_id
ASV_00121	1	asv_id
ASV_00122	1	asv_id
ASV_00123	4	asv_id
ASV_00124	5	asv_id
ASV_00126	3	asv_id
ASV_00128	3	asv_id
ASV_00129	3	asv_id
ASV_00131	6	asv_id
ASV_00134	12	asv_id
ASV_00136	4	asv_id
ASV_00138	4	asv_id
ASV_00141	1	asv_id
ASV_00142	2	asv_id
ASV_00143	2	asv_id
ASV_00145	4	asv_id
ASV_00147	6	asv_id
ASV_00149	1	asv_id
ASV_00150	8	asv_id
ASV_00151	4	asv_id
ASV_00153	2	asv_id
ASV_00154	5	asv_id
ASV_00155	2	asv_id
ASV_00158	1	asv_id
ASV_00159	7	asv_id
ASV_00161	4	asv_id
ASV_00163	3	asv_id
ASV_00164	17	asv_id
ASV_00165	2	asv_id
ASV_00167	3	asv_id
ASV_00171	1	asv_id
ASV_00173	2	asv_id
ASV_00175	3	asv_id
ASV_00177	4	asv_id
ASV_00178	5	asv_id
ASV_00180	2	asv_id
ASV_00181	6	asv_id
ASV_00182	2	asv_id
ASV_00185	7	asv_id
ASV_00187	2	asv_id
ASV_00190	2	asv_id
ASV_00191	3	asv_id
ASV_00192	2	asv_id
ASV_00195	3	asv_id
ASV_00196	1	asv_id
ASV_00199	5	asv_id
ASV_00200	5	asv_id
ASV_00201	2	asv_id
ASV_00202	3	asv_id
ASV_00206	2	asv_id
ASV_00207	12	asv_id
ASV_00208	3	asv_id
ASV_00209	2	asv_id
ASV_00210	7	asv_id
ASV_00211	2	asv_id
ASV_00215	3	asv_id
ASV_00216	6	asv_id
ASV_00218	18	asv_id
ASV_00221	5	asv_id
ASV_00222	2	asv_id
ASV_00223	2	asv_id
ASV_00224	1	asv_id
ASV_00225	7	asv_id
ASV_00226	4	asv_id
ASV_00227	8	asv_id
ASV_00228	4	asv_id
ASV_00229	7	asv_id
ASV_00231	2	asv_id
ASV_00232	3	asv_id
ASV_00233	4	asv_id
ASV_00235	5	asv_id
ASV_00236	1	asv_id
ASV_00238	13	asv_id
ASV_00239	2	asv_id
ASV_00240	2	asv_id
ASV_00243	6	asv_id
ASV_00245	1	asv_id
ASV_00246	3	asv_id
ASV_00248	7	asv_id
ASV_00251	5	asv_id
ASV_00252	6	asv_id
ASV_00256	8	asv_id
ASV_00258	3	asv_id
ASV_00259	2	asv_id
ASV_00260	2	asv_id
ASV_00261	2	asv_id
ASV_00264	3	asv_id
ASV_00269	1	asv_id
ASV_00271	4	asv_id
ASV_00274	3	asv_id
ASV_00278	2	asv_id
ASV_00279	2	asv_id
ASV_00280	5	asv_id
ASV_00281	1	asv_id
ASV_00282	3	asv_id
ASV_00283	6	asv_id
ASV_00289	1	asv_id
ASV_00291	2	asv_id
ASV_00292	2	asv_id
ASV_00294	4	asv_id
ASV_00295	1	asv_id
ASV_00300	6	asv_id
ASV_00302	2	asv_id
ASV_00303	9	asv_id
ASV_00304	2	asv_id
ASV_00307	1	asv_id
ASV_00308	3	asv_id
