variable	num_unique_corrs	type	LB_seagrass	Tektite	Yawzi	taxonomy
ASV_00018	19	asv_id	3	15	8	ASV_00018: Verrucomicrobiae; Coraliomargarita
ASV_00041	19	asv_id	1	18	0	ASV_00041: Gammaproteobacteria; OM60(NOR5) clade
ASV_00218	18	asv_id	15	3	1	ASV_00218: Bacteroidia; NS4 marine group
ASV_00054	17	asv_id	3	0	15	ASV_00054: Gammaproteobacteria; Alteromonas
ASV_00164	17	asv_id	1	16	0	ASV_00164: Bacteroidia; Chitinophagales
ASV_00109	15	asv_id	12	2	2	ASV_00109: Bacteroidia; NS4 marine group
ASV_00360	15	asv_id	5	3	9	ASV_00360: Bacteroidia; Fabibacter
ASV_01297	15	asv_id	0	15	0	ASV_01297: Oligoflexia; Oligoflexaceae
ASV_00053	14	asv_id	12	0	2	ASV_00053: Phycisphaerae; Urania-1B-19 marine sediment group
ASV_00238	13	asv_id	3	10	0	ASV_00238: Bacteroidia; Chitinophagales
ASV_00751	13	asv_id	1	1	11	ASV_00751: Alphaproteobacteria; Limibaculum
ASV_00011	12	asv_id	11	1	0	ASV_00011: Gammaproteobacteria; SAR86 clade
ASV_00040	12	asv_id	0	2	10	ASV_00040: Gammaproteobacteria; OM60(NOR5) clade
ASV_00134	12	asv_id	8	0	5	ASV_00134: Acidimicrobia; Candidatus Actinomarina
ASV_00207	12	asv_id	0	1	11	ASV_00207: Alphaproteobacteria; SAR11 Clade II
ASV_00016	11	asv_id	6	0	5	ASV_00016: Acidimicrobia; Candidatus Actinomarina
ASV_00031	11	asv_id	10	1	0	ASV_00031: Bacteria; Marinimicrobia (SAR406 clade)
ASV_00050	11	asv_id	10	0	1	ASV_00050: Alphaproteobacteria; Rhodobacteraceae
ASV_01874	11	asv_id	11	0	0	ASV_01874: Bacteroidia; Fulvivirga
ASV_02389	11	asv_id	0	0	11	ASV_02389: Alphaproteobacteria; Rickettsiaceae
ASV_02145	10	asv_id	10	0	0	ASV_02145: Verrucomicrobiota; Lentisphaeria
ASV_00024	9	asv_id	3	4	3	ASV_00024: Alphaproteobacteria; Rhodobacteraceae
ASV_00026	9	asv_id	6	4	1	ASV_00026: Alphaproteobacteria; AEGEAN-169 marine group
ASV_00028	9	asv_id	4	1	5	ASV_00028: Gammaproteobacteria; Stenotrophomonas
ASV_00044	9	asv_id	4	5	0	ASV_00044: Gammaproteobacteria; OM60(NOR5) clade
ASV_00067	9	asv_id	8	1	0	ASV_00067: Alphaproteobacteria; SAR11 Clade Ia
ASV_00303	9	asv_id	7	2	0	ASV_00303: Thermoplasmata; Marine Group II
ASV_00013	8	asv_id	7	0	1	ASV_00013: Acidimicrobia; Candidatus Actinomarina
ASV_00020	8	asv_id	8	0	0	ASV_00020: Gammaproteobacteria; SAR86 clade
ASV_00030	8	asv_id	4	0	4	ASV_00030: Cyanobacteria; Synechococcus CC9902
ASV_00051	8	asv_id	4	2	3	ASV_00051: Gammaproteobacteria; Pseudomonas
ASV_00061	8	asv_id	6	1	2	ASV_00061: Gammaproteobacteria; Pseudomonas
ASV_00080	8	asv_id	6	1	1	ASV_00080: Rhodothermia; Balneola
ASV_00089	8	asv_id	8	0	0	ASV_00089: Bacteroidia; Cryomorphaceae
ASV_00095	8	asv_id	7	1	1	ASV_00095: Bacteroidia; Flavobacteriaceae
ASV_00120	8	asv_id	2	0	6	ASV_00120: Alphaproteobacteria; PS1 clade
ASV_00150	8	asv_id	6	3	0	ASV_00150: Verrucomicrobiae; MB11C04 marine group
ASV_00227	8	asv_id	7	2	0	ASV_00227: Gammaproteobacteria; Photobacterium
ASV_00256	8	asv_id	5	2	1	ASV_00256: Gammaproteobacteria; Aquabacterium
ASV_00372	8	asv_id	8	0	0	ASV_00372: Bacteroidia; Mesoflavibacter
ASV_00431	8	asv_id	7	1	0	ASV_00431: Bacteria; Marinimicrobia (SAR406 clade)
ASV_00514	8	asv_id	5	0	3	ASV_00514: Bdellovibrionia; OM27 clade
ASV_00035	7	asv_id	5	3	1	ASV_00035: Alphaproteobacteria; SAR11 Clade Ib
