type	num_unique_corrs	asv_id	taxonomy
asv_id	19	ASV_00018	ASV_00018: Verrucomicrobiae; Coraliomargarita
asv_id	19	ASV_00041	ASV_00041: Gammaproteobacteria; OM60(NOR5) clade
asv_id	18	ASV_00218	ASV_00218: Bacteroidia; NS4 marine group
asv_id	17	ASV_00054	ASV_00054: Gammaproteobacteria; Alteromonas
asv_id	17	ASV_00164	ASV_00164: Bacteroidia; Chitinophagales
asv_id	15	ASV_00109	ASV_00109: Bacteroidia; NS4 marine group
asv_id	15	ASV_00360	ASV_00360: Bacteroidia; Fabibacter
asv_id	15	ASV_01297	ASV_01297: Oligoflexia; Oligoflexaceae
asv_id	14	ASV_00053	ASV_00053: Phycisphaerae; Urania-1B-19 marine sediment group
asv_id	13	ASV_00238	ASV_00238: Bacteroidia; Chitinophagales
asv_id	13	ASV_00751	ASV_00751: Alphaproteobacteria; Limibaculum
asv_id	12	ASV_00011	ASV_00011: Gammaproteobacteria; SAR86 clade
asv_id	12	ASV_00040	ASV_00040: Gammaproteobacteria; OM60(NOR5) clade
asv_id	12	ASV_00134	ASV_00134: Acidimicrobia; Candidatus Actinomarina
asv_id	12	ASV_00207	ASV_00207: Alphaproteobacteria; SAR11 Clade II
asv_id	11	ASV_00016	ASV_00016: Acidimicrobia; Candidatus Actinomarina
asv_id	11	ASV_00031	ASV_00031: Bacteria; Marinimicrobia (SAR406 clade)
asv_id	11	ASV_00050	ASV_00050: Alphaproteobacteria; Rhodobacteraceae
asv_id	11	ASV_01874	ASV_01874: Bacteroidia; Fulvivirga
asv_id	11	ASV_02389	ASV_02389: Alphaproteobacteria; Rickettsiaceae
asv_id	10	ASV_02145	ASV_02145: Verrucomicrobiota; Lentisphaeria
