taxonomy	simpleName	Source	Target	Type	Weight	estimate_direction
Acidimicrobia; Candidatus Actinomarina	pantothenic acid	1	227	Undirected	1	-0.5
Acidimicrobia; Candidatus Actinomarina	5'UMP	1	272	Undirected	1	-0.5
Acidimicrobia; Candidatus Actinomarina	sn-glycerol 3-phosphate	1	274	Undirected	1	-0.5
Acidimicrobia; Candidatus Actinomarina	sn-glycerol 3-phosphate	1	275	Undirected	2	-0.5
Acidimicrobia; Candidatus Actinomarina	sn-glycerol 3-phosphate	1	276	Undirected	3	-0.5
Acidimicrobia; Sva0996 marine group	3'AMP	3	245	Undirected	1	0.5
Acidimicrobia; Sva0996 marine group	glutathione 2	2	262	Undirected	1	-0.5
Acidimicrobia; Sva0996 marine group	glutathione 2	2	263	Undirected	2	-0.5
Acidimicrobia; Sva0996 marine group	glutathione 2	2	264	Undirected	3	-0.5
Acidimicrobia; Sva0996 marine group	sn-glycerol 3-phosphate	3	277	Undirected	1	0.5
Actinobacteria; Candidatus Aquiluna	spermidine 3	4	189	Undirected	1	0.5
Actinobacteria; ML602J-51	isethionate	5	256	Undirected	1	0.5
Actinobacteria; ML602J-51	isethionate	5	257	Undirected	2	0.5
Actinobacteria; ML602J-51	isethionate	5	258	Undirected	3	0.5
Actinobacteria; ML602J-51	isethionate	5	259	Undirected	4	0.5
Actinobacteria; Microbacteriaceae	isethionate	6	256	Undirected	1	0.5
Actinobacteria; Microbacteriaceae	isethionate	6	257	Undirected	2	0.5
Actinobacteria; Microbacteriaceae	isethionate	6	258	Undirected	3	0.5
Actinobacteria; Microbacteriaceae	isethionate	6	259	Undirected	4	0.5
Alphaproteobacteria; AEGEAN-169 marine group	spermidine 3	7	188	Undirected	1	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	3'AMP	7	243	Undirected	1	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	3'AMP	7	244	Undirected	2	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	isethionate	8	256	Undirected	1	0.5
Alphaproteobacteria; AEGEAN-169 marine group	isethionate	8	257	Undirected	2	0.5
Alphaproteobacteria; AEGEAN-169 marine group	isethionate	8	258	Undirected	3	0.5
Alphaproteobacteria; AEGEAN-169 marine group	isethionate	8	259	Undirected	4	0.5
Alphaproteobacteria; AEGEAN-169 marine group	sn-glycerol 3-phosphate	7	274	Undirected	1	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	sn-glycerol 3-phosphate	7	275	Undirected	2	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	sn-glycerol 3-phosphate	7	276	Undirected	3	-0.5
Alphaproteobacteria; Ascidiaceihabitans	arginine	9	260	Undirected	1	-0.5
Alphaproteobacteria; Ascidiaceihabitans	glutathione 2	10	265	Undirected	1	0.5
Alphaproteobacteria; Ascidiaceihabitans	glutathione 2	10	266	Undirected	2	0.5
Alphaproteobacteria; Ascidiaceihabitans	glutathione 2	10	267	Undirected	3	0.5
Alphaproteobacteria; Defluviicoccales	isethionate	11	256	Undirected	1	0.5
Alphaproteobacteria; Defluviicoccales	isethionate	11	257	Undirected	2	0.5
Alphaproteobacteria; Defluviicoccales	isethionate	11	258	Undirected	3	0.5
Alphaproteobacteria; Defluviicoccales	isethionate	11	259	Undirected	4	0.5
