taxonomy	simpleName	Source	Target	Type	Weight	estimate_direction
Acidimicrobia; Candidatus Actinomarina	asparagine	1	325	Undirected	1	-0.5
Acidimicrobia; Candidatus Actinomarina	asparagine	1	326	Undirected	2	-0.5
Acidimicrobia; Candidatus Actinomarina	asparagine	2	325	Undirected	1	-0.5
Acidimicrobia; Candidatus Actinomarina	asparagine	2	326	Undirected	2	-0.5
Acidimicrobia; Candidatus Actinomarina	asparagine	3	325	Undirected	1	-0.5
Acidimicrobia; Candidatus Actinomarina	asparagine	3	326	Undirected	2	-0.5
Acidimicrobia; Candidatus Actinomarina	asparagine	4	325	Undirected	1	-0.5
Acidimicrobia; Candidatus Actinomarina	asparagine	4	326	Undirected	2	-0.5
Acidimicrobia; Candidatus Actinomarina	glycine	1	329	Undirected	3	-0.5
Acidimicrobia; Candidatus Actinomarina	glycine	1	330	Undirected	2	-0.5
Acidimicrobia; Candidatus Actinomarina	glycine	1	331	Undirected	1	-0.5
Acidimicrobia; Candidatus Actinomarina	glycine	1	332	Undirected	4	-0.5
Acidimicrobia; Candidatus Actinomarina	glycine	1	333	Undirected	8	-0.5
Acidimicrobia; Candidatus Actinomarina	glycine	2	329	Undirected	3	-0.5
Acidimicrobia; Candidatus Actinomarina	glycine	2	330	Undirected	2	-0.5
Acidimicrobia; Candidatus Actinomarina	glycine	2	331	Undirected	1	-0.5
Acidimicrobia; Candidatus Actinomarina	glycine	2	332	Undirected	4	-0.5
Acidimicrobia; Candidatus Actinomarina	glycine	2	333	Undirected	8	-0.5
Acidimicrobia; Candidatus Actinomarina	glycine	3	329	Undirected	3	-0.5
Acidimicrobia; Candidatus Actinomarina	glycine	3	330	Undirected	2	-0.5
Acidimicrobia; Candidatus Actinomarina	glycine	3	331	Undirected	1	-0.5
Acidimicrobia; Candidatus Actinomarina	glycine	3	332	Undirected	4	-0.5
Acidimicrobia; Candidatus Actinomarina	glycine	3	333	Undirected	8	-0.5
Acidimicrobia; Candidatus Actinomarina	glycine	4	329	Undirected	3	-0.5
Acidimicrobia; Candidatus Actinomarina	glycine	4	330	Undirected	2	-0.5
