Label	Id	direction	num_obs	omics_type
Acidimicrobia; Candidatus Actinomarina	1	down	1	microbe
Acidimicrobia; Candidatus Actinomarina	2	down	3	microbe
Acidimicrobia; Candidatus Actinomarina	3	down	2	microbe
Acidimicrobia; Candidatus Actinomarina	4	down	4	microbe
Acidimicrobia; Ilumatobacteraceae	5	down	1	microbe
Acidimicrobia; Microtrichaceae	6	down	1	microbe
Acidimicrobia; Sva0996 marine group	7	up	1	microbe
Actinobacteria; Candidatus Aquiluna	8	up	1	microbe
Actinobacteria; ML602J-51	9	up	1	microbe
Actinobacteria; Microbacteriaceae	10	up	1	microbe
Alphaproteobacteria; AEGEAN-169 marine group	11	down	2	microbe
Alphaproteobacteria; AEGEAN-169 marine group	12	down	5	microbe
Alphaproteobacteria; AEGEAN-169 marine group	13	down	1	microbe
Alphaproteobacteria; AEGEAN-169 marine group	14	down	4	microbe
Alphaproteobacteria; AEGEAN-169 marine group	15	down	3	microbe
Alphaproteobacteria; Aestuariicoccus	16	up	1	microbe
Alphaproteobacteria; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	17	down	1	microbe
Alphaproteobacteria; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	18	up	1	microbe
Alphaproteobacteria; Candidatus Megaira	19	up	1	microbe
Alphaproteobacteria; Celeribacter	20	up	1	microbe
Alphaproteobacteria; Defluviicoccales	21	down	1	microbe
Alphaproteobacteria; Defluviicoccales	22	up	1	microbe
Alphaproteobacteria; Erythrobacter	23	down	1	microbe
Alphaproteobacteria; Erythrobacter	24	up	1	microbe
Alphaproteobacteria; HIMB11	25	up	1	microbe
Alphaproteobacteria; Hirschia	26	up	1	microbe
Alphaproteobacteria; Holosporaceae	27	up	1	microbe
Alphaproteobacteria; Hyphomonadaceae	28	up	1	microbe
Alphaproteobacteria; Leisingera	29	up	1	microbe
Alphaproteobacteria; Limibaculum	30	up	1	microbe
Alphaproteobacteria; Litorimicrobium	31	up	1	microbe
Alphaproteobacteria; Methyloligellaceae	32	up	1	microbe
Alphaproteobacteria; PS1 clade	33	down	1	microbe
Alphaproteobacteria; PS1 clade	34	down	2	microbe
Alphaproteobacteria; PS1 clade	35	up	1	microbe
Alphaproteobacteria; Ponticaulis	36	up	1	microbe
Alphaproteobacteria; Rhizobiaceae	37	up	1	microbe
Alphaproteobacteria; Rhizobiales	38	up	1	microbe
