taxonomy	simpleName	Source	Target	Type	Weight	estimate_direction
Acidimicrobia; Candidatus Actinomarina	kynurenine	1	154	Undirected	1	-0.5
Acidimicrobia; Candidatus Actinomarina	kynurenine	2	154	Undirected	1	-0.5
Acidimicrobia; Candidatus Actinomarina	lysine 2	1	168	Undirected	1	-0.5
Acidimicrobia; Candidatus Actinomarina	lysine 2	1	169	Undirected	2	-0.5
Acidimicrobia; Candidatus Actinomarina	lysine 2	2	168	Undirected	1	-0.5
Acidimicrobia; Candidatus Actinomarina	lysine 2	2	169	Undirected	2	-0.5
Acidimicrobia; Candidatus Actinomarina	phenylalanine	1	171	Undirected	1	-0.5
Acidimicrobia; Candidatus Actinomarina	phenylalanine	2	171	Undirected	1	-0.5
Acidimicrobia; Candidatus Actinomarina	pantothenic acid	1	187	Undirected	1	-0.5
Acidimicrobia; Candidatus Actinomarina	pantothenic acid	1	188	Undirected	2	-0.5
Acidimicrobia; Candidatus Actinomarina	pantothenic acid	2	187	Undirected	1	-0.5
Acidimicrobia; Candidatus Actinomarina	pantothenic acid	2	188	Undirected	2	-0.5
Acidimicrobia; Candidatus Actinomarina	cysteate	1	194	Undirected	3	-0.5
Acidimicrobia; Candidatus Actinomarina	cysteate	1	195	Undirected	1	-0.5
Acidimicrobia; Candidatus Actinomarina	cysteate	1	196	Undirected	2	-0.5
Acidimicrobia; Candidatus Actinomarina	cysteate	2	194	Undirected	3	-0.5
Acidimicrobia; Candidatus Actinomarina	cysteate	2	195	Undirected	1	-0.5
Acidimicrobia; Candidatus Actinomarina	cysteate	2	196	Undirected	2	-0.5
Acidimicrobia; Candidatus Actinomarina	GABA	1	206	Undirected	1	-0.5
Acidimicrobia; Candidatus Actinomarina	GABA	1	207	Undirected	2	-0.5
Acidimicrobia; Candidatus Actinomarina	GABA	2	206	Undirected	1	-0.5
Acidimicrobia; Candidatus Actinomarina	GABA	2	207	Undirected	2	-0.5
Acidimicrobia; Candidatus Actinomarina	malic acid	1	233	Undirected	1	-0.5
Acidimicrobia; Candidatus Actinomarina	malic acid	2	233	Undirected	1	-0.5
Actinobacteria; Candidatus Aquiluna	pantothenic acid	3	189	Undirected	1	0.5
Actinobacteria; Candidatus Aquiluna	pantothenic acid	3	190	Undirected	4	0.5
Actinobacteria; Candidatus Aquiluna	pantothenic acid	3	191	Undirected	2	0.5
Actinobacteria; Candidatus Aquiluna	pantothenic acid	3	192	Undirected	3	0.5
Actinobacteria; ML602J-51	kynurenine	4	155	Undirected	1	0.5
Actinobacteria; ML602J-51	kynurenine	4	156	Undirected	5	0.5
Actinobacteria; ML602J-51	kynurenine	4	157	Undirected	2	0.5
Actinobacteria; ML602J-51	kynurenine	4	158	Undirected	4	0.5
Actinobacteria; ML602J-51	phenylalanine	4	172	Undirected	1	0.5
Actinobacteria; ML602J-51	phenylalanine	4	173	Undirected	2	0.5
Actinobacteria; ML602J-51	pantothenic acid	4	189	Undirected	1	0.5
Actinobacteria; ML602J-51	pantothenic acid	4	190	Undirected	4	0.5
Actinobacteria; ML602J-51	pantothenic acid	4	191	Undirected	2	0.5
Actinobacteria; ML602J-51	pantothenic acid	4	192	Undirected	3	0.5
Actinobacteria; ML602J-51	cysteate	4	197	Undirected	1	0.5
Actinobacteria; ML602J-51	cysteate	4	198	Undirected	3	0.5
Actinobacteria; ML602J-51	cysteate	4	199	Undirected	2	0.5
Actinobacteria; ML602J-51	ciliatine	4	204	Undirected	1	0.5
Actinobacteria; ML602J-51	ciliatine	4	205	Undirected	2	0.5
Actinobacteria; ML602J-51	GABA	4	208	Undirected	1	0.5
Actinobacteria; ML602J-51	GABA	4	209	Undirected	2	0.5
Actinobacteria; ML602J-51	arginine	4	226	Undirected	1	0.5
Actinobacteria; ML602J-51	arginine	4	227	Undirected	2	0.5
Actinobacteria; ML602J-51	arginine	4	228	Undirected	3	0.5
Actinobacteria; Microbacteriaceae	phenylalanine	5	172	Undirected	1	0.5
Actinobacteria; Microbacteriaceae	phenylalanine	5	173	Undirected	2	0.5
Actinobacteria; Microbacteriaceae	pantothenic acid	5	189	Undirected	1	0.5
