Label	Id	direction	num_obs	omics_type
Acidimicrobia; Candidatus Actinomarina	1	down	1	microbe
Acidimicrobia; Candidatus Actinomarina	2	down	3	microbe
Actinobacteria; Candidatus Aquiluna	3	up	1	microbe
Actinobacteria; ML602J-51	4	up	1	microbe
Actinobacteria; Microbacteriaceae	5	up	1	microbe
Alphaproteobacteria; AEGEAN-169 marine group	6	down	1	microbe
Alphaproteobacteria; Aestuariicoccus	7	up	1	microbe
Alphaproteobacteria; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	8	up	1	microbe
Alphaproteobacteria; Ascidiaceihabitans	9	down	1	microbe
Alphaproteobacteria; Candidatus Megaira	10	up	1	microbe
Alphaproteobacteria; HIMB11	11	up	1	microbe
Alphaproteobacteria; Hirschia	12	up	1	microbe
Alphaproteobacteria; Hyphomonadaceae	13	up	1	microbe
Alphaproteobacteria; Leisingera	14	up	1	microbe
Alphaproteobacteria; Methyloceanibacter	15	up	1	microbe
Alphaproteobacteria; Methyloligellaceae	16	down	1	microbe
Alphaproteobacteria; Methyloligellaceae	17	up	1	microbe
Alphaproteobacteria; PS1 clade	18	down	1	microbe
Alphaproteobacteria; Rhizobiales	19	up	1	microbe
Alphaproteobacteria; Rhodobacteraceae	20	down	1	microbe
Alphaproteobacteria; Rhodobacteraceae	21	down	2	microbe
Alphaproteobacteria; Rhodobacteraceae	22	up	5	microbe
Alphaproteobacteria; Rhodobacteraceae	23	up	2	microbe
Alphaproteobacteria; Rhodobacteraceae	24	up	4	microbe
Alphaproteobacteria; Rhodobacteraceae	25	up	1	microbe
Alphaproteobacteria; Rickettsiales	26	down	1	microbe
Alphaproteobacteria; Roseobacter clade CHAB-I-5 lineage	27	up	1	microbe
Alphaproteobacteria; S25-593	28	down	1	microbe
Alphaproteobacteria; SAR11 Clade II	29	down	1	microbe
Alphaproteobacteria; SAR11 Clade III	30	down	1	microbe
Alphaproteobacteria; SAR11 Clade Ia	31	down	1	microbe
Alphaproteobacteria; SAR11 Clade Ib	32	down	2	microbe
Alphaproteobacteria; SAR11 Clade Ib	33	down	1	microbe
Alphaproteobacteria; SAR116 clade	34	down	1	microbe
Alphaproteobacteria; SAR116 clade	35	down	2	microbe
Alphaproteobacteria; Stappiaceae	36	up	1	microbe
Bacilli; Acholeplasma	37	up	1	microbe
Bacilli; Candidatus Hepatoplasma	38	up	1	microbe
Bacteria	39	up	1	microbe
