taxonomy	simpleName	Source	Target	Type	Weight	estimate_direction
Alphaproteobacteria; AEGEAN-169 marine group	kynurenine	1	78	Undirected	2	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	kynurenine	1	79	Undirected	1	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	kynurenine	1	80	Undirected	3	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	kynurenine	2	78	Undirected	2	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	kynurenine	2	79	Undirected	1	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	kynurenine	2	80	Undirected	3	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	tryptophan	1	83	Undirected	2	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	tryptophan	1	84	Undirected	1	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	tryptophan	1	85	Undirected	3	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	tryptophan	2	83	Undirected	2	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	tryptophan	2	84	Undirected	1	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	tryptophan	2	85	Undirected	3	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	histidine	1	88	Undirected	1	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	histidine	1	89	Undirected	2	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	histidine	2	88	Undirected	1	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	histidine	2	89	Undirected	2	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	pantothenic acid	1	131	Undirected	1	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	pantothenic acid	2	131	Undirected	1	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	sn-glycerol 3-phosphate	1	158	Undirected	1	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	sn-glycerol 3-phosphate	1	159	Undirected	2	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	sn-glycerol 3-phosphate	2	158	Undirected	1	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	sn-glycerol 3-phosphate	2	159	Undirected	2	-0.5
Alphaproteobacteria; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	glycine	3	76	Undirected	1	0.5
Alphaproteobacteria; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	glycine	3	77	Undirected	4	0.5
Alphaproteobacteria; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	proline	3	96	Undirected	1	0.5
Alphaproteobacteria; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	proline	3	97	Undirected	4	0.5
Alphaproteobacteria; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	phenylalanine	3	106	Undirected	1	0.5
Alphaproteobacteria; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	phenylalanine	3	107	Undirected	4	0.5
Alphaproteobacteria; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	citrulline	3	109	Undirected	1	0.5
Alphaproteobacteria; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	citrulline	3	110	Undirected	6	0.5
Alphaproteobacteria; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	ornithine 2	3	112	Undirected	1	0.5
Alphaproteobacteria; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	ornithine 2	3	113	Undirected	5	0.5
Alphaproteobacteria; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	serine	3	114	Undirected	1	0.5
Alphaproteobacteria; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	serine	3	115	Undirected	5	0.5
Alphaproteobacteria; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	threonine	3	118	Undirected	1	0.5
Alphaproteobacteria; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	threonine	3	119	Undirected	3	0.5
Alphaproteobacteria; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	isoleucine	3	125	Undirected	1	0.5
Alphaproteobacteria; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	isoleucine	3	126	Undirected	4	0.5
Alphaproteobacteria; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	leucine	3	128	Undirected	1	0.5
Alphaproteobacteria; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	leucine	3	129	Undirected	5	0.5
Alphaproteobacteria; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	uridine	3	135	Undirected	1	0.5
Alphaproteobacteria; Ascidiaceihabitans	kynurenine	4	78	Undirected	2	-0.5
Alphaproteobacteria; Ascidiaceihabitans	kynurenine	4	79	Undirected	1	-0.5
Alphaproteobacteria; Ascidiaceihabitans	kynurenine	4	80	Undirected	3	-0.5
Alphaproteobacteria; OCS116 clade	putrescine 2	5	73	Undirected	1	0.5
Alphaproteobacteria; OM75 clade	putrescine 2	6	71	Undirected	1	-0.5
Alphaproteobacteria; OM75 clade	putrescine 2	6	72	Undirected	2	-0.5
Alphaproteobacteria; Rhodobacteraceae	histidine	7	88	Undirected	1	-0.5
Alphaproteobacteria; Rhodobacteraceae	histidine	7	89	Undirected	2	-0.5
Alphaproteobacteria; Rickettsiales	tryptophan	8	83	Undirected	2	-0.5
Alphaproteobacteria; Rickettsiales	tryptophan	8	84	Undirected	1	-0.5
Alphaproteobacteria; Rickettsiales	tryptophan	8	85	Undirected	3	-0.5
Alphaproteobacteria; S25-593	putrescine 2	9	71	Undirected	1	-0.5
Alphaproteobacteria; S25-593	putrescine 2	9	72	Undirected	2	-0.5
Alphaproteobacteria; S25-593	asparagine	9	74	Undirected	1	-0.5
Alphaproteobacteria; S25-593	proline	9	95	Undirected	1	-0.5
Alphaproteobacteria; S25-593	lysine 2	9	102	Undirected	1	-0.5
Alphaproteobacteria; S25-593	isoleucine	9	124	Undirected	1	-0.5
Alphaproteobacteria; S25-593	leucine	9	127	Undirected	1	-0.5
Alphaproteobacteria; S25-593	taurine	9	136	Undirected	1	-0.5
Alphaproteobacteria; S25-593	taurine	9	137	Undirected	2	-0.5
Alphaproteobacteria; S25-593	glutamine	9	142	Undirected	1	-0.5
Alphaproteobacteria; S25-593	glutamine	9	143	Undirected	3	-0.5
Alphaproteobacteria; S25-593	glutamic acid	9	144	Undirected	1	-0.5
Alphaproteobacteria; S25-593	glutamic acid	9	145	Undirected	2	-0.5
Alphaproteobacteria; S25-593	arginine	9	148	Undirected	1	-0.5
Alphaproteobacteria; S25-593	5'UMP	9	155	Undirected	1	-0.5
Alphaproteobacteria; S25-593	5'UMP	9	156	Undirected	2	-0.5
Alphaproteobacteria; SAR11 Clade II	putrescine 2	10	71	Undirected	1	-0.5
Alphaproteobacteria; SAR11 Clade II	putrescine 2	10	72	Undirected	2	-0.5
Alphaproteobacteria; SAR11 Clade II	putrescine 2	11	71	Undirected	1	-0.5
Alphaproteobacteria; SAR11 Clade II	putrescine 2	11	72	Undirected	2	-0.5
Alphaproteobacteria; SAR11 Clade II	putrescine 2	12	71	Undirected	1	-0.5
Alphaproteobacteria; SAR11 Clade II	putrescine 2	12	72	Undirected	2	-0.5
Alphaproteobacteria; SAR11 Clade II	kynurenine	10	78	Undirected	2	-0.5
Alphaproteobacteria; SAR11 Clade II	kynurenine	10	79	Undirected	1	-0.5
Alphaproteobacteria; SAR11 Clade II	kynurenine	10	80	Undirected	3	-0.5
Alphaproteobacteria; SAR11 Clade II	kynurenine	11	78	Undirected	2	-0.5
Alphaproteobacteria; SAR11 Clade II	kynurenine	11	79	Undirected	1	-0.5
Alphaproteobacteria; SAR11 Clade II	kynurenine	11	80	Undirected	3	-0.5
Alphaproteobacteria; SAR11 Clade II	kynurenine	12	78	Undirected	2	-0.5
Alphaproteobacteria; SAR11 Clade II	kynurenine	12	79	Undirected	1	-0.5
Alphaproteobacteria; SAR11 Clade II	kynurenine	12	80	Undirected	3	-0.5
Alphaproteobacteria; SAR11 Clade II	tryptophan	10	83	Undirected	2	-0.5
Alphaproteobacteria; SAR11 Clade II	tryptophan	10	84	Undirected	1	-0.5
Alphaproteobacteria; SAR11 Clade II	tryptophan	10	85	Undirected	3	-0.5
Alphaproteobacteria; SAR11 Clade II	tryptophan	11	83	Undirected	2	-0.5
Alphaproteobacteria; SAR11 Clade II	tryptophan	11	84	Undirected	1	-0.5
Alphaproteobacteria; SAR11 Clade II	tryptophan	11	85	Undirected	3	-0.5
Alphaproteobacteria; SAR11 Clade II	tryptophan	12	83	Undirected	2	-0.5
Alphaproteobacteria; SAR11 Clade II	tryptophan	12	84	Undirected	1	-0.5
Alphaproteobacteria; SAR11 Clade II	tryptophan	12	85	Undirected	3	-0.5
Alphaproteobacteria; SAR11 Clade II	histidine	10	88	Undirected	1	-0.5
Alphaproteobacteria; SAR11 Clade II	histidine	10	89	Undirected	2	-0.5
Alphaproteobacteria; SAR11 Clade II	histidine	11	88	Undirected	1	-0.5
Alphaproteobacteria; SAR11 Clade II	histidine	11	89	Undirected	2	-0.5
Alphaproteobacteria; SAR11 Clade II	histidine	12	88	Undirected	1	-0.5
Alphaproteobacteria; SAR11 Clade II	histidine	12	89	Undirected	2	-0.5
Alphaproteobacteria; SAR11 Clade II	GABA	10	140	Undirected	1	-0.5
Alphaproteobacteria; SAR11 Clade II	GABA	11	140	Undirected	1	-0.5
Alphaproteobacteria; SAR11 Clade II	GABA	12	140	Undirected	1	-0.5
Alphaproteobacteria; SAR11 Clade II	sn-glycerol 3-phosphate	10	158	Undirected	1	-0.5
Alphaproteobacteria; SAR11 Clade II	sn-glycerol 3-phosphate	10	159	Undirected	2	-0.5
Alphaproteobacteria; SAR11 Clade II	sn-glycerol 3-phosphate	11	158	Undirected	1	-0.5
Alphaproteobacteria; SAR11 Clade II	sn-glycerol 3-phosphate	11	159	Undirected	2	-0.5
Alphaproteobacteria; SAR11 Clade II	sn-glycerol 3-phosphate	12	158	Undirected	1	-0.5
