taxonomy	simpleName	Source	Target	Type	Weight	estimate_direction
Acidimicrobia; Sva0996 marine group	phenylalanine	1	151	Undirected	1	0.5
Acidimicrobia; Sva0996 marine group	pantothenic acid	1	174	Undirected	1	0.5
Alphaproteobacteria; AEGEAN-169 marine group	putrescine 2	2	116	Undirected	2	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	putrescine 2	2	117	Undirected	1	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	putrescine 2	3	116	Undirected	2	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	putrescine 2	3	117	Undirected	1	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	putrescine 2	4	116	Undirected	2	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	putrescine 2	4	117	Undirected	1	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	homoserine betaine	5	123	Undirected	5	0.5
Alphaproteobacteria; AEGEAN-169 marine group	homoserine betaine	5	124	Undirected	1	0.5
Alphaproteobacteria; AEGEAN-169 marine group	homoserine betaine	5	125	Undirected	3	0.5
Alphaproteobacteria; AEGEAN-169 marine group	homoserine betaine	5	126	Undirected	4	0.5
Alphaproteobacteria; AEGEAN-169 marine group	homoserine betaine	5	127	Undirected	9	0.5
Alphaproteobacteria; AEGEAN-169 marine group	kynurenine	2	132	Undirected	3	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	kynurenine	2	133	Undirected	1	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	kynurenine	2	134	Undirected	2	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	kynurenine	2	135	Undirected	5	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	kynurenine	3	132	Undirected	3	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	kynurenine	3	133	Undirected	1	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	kynurenine	3	134	Undirected	2	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	kynurenine	3	135	Undirected	5	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	kynurenine	4	132	Undirected	3	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	kynurenine	4	133	Undirected	1	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	kynurenine	4	134	Undirected	2	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	kynurenine	4	135	Undirected	5	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	tryptophan	2	137	Undirected	1	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	tryptophan	2	138	Undirected	2	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	tryptophan	3	137	Undirected	1	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	tryptophan	3	138	Undirected	2	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	tryptophan	4	137	Undirected	1	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	tryptophan	4	138	Undirected	2	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	histidine	2	140	Undirected	1	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	histidine	3	140	Undirected	1	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	histidine	4	140	Undirected	1	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	pantothenic acid	2	170	Undirected	2	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	pantothenic acid	2	171	Undirected	5	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	pantothenic acid	2	172	Undirected	1	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	pantothenic acid	2	173	Undirected	3	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	pantothenic acid	3	170	Undirected	2	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	pantothenic acid	3	171	Undirected	5	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	pantothenic acid	3	172	Undirected	1	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	pantothenic acid	3	173	Undirected	3	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	pantothenic acid	4	170	Undirected	2	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	pantothenic acid	4	171	Undirected	5	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	pantothenic acid	4	172	Undirected	1	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	pantothenic acid	4	173	Undirected	3	-0.5
Alphaproteobacteria; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	putrescine 2	6	118	Undirected	1	0.5
Alphaproteobacteria; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	uridine	6	178	Undirected	1	0.5
Alphaproteobacteria; Ascidiaceihabitans	kynurenine	7	132	Undirected	3	-0.5
Alphaproteobacteria; Ascidiaceihabitans	kynurenine	7	133	Undirected	1	-0.5
Alphaproteobacteria; Ascidiaceihabitans	kynurenine	7	134	Undirected	2	-0.5
Alphaproteobacteria; Ascidiaceihabitans	kynurenine	7	135	Undirected	5	-0.5
Alphaproteobacteria; Ascidiaceihabitans	ciliatine	7	182	Undirected	1	-0.5
Alphaproteobacteria; Candidatus Puniceispirillum	homoserine betaine	9	123	Undirected	5	0.5
Alphaproteobacteria; Candidatus Puniceispirillum	homoserine betaine	9	124	Undirected	1	0.5
Alphaproteobacteria; Candidatus Puniceispirillum	homoserine betaine	9	125	Undirected	3	0.5
Alphaproteobacteria; Candidatus Puniceispirillum	homoserine betaine	9	126	Undirected	4	0.5
