Label	Id	direction	num_obs	omics_type
Acidimicrobia; Sva0996 marine group	1	up	1	microbe
Alphaproteobacteria; AEGEAN-169 marine group	2	down	2	microbe
Alphaproteobacteria; AEGEAN-169 marine group	3	down	3	microbe
Alphaproteobacteria; AEGEAN-169 marine group	4	down	1	microbe
Alphaproteobacteria; AEGEAN-169 marine group	5	up	5	microbe
Alphaproteobacteria; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	6	up	1	microbe
Alphaproteobacteria; Ascidiaceihabitans	7	down	1	microbe
Alphaproteobacteria; Candidatus Puniceispirillum	8	down	1	microbe
Alphaproteobacteria; Candidatus Puniceispirillum	9	up	1	microbe
Alphaproteobacteria; Defluviicoccales	10	down	1	microbe
Alphaproteobacteria; HIMB11	11	up	1	microbe
Alphaproteobacteria; Limibaculum	12	down	1	microbe
Alphaproteobacteria; Parvibaculaceae	13	down	1	microbe
Alphaproteobacteria; Rhodobacteraceae	14	up	1	microbe
Alphaproteobacteria; S25-593	15	down	2	microbe
Alphaproteobacteria; S25-593	16	down	1	microbe
Alphaproteobacteria; S25-593	17	up	1	microbe
Alphaproteobacteria; SAR11 Clade II	18	down	5	microbe
Alphaproteobacteria; SAR11 Clade II	19	down	1	microbe
Alphaproteobacteria; SAR11 Clade II	20	up	3	microbe
Alphaproteobacteria; SAR11 Clade II	21	up	2	microbe
Alphaproteobacteria; SAR11 Clade II	22	up	1	microbe
Alphaproteobacteria; SAR11 Clade III	23	down	1	microbe
Alphaproteobacteria; SAR11 Clade III	24	up	1	microbe
Alphaproteobacteria; SAR11 Clade IV	25	down	1	microbe
Alphaproteobacteria; SAR11 Clade Ia	26	down	1	microbe
Alphaproteobacteria; SAR11 Clade Ia	27	up	1	microbe
Alphaproteobacteria; SAR11 Clade Ib	28	down	2	microbe
Alphaproteobacteria; SAR11 Clade Ib	29	down	1	microbe
Alphaproteobacteria; SAR11 Clade Ib	30	up	3	microbe
Alphaproteobacteria; SAR116 clade	31	down	1	microbe
Alphaproteobacteria; SAR116 clade	32	down	2	microbe
Alphaproteobacteria; SAR116 clade	33	up	4	microbe
Alphaproteobacteria; SAR116 clade	34	up	1	microbe
Alphaproteobacteria; SM2D12	35	up	1	microbe
Alphaproteobacteria; Stappiaceae	36	down	1	microbe
Alphaproteobacteria; Thalassobaculales	37	down	1	microbe
Bacteria	38	down	1	microbe
Bacteria; Margulisbacteria	39	down	1	microbe
Bacteria; Margulisbacteria	40	up	1	microbe
Bacteria; Marinimicrobia (SAR406 clade)	41	down	1	microbe
Bacteria; Marinimicrobia (SAR406 clade)	42	up	3	microbe
Bacteria; Marinimicrobia (SAR406 clade)	43	up	1	microbe
Bacteria; Proteobacteria	44	up	1	microbe
Bacteroidia; Bacteroidales	45	up	1	microbe
Bacteroidia; Chitinophagales	46	down	1	microbe
Bacteroidia; Chitinophagales	47	up	1	microbe
Bacteroidia; Cryomorphaceae	48	down	1	microbe
Bacteroidia; Cryomorphaceae	49	up	1	microbe
Bacteroidia; Fabibacter	50	up	1	microbe
Bacteroidia; Leeuwenhoekiella	51	down	1	microbe
Bacteroidia; NS11-12 marine group	52	up	2	microbe
Bacteroidia; NS2b marine group	53	down	1	microbe
Bacteroidia; NS2b marine group	54	up	1	microbe
Bacteroidia; NS4 marine group	55	down	2	microbe
Bacteroidia; NS4 marine group	56	down	1	microbe
Bacteroidia; NS4 marine group	57	up	1	microbe
Bacteroidia; NS5 marine group	58	down	1	microbe
Bacteroidia; NS5 marine group	59	down	4	microbe
Bacteroidia; NS5 marine group	60	up	1	microbe
Bacteroidia; NS9 marine group	61	down	1	microbe
Bacteroidia; Psychroflexus	62	down	1	microbe
Bacteroidia; Saprospiraceae	63	down	1	microbe
Bdellovibrionia; OM27 clade	64	down	1	microbe
Bdellovibrionia; OM27 clade	65	up	1	microbe
Cyanobacteria; Cyanobiaceae	66	up	1	microbe
