taxonomy	simpleName	Source	Target	Type	Weight	estimate_direction
Acidimicrobia; Candidatus Actinomarina	cysteine 2	1	124	Undirected	1	0.5
Alphaproteobacteria; AEGEAN-169 marine group	homoserine betaine	2	92	Undirected	4	0.5
Alphaproteobacteria; AEGEAN-169 marine group	homoserine betaine	2	93	Undirected	1	0.5
Alphaproteobacteria; AEGEAN-169 marine group	homoserine betaine	2	94	Undirected	2	0.5
Alphaproteobacteria; AEGEAN-169 marine group	homoserine betaine	2	95	Undirected	3	0.5
Alphaproteobacteria; AEGEAN-169 marine group	homoserine betaine	2	96	Undirected	8	0.5
Alphaproteobacteria; AEGEAN-169 marine group	homoserine betaine	3	92	Undirected	4	0.5
Alphaproteobacteria; AEGEAN-169 marine group	homoserine betaine	3	93	Undirected	1	0.5
Alphaproteobacteria; AEGEAN-169 marine group	homoserine betaine	3	94	Undirected	2	0.5
Alphaproteobacteria; AEGEAN-169 marine group	homoserine betaine	3	95	Undirected	3	0.5
Alphaproteobacteria; AEGEAN-169 marine group	homoserine betaine	3	96	Undirected	8	0.5
Alphaproteobacteria; AEGEAN-169 marine group	ciliatine	2	130	Undirected	2	0.5
Alphaproteobacteria; AEGEAN-169 marine group	ciliatine	2	131	Undirected	3	0.5
Alphaproteobacteria; AEGEAN-169 marine group	ciliatine	2	132	Undirected	5	0.5
Alphaproteobacteria; AEGEAN-169 marine group	ciliatine	2	133	Undirected	1	0.5
Alphaproteobacteria; AEGEAN-169 marine group	ciliatine	2	134	Undirected	4	0.5
Alphaproteobacteria; AEGEAN-169 marine group	ciliatine	3	130	Undirected	2	0.5
Alphaproteobacteria; AEGEAN-169 marine group	ciliatine	3	131	Undirected	3	0.5
Alphaproteobacteria; AEGEAN-169 marine group	ciliatine	3	132	Undirected	5	0.5
Alphaproteobacteria; AEGEAN-169 marine group	ciliatine	3	133	Undirected	1	0.5
Alphaproteobacteria; AEGEAN-169 marine group	ciliatine	3	134	Undirected	4	0.5
Alphaproteobacteria; Ascidiaceihabitans	ciliatine	4	128	Undirected	1	-0.5
Alphaproteobacteria; Ascidiaceihabitans	ciliatine	4	129	Undirected	3	-0.5
Alphaproteobacteria; Candidatus Puniceispirillum	uridine	5	126	Undirected	1	0.5
Alphaproteobacteria; Erythrobacter	spermidine 3	6	89	Undirected	1	-0.5
Alphaproteobacteria; OM75 clade	homoserine betaine	7	92	Undirected	4	0.5
Alphaproteobacteria; OM75 clade	homoserine betaine	7	93	Undirected	1	0.5
Alphaproteobacteria; OM75 clade	homoserine betaine	7	94	Undirected	2	0.5
Alphaproteobacteria; OM75 clade	homoserine betaine	7	95	Undirected	3	0.5
Alphaproteobacteria; OM75 clade	homoserine betaine	7	96	Undirected	8	0.5
Alphaproteobacteria; PS1 clade	DHPS	8	138	Undirected	1	-0.5
Alphaproteobacteria; PS1 clade	5'UMP	8	149	Undirected	1	-0.5
