taxonomy	simpleName	Source	Target	Type	Weight	estimate_direction
Acidimicrobia; Sva0996 marine group	glutamine	2	126	Undirected	1	0.5
Acidimicrobia; Sva0996 marine group	glutamine	2	127	Undirected	2	0.5
Acidimicrobia; Sva0996 marine group	malic acid	1	137	Undirected	1	-0.5
Actinobacteria; PeM15	arginine	3	131	Undirected	1	-0.5
Actinobacteria; PeM15	sn-glycerol 3-phosphate	3	141	Undirected	1	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	glutamine	4	123	Undirected	2	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	glutamine	4	124	Undirected	1	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	glutamine	4	125	Undirected	3	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	glutamine	5	123	Undirected	2	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	glutamine	5	124	Undirected	1	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	glutamine	5	125	Undirected	3	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	malic acid	4	137	Undirected	1	-0.5
Alphaproteobacteria; AEGEAN-169 marine group	malic acid	5	137	Undirected	1	-0.5
Alphaproteobacteria; Defluviicoccales	glutamine	6	123	Undirected	2	-0.5
Alphaproteobacteria; Defluviicoccales	glutamine	6	124	Undirected	1	-0.5
Alphaproteobacteria; Defluviicoccales	glutamine	6	125	Undirected	3	-0.5
Alphaproteobacteria; Erythrobacter	citrulline	7	94	Undirected	1	-0.5
Alphaproteobacteria; Erythrobacter	isethionate	7	129	Undirected	1	-0.5
Alphaproteobacteria; Limibaculum	cysteine 2	8	112	Undirected	1	0.5
Alphaproteobacteria; OM75 clade	proline	9	88	Undirected	1	0.5
Alphaproteobacteria; OM75 clade	phenylalanine	9	93	Undirected	1	0.5
Alphaproteobacteria; PS1 clade	histidine	10	83	Undirected	1	-0.5
Alphaproteobacteria; PS1 clade	aspartate	11	86	Undirected	1	0.5
Alphaproteobacteria; PS1 clade	lysine 2	11	90	Undirected	1	0.5
Alphaproteobacteria; PS1 clade	lysine 2	11	91	Undirected	3	0.5
Alphaproteobacteria; Rhodobacteraceae	glycine	12	80	Undirected	1	0.5
Alphaproteobacteria; Rhodobacteraceae	proline	12	88	Undirected	1	0.5
Alphaproteobacteria; Rhodobacteraceae	lysine 2	12	90	Undirected	1	0.5
Alphaproteobacteria; Rhodobacteraceae	lysine 2	12	91	Undirected	3	0.5
Alphaproteobacteria; Rhodobacteraceae	phenylalanine	12	93	Undirected	1	0.5
Alphaproteobacteria; S25-593	lysine 2	14	90	Undirected	1	0.5
Alphaproteobacteria; S25-593	lysine 2	14	91	Undirected	3	0.5
Alphaproteobacteria; S25-593	5'UMP	13	139	Undirected	1	-0.5
