Label	Id	direction	num_obs	omics_type
Acidimicrobia; Sva0996 marine group	1	down	1	microbe
Acidimicrobia; Sva0996 marine group	2	up	1	microbe
Actinobacteria; PeM15	3	down	1	microbe
Alphaproteobacteria; AEGEAN-169 marine group	4	down	2	microbe
Alphaproteobacteria; AEGEAN-169 marine group	5	down	1	microbe
Alphaproteobacteria; Defluviicoccales	6	down	1	microbe
Alphaproteobacteria; Erythrobacter	7	down	1	microbe
Alphaproteobacteria; Limibaculum	8	up	1	microbe
Alphaproteobacteria; OM75 clade	9	up	1	microbe
Alphaproteobacteria; PS1 clade	10	down	1	microbe
Alphaproteobacteria; PS1 clade	11	up	1	microbe
Alphaproteobacteria; Rhodobacteraceae	12	up	1	microbe
Alphaproteobacteria; S25-593	13	down	1	microbe
Alphaproteobacteria; S25-593	14	up	1	microbe
Alphaproteobacteria; SAR11 Clade II	15	down	1	microbe
Alphaproteobacteria; SAR11 Clade II	16	up	1	microbe
Alphaproteobacteria; SAR11 Clade III	17	down	1	microbe
Alphaproteobacteria; SAR11 Clade Ia	18	down	1	microbe
Alphaproteobacteria; SAR11 Clade Ib	19	down	1	microbe
Alphaproteobacteria; SAR11 Clade Ib	20	up	1	microbe
Alphaproteobacteria; SAR116 clade	21	up	1	microbe
Alphaproteobacteria; SAR116 clade	22	up	3	microbe
Alphaproteobacteria; Stappiaceae	23	up	1	microbe
Bacilli; Acholeplasma	24	up	1	microbe
Bacteria	25	down	1	microbe
Bacteria; Margulisbacteria	26	down	1	microbe
Bacteria; Marinimicrobia (SAR406 clade)	27	down	1	microbe
Bacteria; Marinimicrobia (SAR406 clade)	28	up	1	microbe
Bacteroidia; Algitalea	29	up	1	microbe
Bacteroidia; Bacteroidales	30	up	1	microbe
Bacteroidia; Cryomorphaceae	31	up	1	microbe
Bacteroidia; Cyclobacteriaceae	32	up	1	microbe
Bacteroidia; Leeuwenhoekiella	33	down	1	microbe
Bacteroidia; NS5 marine group	34	down	1	microbe
Bacteroidia; NS5 marine group	35	up	1	microbe
Bacteroidia; NS5 marine group	36	up	2	microbe
Bacteroidia; NS9 marine group	37	up	1	microbe
Bacteroidia; Saprospiraceae	38	down	1	microbe
Bacteroidia; Saprospiraceae	39	up	1	microbe
Bacteroidia; Tenacibaculum	40	up	1	microbe
Bacteroidia; Winogradskyella	41	up	1	microbe
Bdellovibrionia; Bacteriovoracaceae	42	up	1	microbe
Bdellovibrionia; OM27 clade	43	down	1	microbe
Bdellovibrionia; OM27 clade	44	down	2	microbe
Bdellovibrionia; OM27 clade	45	up	1	microbe
Cyanobacteria; Synechococcus CC9902	46	down	1	microbe
Gammaproteobacteria; Alcanivorax	47	up	1	microbe
Gammaproteobacteria; Candidatus Endoecteinascidia	48	down	1	microbe
Gammaproteobacteria; Candidatus Tenderia	49	down	1	microbe
Gammaproteobacteria; Coxiella	50	down	1	microbe
Gammaproteobacteria; Coxiella	51	up	1	microbe
