Label	Id	direction	num_obs	omics_type
Acidimicrobia; Candidatus Actinomarina	1	up	2	microbe
Acidimicrobia; Candidatus Actinomarina	2	up	1	microbe
Acidimicrobia; Sva0996 marine group	3	down	1	microbe
Alphaproteobacteria; AEGEAN-169 marine group	4	down	1	microbe
Alphaproteobacteria; Limibaculum	5	up	1	microbe
Alphaproteobacteria; Litorimicrobium	6	up	1	microbe
Alphaproteobacteria; Maricaulis	7	up	1	microbe
Alphaproteobacteria; PS1 clade	8	down	1	microbe
Alphaproteobacteria; PS1 clade	9	up	1	microbe
Alphaproteobacteria; Ponticaulis	10	down	1	microbe
Alphaproteobacteria; Rhodobacteraceae	11	down	1	microbe
Alphaproteobacteria; Rhodobacteraceae	12	up	1	microbe
Alphaproteobacteria; Rickettsiaceae	13	down	1	microbe
Alphaproteobacteria; S25-593	14	up	1	microbe
Alphaproteobacteria; SAR11 Clade II	15	down	1	microbe
Alphaproteobacteria; SAR11 Clade II	16	up	1	microbe
Alphaproteobacteria; SAR11 Clade II	17	up	2	microbe
Alphaproteobacteria; SAR11 Clade IV	18	down	1	microbe
Alphaproteobacteria; SAR11 Clade Ia	19	up	1	microbe
Alphaproteobacteria; SAR11 Clade Ib	20	down	1	microbe
Alphaproteobacteria; Thalassobaculales	21	up	1	microbe
Bacteria	22	down	1	microbe
Bacteria; Margulisbacteria	23	down	1	microbe
Bacteria; Margulisbacteria	24	up	1	microbe
Bacteria; Marinimicrobia (SAR406 clade)	25	up	1	microbe
Bacteria; Marinimicrobia (SAR406 clade)	26	up	2	microbe
Bacteria; Proteobacteria	27	down	1	microbe
Bacteroidia; Bacteroidales	28	up	1	microbe
Bacteroidia; Cyclobacteriaceae	29	up	1	microbe
Bacteroidia; Fabibacter	30	up	1	microbe
Bacteroidia; NS11-12 marine group	31	up	1	microbe
Bacteroidia; NS4 marine group	32	down	1	microbe
Bacteroidia; NS5 marine group	33	down	1	microbe
Bacteroidia; NS5 marine group	34	up	1	microbe
Bacteroidia; NS5 marine group	35	up	2	microbe
Bacteroidia; Roseimarinus	36	up	1	microbe
Bacteroidia; Saprospiraceae	37	up	1	microbe
Bdellovibrionia; OM27 clade	38	down	1	microbe
Bdellovibrionia; OM27 clade	39	down	3	microbe
Chlamydiae; Chlamydiaceae	40	up	1	microbe
Cyanobacteria; Cyanobium PCC-6307	41	down	1	microbe
Cyanobacteria; Synechococcus CC9902	42	down	1	microbe
Desulfuromonadia; Bradymonadales	43	up	1	microbe
Fusobacteria; Propionigenium	44	up	1	microbe
Gammaproteobacteria; Acinetobacter	45	up	1	microbe
Gammaproteobacteria; Alcanivorax	46	down	1	microbe
Gammaproteobacteria; Alteromonas	47	up	1	microbe
Gammaproteobacteria; BD1-7 clade	48	up	1	microbe
Gammaproteobacteria; Candidatus Endoecteinascidia	49	down	1	microbe
Gammaproteobacteria; Candidatus Tenderia	50	down	1	microbe
Gammaproteobacteria; Cellvibrionaceae	51	down	1	microbe
Gammaproteobacteria; Coxiella	52	down	1	microbe
Gammaproteobacteria; Coxiella	53	up	1	microbe
