taxonomy	simpleName	Source	Target	Type	Weight	estimate_direction
Acidimicrobia; Candidatus Actinomarina	asparagine	1	54	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	asparagine	2	54	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	asparagine	3	54	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	glycine	1	56	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	glycine	2	56	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	glycine	3	56	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	aspartate	1	64	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	aspartate	2	64	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	aspartate	3	64	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	proline	1	66	Undirected	3	0.5
Acidimicrobia; Candidatus Actinomarina	proline	1	67	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	proline	2	66	Undirected	3	0.5
Acidimicrobia; Candidatus Actinomarina	proline	2	67	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	proline	3	66	Undirected	3	0.5
Acidimicrobia; Candidatus Actinomarina	proline	3	67	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	alanine	1	70	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	alanine	2	70	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	alanine	3	70	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	lysine 2	1	72	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	lysine 2	2	72	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	lysine 2	3	72	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	phenylalanine	1	74	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	phenylalanine	2	74	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	phenylalanine	3	74	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	citrulline	1	76	Undirected	2	0.5
Acidimicrobia; Candidatus Actinomarina	citrulline	1	77	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	citrulline	2	76	Undirected	2	0.5
Acidimicrobia; Candidatus Actinomarina	citrulline	2	77	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	citrulline	3	76	Undirected	2	0.5
Acidimicrobia; Candidatus Actinomarina	citrulline	3	77	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	ornithine 2	1	80	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	ornithine 2	2	80	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	ornithine 2	3	80	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	serine	1	82	Undirected	2	0.5
Acidimicrobia; Candidatus Actinomarina	serine	1	83	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	serine	2	82	Undirected	2	0.5
Acidimicrobia; Candidatus Actinomarina	serine	2	83	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	serine	3	82	Undirected	2	0.5
Acidimicrobia; Candidatus Actinomarina	serine	3	83	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	threonine	1	85	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	threonine	2	85	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	threonine	3	85	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	valine	1	87	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	valine	2	87	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	valine	3	87	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	isoleucine	1	89	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	isoleucine	2	89	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	isoleucine	3	89	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	leucine	1	90	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	leucine	2	90	Undirected	1	0.5
Acidimicrobia; Candidatus Actinomarina	leucine	3	90	Undirected	1	0.5
