metab_deriv_label	dispersion	sample_id	sample_type	sampling_date	sampling_time	sampling_day	site	potential_outlier	not_outlier
CINAR_BC_100	0.34725500196075415	Metab_282	seawater	20210125	peak_photo	Day4	LB_seagrass	NA	100
CINAR_BC_45	0.3168798822574697	Metab_239	seawater	20210123	peak_photo	Day2	Yawzi	NA	45
CINAR_BC_77	0.37461474418603624	Metab_234	seawater	20210123	dawn	Day2	Tektite	NA	77
CINAR_BC_85	0.359223394854868	Metab_337	seawater	20210125	dawn	Day4	LB_seagrass	NA	85
CINAR_BC_98	0.44884839742554467	Metab_270	seawater	20210125	peak_photo	Day4	Tektite	NA	98
CINAR_BC_101	0.3614011342416172	Metab_312	seawater	20210126	dawn	Day5	Tektite	101	NA
CINAR_BC_99	0.35704877135066093	Metab_273	seawater	20210125	peak_photo	Day4	LB_seagrass	NA	99
CINAR_BC_69	0.3744223982527152	Metab_274	seawater	20210124	peak_photo	Day3	Yawzi	69	NA
CINAR_BC_88	0.36964137689509413	Metab_328	seawater	20210125	dawn	Day4	LB_seagrass	NA	88
CINAR_BC_70	0.34680906788344823	Metab_286	seawater	20210124	peak_photo	Day3	LB_seagrass	70	NA
CINAR_BC_52	0.3247950215532515	Metab_189	seawater	20210123	peak_photo	Day2	LB_seagrass	NA	52
CINAR_BC_103	0.34715143582882463	Metab_324	seawater	20210126	dawn	Day5	LB_seagrass	NA	103
CINAR_BC_90	0.3416453385777762	Metab_264	seawater	20210125	peak_photo	Day4	Tektite	NA	90
CINAR_BC_71	0.34676609014551235	Metab_269	seawater	20210124	peak_photo	Day3	Yawzi	71	NA
CINAR_BC_72	0.39220018233134224	Metab_266	seawater	20210124	peak_photo	Day3	Tektite	NA	72
CINAR_BC_63	0.3209986063936347	Metab_281	seawater	20210124	dawn	Day3	LB_seagrass	NA	63
CINAR_BC_93	0.3187545541851304	Metab_261	seawater	20210125	peak_photo	Day4	Tektite	NA	93
CINAR_BC_84	0.3372962008062087	Metab_316	seawater	20210125	dawn	Day4	Tektite	NA	84
CINAR_BC_95	0.34987175414092797	Metab_279	seawater	20210125	peak_photo	Day4	LB_seagrass	NA	95
CINAR_BC_42	0.33701836421045384	Metab_224	seawater	20210123	peak_photo	Day2	Tektite	42	NA
CINAR_BC_43	0.3381312194737176	Metab_236	seawater	20210123	peak_photo	Day2	Tektite	43	NA
CINAR_BC_75	0.3562877073353852	Metab_322	seawater	20210125	dawn	Day4	Tektite	NA	75
CINAR_BC_83	0.3482931842334713	Metab_334	seawater	20210125	dawn	Day4	LB_seagrass	NA	83
CINAR_BC_50	0.31791988082193223	Metab_186	seawater	20210123	peak_photo	Day2	Yawzi	NA	50
CINAR_BC_109	0.3529453138234942	Metab_309	seawater	20210126	dawn	Day5	LB_seagrass	NA	109
CINAR_BC_119	0.33385300538272644	Metab_329	seawater	20210126	peak_photo	Day5	LB_seagrass	NA	119
