grouping	metab_deriv_label	dispersion	sample_id	sample_type	sampling_date	sampling_time	sampling_day	site
all	CINAR_BC_100	0.30420027505952413	Metab_282	seawater	20210125	peak_photo	Day4	LB_seagrass
all	CINAR_BC_45	0.30173211545095796	Metab_239	seawater	20210123	peak_photo	Day2	Yawzi
all	CINAR_BC_77	0.3080954474458728	Metab_234	seawater	20210123	dawn	Day2	Tektite
all	CINAR_BC_85	0.29791478467341737	Metab_337	seawater	20210125	dawn	Day4	LB_seagrass
all	CINAR_BC_98	0.4596559582342184	Metab_270	seawater	20210125	peak_photo	Day4	Tektite
all	CINAR_BC_101	0.30230100771322965	Metab_312	seawater	20210126	dawn	Day5	Tektite
all	CINAR_BC_99	0.29962092961691544	Metab_273	seawater	20210125	peak_photo	Day4	LB_seagrass
all	CINAR_BC_69	0.4127044057076005	Metab_274	seawater	20210124	peak_photo	Day3	Yawzi
all	CINAR_BC_88	0.2979793267033631	Metab_328	seawater	20210125	dawn	Day4	LB_seagrass
all	CINAR_BC_70	0.2900854337956374	Metab_286	seawater	20210124	peak_photo	Day3	LB_seagrass
all	CINAR_BC_52	0.29143782519300804	Metab_189	seawater	20210123	peak_photo	Day2	LB_seagrass
all	CINAR_BC_103	0.2989580472052009	Metab_324	seawater	20210126	dawn	Day5	LB_seagrass
all	CINAR_BC_90	0.3112392735794002	Metab_264	seawater	20210125	peak_photo	Day4	Tektite
all	CINAR_BC_71	0.3310586501767928	Metab_269	seawater	20210124	peak_photo	Day3	Yawzi
all	CINAR_BC_72	0.3705691119753276	Metab_266	seawater	20210124	peak_photo	Day3	Tektite
all	CINAR_BC_63	0.3009477034393359	Metab_281	seawater	20210124	dawn	Day3	LB_seagrass
all	CINAR_BC_93	0.2986893225575788	Metab_261	seawater	20210125	peak_photo	Day4	Tektite
all	CINAR_BC_84	0.30618053689333974	Metab_316	seawater	20210125	dawn	Day4	Tektite
all	CINAR_BC_95	0.3092808185916518	Metab_279	seawater	20210125	peak_photo	Day4	LB_seagrass
all	CINAR_BC_42	0.3088493742086077	Metab_224	seawater	20210123	peak_photo	Day2	Tektite
all	CINAR_BC_43	0.3440923599780694	Metab_236	seawater	20210123	peak_photo	Day2	Tektite
all	CINAR_BC_75	0.29684984294739253	Metab_322	seawater	20210125	dawn	Day4	Tektite
all	CINAR_BC_83	0.29939293331436634	Metab_334	seawater	20210125	dawn	Day4	LB_seagrass
