set_label	metab_deriv_label	dispersion	sample_id	sample_type	sampling_date	sampling_time	sampling_day	site	grouping
all	CINAR_BC_85	0.359223394854868	Metab_337	seawater	20210125	dawn	Day4	LB_seagrass	all
all	CINAR_BC_88	0.36964137689509413	Metab_328	seawater	20210125	dawn	Day4	LB_seagrass	all
all	CINAR_BC_103	0.34715143582882463	Metab_324	seawater	20210126	dawn	Day5	LB_seagrass	all
all	CINAR_BC_63	0.3209986063936347	Metab_281	seawater	20210124	dawn	Day3	LB_seagrass	all
all	CINAR_BC_83	0.3482931842334713	Metab_334	seawater	20210125	dawn	Day4	LB_seagrass	all
all	CINAR_BC_109	0.3529453138234942	Metab_309	seawater	20210126	dawn	Day5	LB_seagrass	all
all	CINAR_BC_37	0.34115276715611215	Metab_237	seawater	20210123	dawn	Day2	LB_seagrass	all
all	CINAR_BC_41	0.34258515044835136	Metab_240	seawater	20210123	dawn	Day2	LB_seagrass	all
all	CINAR_BC_81B	0.3571825007485444	Metab_219	seawater	20210123	dawn	Day2	LB_seagrass	all
all	CINAR_BC_110	0.328991375921299	Metab_318	seawater	20210126	dawn	Day5	LB_seagrass	all
all	CINAR_BC_57	0.3686771143350241	Metab_272	seawater	20210124	dawn	Day3	LB_seagrass	all
all	CINAR_BC_54	0.34541307048632003	Metab_287	seawater	20210124	dawn	Day3	LB_seagrass	all
all	CINAR_BC_100	0.34725500196075415	Metab_282	seawater	20210125	peak_photo	Day4	LB_seagrass	all
all	CINAR_BC_99	0.35704877135066093	Metab_273	seawater	20210125	peak_photo	Day4	LB_seagrass	all
all	CINAR_BC_70	0.34680906788344823	Metab_286	seawater	20210124	peak_photo	Day3	LB_seagrass	all
all	CINAR_BC_52	0.3247950215532515	Metab_189	seawater	20210123	peak_photo	Day2	LB_seagrass	all
all	CINAR_BC_95	0.34987175414092797	Metab_279	seawater	20210125	peak_photo	Day4	LB_seagrass	all
all	CINAR_BC_119	0.33385300538272644	Metab_329	seawater	20210126	peak_photo	Day5	LB_seagrass	all
all	CINAR_BC_49	0.35282882413592026	Metab_233	seawater	20210123	peak_photo	Day2	LB_seagrass	all
all	CINAR_BC_117	0.3715122217206256	Metab_326	seawater	20210126	peak_photo	Day5	LB_seagrass	all
all	CINAR_BC_74	0.3329921828670507	Metab_289	seawater	20210124	peak_photo	Day3	LB_seagrass	all
all	CINAR_BC_48	0.3373651285918988	Metab_183	seawater	20210123	peak_photo	Day2	LB_seagrass	all
all	CINAR_BC_120	0.35527729762896226	Metab_332	seawater	20210126	peak_photo	Day5	LB_seagrass	all
all	CINAR_BC_111	0.3260819141211763	Metab_306	seawater	20210126	dawn	Day5	Yawzi	all
all	CINAR_BC_102	0.3606221393840457	Metab_327	seawater	20210126	dawn	Day5	Yawzi	all
all	CINAR_BC_86	0.31638416917836143	Metab_325	seawater	20210125	dawn	Day4	Yawzi	all
all	CINAR_BC_61	0.3425578437193487	Metab_292	seawater	20210124	dawn	Day3	Yawzi	all
all	CINAR_BC_39	0.3098991617525195	Metab_228	seawater	20210123	dawn	Day2	Yawzi	all
all	CINAR_BC_107	0.32693746639102955	Metab_303	seawater	20210126	dawn	Day5	Yawzi	all
all	CINAR_BC_55	0.32267579683964476	Metab_295	seawater	20210124	dawn	Day3	Yawzi	all
all	CINAR_BC_78	0.3077552462854262	Metab_225	seawater	20210123	dawn	Day2	Yawzi	all
all	CINAR_BC_82	0.3206063718081691	Metab_331	seawater	20210125	dawn	Day4	Yawzi	all
all	CINAR_BC_40	0.31410611199761324	Metab_228	seawater	20210123	dawn	Day2	Yawzi	all
all	CINAR_BC_80	0.3163206337358536	Metab_313	seawater	20210125	dawn	Day4	Yawzi	all
all	CINAR_BC_53	0.3335815336058171	Metab_284	seawater	20210124	dawn	Day3	Yawzi	all
all	CINAR_BC_76	0.3666374026433971	Metab_222	seawater	20210123	dawn	Day2	Yawzi	all
all	CINAR_BC_45	0.3168798822574697	Metab_239	seawater	20210123	peak_photo	Day2	Yawzi	all
all	CINAR_BC_69	0.3744223982527152	Metab_274	seawater	20210124	peak_photo	Day3	Yawzi	all
all	CINAR_BC_71	0.34676609014551235	Metab_269	seawater	20210124	peak_photo	Day3	Yawzi	all
all	CINAR_BC_50	0.31791988082193223	Metab_186	seawater	20210123	peak_photo	Day2	Yawzi	all
all	CINAR_BC_67	0.39423969581502216	Metab_271	seawater	20210124	peak_photo	Day3	Yawzi	all
all	CINAR_BC_118	0.4083826835470713	Metab_323	seawater	20210126	peak_photo	Day5	Yawzi	all
all	CINAR_BC_113	0.3916794413218734	Metab_308	seawater	20210126	peak_photo	Day5	Yawzi	all
all	CINAR_BC_96	0.30493095504427203	Metab_285	seawater	20210125	peak_photo	Day4	Yawzi	all
all	CINAR_BC_97	0.4239496944715086	Metab_267	seawater	20210125	peak_photo	Day4	Yawzi	all
all	CINAR_BC_91	0.3235823859586555	Metab_276	seawater	20210125	peak_photo	Day4	Yawzi	all
all	CINAR_BC_114	0.33506999153629313	Metab_317	seawater	20210126	peak_photo	Day5	Yawzi	all
all	CINAR_BC_46	0.4248078969942379	Metab_230	seawater	20210123	peak_photo	Day2	Yawzi	all
all	CINAR_BC_77	0.37461474418603624	Metab_234	seawater	20210123	dawn	Day2	Tektite	all
all	CINAR_BC_101	0.3614011342416172	Metab_312	seawater	20210126	dawn	Day5	Tektite	all
all	CINAR_BC_84	0.3372962008062087	Metab_316	seawater	20210125	dawn	Day4	Tektite	all
all	CINAR_BC_75	0.3562877073353852	Metab_322	seawater	20210125	dawn	Day4	Tektite	all
all	CINAR_BC_79	0.46535440699416075	Metab_241	seawater	20210123	dawn	Day2	Tektite	all
all	CINAR_BC_105	0.34902664083233725	Metab_321	seawater	20210126	dawn	Day5	Tektite	all
all	CINAR_BC_108	0.32911240933003677	Metab_315	seawater	20210126	dawn	Day5	Tektite	all
all	CINAR_BC_62	0.39347632479499123	Metab_275	seawater	20210124	dawn	Day3	Tektite	all
all	CINAR_BC_36	0.3872153370168272	Metab_231	seawater	20210123	dawn	Day2	Tektite	all
all	CINAR_BC_60	0.31820771561768096	Metab_278	seawater	20210124	dawn	Day3	Tektite	all
all	CINAR_BC_56	0.43608178656602836	Metab_290	seawater	20210124	dawn	Day3	Tektite	all
all	CINAR_BC_81A	0.3501897050442639	Metab_319	seawater	20210125	dawn	Day4	Tektite	all
all	CINAR_BC_98	0.44884839742554467	Metab_270	seawater	20210125	peak_photo	Day4	Tektite	all
all	CINAR_BC_90	0.3416453385777762	Metab_264	seawater	20210125	peak_photo	Day4	Tektite	all
all	CINAR_BC_72	0.39220018233134224	Metab_266	seawater	20210124	peak_photo	Day3	Tektite	all
all	CINAR_BC_93	0.3187545541851304	Metab_261	seawater	20210125	peak_photo	Day4	Tektite	all
all	CINAR_BC_42	0.33701836421045384	Metab_224	seawater	20210123	peak_photo	Day2	Tektite	all
all	CINAR_BC_43	0.3381312194737176	Metab_236	seawater	20210123	peak_photo	Day2	Tektite	all
all	CINAR_BC_68	0.35194453848810814	Metab_283	seawater	20210124	peak_photo	Day3	Tektite	all
all	CINAR_BC_66	0.34023627993832356	Metab_277	seawater	20210124	peak_photo	Day3	Tektite	all
all	CINAR_BC_116	0.31835099622097013	Metab_314	seawater	20210126	peak_photo	Day5	Tektite	all
all	CINAR_BC_115	0.35660610950980526	Metab_311	seawater	20210126	peak_photo	Day5	Tektite	all
all	CINAR_BC_112	0.3513965296508872	Metab_320	seawater	20210126	peak_photo	Day5	Tektite	all
all	CINAR_BC_65	0.33965796211655125	Metab_277	seawater	20210124	peak_photo	Day3	Tektite	all
all	CINAR_BC_44	0.3489462016276199	Metab_227	seawater	20210123	peak_photo	Day2	Tektite	all
LB_seagrass.daily	CINAR_BC_85	0.0999343799444531	Metab_337	seawater	20210125	dawn	Day4	LB_seagrass	site
LB_seagrass.daily	CINAR_BC_88	0.10150432095810638	Metab_328	seawater	20210125	dawn	Day4	LB_seagrass	site
LB_seagrass.daily	CINAR_BC_103	0.09878178200309179	Metab_324	seawater	20210126	dawn	Day5	LB_seagrass	site
LB_seagrass.daily	CINAR_BC_63	0.10478925460954047	Metab_281	seawater	20210124	dawn	Day3	LB_seagrass	site
LB_seagrass.daily	CINAR_BC_83	0.09101810723620006	Metab_334	seawater	20210125	dawn	Day4	LB_seagrass	site
LB_seagrass.daily	CINAR_BC_109	0.21964050949943695	Metab_309	seawater	20210126	dawn	Day5	LB_seagrass	site
LB_seagrass.daily	CINAR_BC_37	0.07731377759878298	Metab_237	seawater	20210123	dawn	Day2	LB_seagrass	site
LB_seagrass.daily	CINAR_BC_41	0.09039398052999771	Metab_240	seawater	20210123	dawn	Day2	LB_seagrass	site
LB_seagrass.daily	CINAR_BC_81B	0.10527474210030034	Metab_219	seawater	20210123	dawn	Day2	LB_seagrass	site
LB_seagrass.daily	CINAR_BC_110	0.1691739926070441	Metab_318	seawater	20210126	dawn	Day5	LB_seagrass	site
LB_seagrass.daily	CINAR_BC_57	0.10084385209549372	Metab_272	seawater	20210124	dawn	Day3	LB_seagrass	site
LB_seagrass.daily	CINAR_BC_54	0.0700672768484821	Metab_287	seawater	20210124	dawn	Day3	LB_seagrass	site
LB_seagrass.daily	CINAR_BC_100	0.13493658512853418	Metab_282	seawater	20210125	peak_photo	Day4	LB_seagrass	site
LB_seagrass.daily	CINAR_BC_99	0.11883375245003898	Metab_273	seawater	20210125	peak_photo	Day4	LB_seagrass	site
LB_seagrass.daily	CINAR_BC_70	0.07531574160335065	Metab_286	seawater	20210124	peak_photo	Day3	LB_seagrass	site
LB_seagrass.daily	CINAR_BC_52	0.08739600310480654	Metab_189	seawater	20210123	peak_photo	Day2	LB_seagrass	site
LB_seagrass.daily	CINAR_BC_95	0.1326790361862126	Metab_279	seawater	20210125	peak_photo	Day4	LB_seagrass	site
LB_seagrass.daily	CINAR_BC_119	0.10770026541874347	Metab_329	seawater	20210126	peak_photo	Day5	LB_seagrass	site
LB_seagrass.daily	CINAR_BC_49	0.10275637329424567	Metab_233	seawater	20210123	peak_photo	Day2	LB_seagrass	site
LB_seagrass.daily	CINAR_BC_117	0.19241064118020884	Metab_326	seawater	20210126	peak_photo	Day5	LB_seagrass	site
LB_seagrass.daily	CINAR_BC_74	0.10539054389419111	Metab_289	seawater	20210124	peak_photo	Day3	LB_seagrass	site
LB_seagrass.daily	CINAR_BC_48	0.10260648377463978	Metab_183	seawater	20210123	peak_photo	Day2	LB_seagrass	site
LB_seagrass.daily	CINAR_BC_120	0.13108883451116643	Metab_332	seawater	20210126	peak_photo	Day5	LB_seagrass	site
Yawzi.daily	CINAR_BC_111	0.15559135226338164	Metab_306	seawater	20210126	dawn	Day5	Yawzi	site
Yawzi.daily	CINAR_BC_102	0.24303260907011587	Metab_327	seawater	20210126	dawn	Day5	Yawzi	site
Yawzi.daily	CINAR_BC_86	0.13641257679393018	Metab_325	seawater	20210125	dawn	Day4	Yawzi	site
Yawzi.daily	CINAR_BC_61	0.17869702063784504	Metab_292	seawater	20210124	dawn	Day3	Yawzi	site
Yawzi.daily	CINAR_BC_39	0.14249945068524084	Metab_228	seawater	20210123	dawn	Day2	Yawzi	site
Yawzi.daily	CINAR_BC_107	0.14440444987845039	Metab_303	seawater	20210126	dawn	Day5	Yawzi	site
Yawzi.daily	CINAR_BC_55	0.17111267237682593	Metab_295	seawater	20210124	dawn	Day3	Yawzi	site
Yawzi.daily	CINAR_BC_78	0.13900395032503646	Metab_225	seawater	20210123	dawn	Day2	Yawzi	site
Yawzi.daily	CINAR_BC_82	0.14292131898638918	Metab_331	seawater	20210125	dawn	Day4	Yawzi	site
Yawzi.daily	CINAR_BC_40	0.1434901019298911	Metab_228	seawater	20210123	dawn	Day2	Yawzi	site
Yawzi.daily	CINAR_BC_80	0.14241024832055194	Metab_313	seawater	20210125	dawn	Day4	Yawzi	site
Yawzi.daily	CINAR_BC_53	0.16608528750990867	Metab_284	seawater	20210124	dawn	Day3	Yawzi	site
Yawzi.daily	CINAR_BC_76	0.262467067991864	Metab_222	seawater	20210123	dawn	Day2	Yawzi	site
Yawzi.daily	CINAR_BC_45	0.14099506976196402	Metab_239	seawater	20210123	peak_photo	Day2	Yawzi	site
Yawzi.daily	CINAR_BC_69	0.2742764176137973	Metab_274	seawater	20210124	peak_photo	Day3	Yawzi	site
Yawzi.daily	CINAR_BC_71	0.1765325288594899	Metab_269	seawater	20210124	peak_photo	Day3	Yawzi	site
Yawzi.daily	CINAR_BC_50	0.14532544679892387	Metab_186	seawater	20210123	peak_photo	Day2	Yawzi	site
Yawzi.daily	CINAR_BC_67	0.2979712597709479	Metab_271	seawater	20210124	peak_photo	Day3	Yawzi	site
Yawzi.daily	CINAR_BC_118	0.3150951700748392	Metab_323	seawater	20210126	peak_photo	Day5	Yawzi	site
Yawzi.daily	CINAR_BC_113	0.29454174900817387	Metab_308	seawater	20210126	peak_photo	Day5	Yawzi	site
Yawzi.daily	CINAR_BC_96	0.1545707683489971	Metab_285	seawater	20210125	peak_photo	Day4	Yawzi	site
Yawzi.daily	CINAR_BC_97	0.3334011058344306	Metab_267	seawater	20210125	peak_photo	Day4	Yawzi	site
Yawzi.daily	CINAR_BC_91	0.15918175786973177	Metab_276	seawater	20210125	peak_photo	Day4	Yawzi	site
Yawzi.daily	CINAR_BC_114	0.1864515211962763	Metab_317	seawater	20210126	peak_photo	Day5	Yawzi	site
Yawzi.daily	CINAR_BC_46	0.3084139125872757	Metab_230	seawater	20210123	peak_photo	Day2	Yawzi	site
Tektite.daily	CINAR_BC_77	0.2400191138497964	Metab_234	seawater	20210123	dawn	Day2	Tektite	site
Tektite.daily	CINAR_BC_101	0.2264073935133374	Metab_312	seawater	20210126	dawn	Day5	Tektite	site
Tektite.daily	CINAR_BC_84	0.22252442607846434	Metab_316	seawater	20210125	dawn	Day4	Tektite	site
Tektite.daily	CINAR_BC_75	0.20994697460929382	Metab_322	seawater	20210125	dawn	Day4	Tektite	site
Tektite.daily	CINAR_BC_79	0.36101594203478304	Metab_241	seawater	20210123	dawn	Day2	Tektite	site
Tektite.daily	CINAR_BC_105	0.2638414747713448	Metab_321	seawater	20210126	dawn	Day5	Tektite	site
Tektite.daily	CINAR_BC_108	0.23485528003554526	Metab_315	seawater	20210126	dawn	Day5	Tektite	site
Tektite.daily	CINAR_BC_62	0.28377063328320756	Metab_275	seawater	20210124	dawn	Day3	Tektite	site
Tektite.daily	CINAR_BC_36	0.33011603698349107	Metab_231	seawater	20210123	dawn	Day2	Tektite	site
Tektite.daily	CINAR_BC_60	0.19093570035636495	Metab_278	seawater	20210124	dawn	Day3	Tektite	site
Tektite.daily	CINAR_BC_56	0.3928629588865717	Metab_290	seawater	20210124	dawn	Day3	Tektite	site
Tektite.daily	CINAR_BC_81A	0.2098508260194674	Metab_319	seawater	20210125	dawn	Day4	Tektite	site
Tektite.daily	CINAR_BC_98	0.3539291462018306	Metab_270	seawater	20210125	peak_photo	Day4	Tektite	site
Tektite.daily	CINAR_BC_90	0.19574078072211962	Metab_264	seawater	20210125	peak_photo	Day4	Tektite	site
Tektite.daily	CINAR_BC_72	0.2545213521649639	Metab_266	seawater	20210124	peak_photo	Day3	Tektite	site
Tektite.daily	CINAR_BC_93	0.22045067353233863	Metab_261	seawater	20210125	peak_photo	Day4	Tektite	site
Tektite.daily	CINAR_BC_42	0.2354788953366125	Metab_224	seawater	20210123	peak_photo	Day2	Tektite	site
Tektite.daily	CINAR_BC_43	0.276999145978104	Metab_236	seawater	20210123	peak_photo	Day2	Tektite	site
