grouping	sample_id	dispersion	metab_deriv_label	sample_type	sampling_date	sampling_time	sampling_day	site
all	Metab_183	0.4843233764804293	CINAR_BC_48	seawater	20210123	peak_photo	Day2	LB_seagrass
all	Metab_186	0.4731644974897216	CINAR_BC_47	seawater	20210123	peak_photo	Day2	Yawzi
all	Metab_189	0.4895952294177347	CINAR_BC_52	seawater	20210123	peak_photo	Day2	LB_seagrass
all	Metab_219	0.504458823845	CINAR_BC_81B	seawater	20210123	dawn	Day2	LB_seagrass
all	Metab_222	0.502674665174993	CINAR_BC_76	seawater	20210123	dawn	Day2	Yawzi
all	Metab_224	0.48879008253250356	CINAR_BC_42	seawater	20210123	peak_photo	Day2	Tektite
all	Metab_225	0.4722234991795573	CINAR_BC_78	seawater	20210123	dawn	Day2	Yawzi
all	Metab_227	0.476402001384674	CINAR_BC_44	seawater	20210123	peak_photo	Day2	Tektite
all	Metab_228	0.4835705758317003	CINAR_BC_38	seawater	20210123	dawn	Day2	Yawzi
all	Metab_230	0.4816056677370635	CINAR_BC_46	seawater	20210123	peak_photo	Day2	Yawzi
all	Metab_231	0.47514270780896745	CINAR_BC_36	seawater	20210123	dawn	Day2	Tektite
all	Metab_233	0.47606760026480266	CINAR_BC_49	seawater	20210123	peak_photo	Day2	LB_seagrass
all	Metab_234	0.47329687641512336	CINAR_BC_77	seawater	20210123	dawn	Day2	Tektite
all	Metab_236	0.4754957928739056	CINAR_BC_43	seawater	20210123	peak_photo	Day2	Tektite
all	Metab_237	0.47493559122243684	CINAR_BC_37	seawater	20210123	dawn	Day2	LB_seagrass
all	Metab_239	0.4758186439209452	CINAR_BC_45	seawater	20210123	peak_photo	Day2	Yawzi
all	Metab_240	0.475655045256974	CINAR_BC_41	seawater	20210123	dawn	Day2	LB_seagrass
all	Metab_241	0.5107517649616856	CINAR_BC_79	seawater	20210123	dawn	Day2	Tektite
all	Metab_261	0.4799168909628478	CINAR_BC_93	seawater	20210125	peak_photo	Day4	Tektite
all	Metab_264	0.4696571972806093	CINAR_BC_90	seawater	20210125	peak_photo	Day4	Tektite
all	Metab_266	0.48506811627108554	CINAR_BC_72	seawater	20210124	peak_photo	Day3	Tektite
all	Metab_267	0.47569751049788583	CINAR_BC_97	seawater	20210125	peak_photo	Day4	Yawzi
all	Metab_269	0.4735393953995785	CINAR_BC_71	seawater	20210124	peak_photo	Day3	Yawzi
all	Metab_270	0.46994076011165375	CINAR_BC_98	seawater	20210125	peak_photo	Day4	Tektite
all	Metab_271	0.4735306999281574	CINAR_BC_67	seawater	20210124	peak_photo	Day3	Yawzi
all	Metab_272	0.475094438561215	CINAR_BC_57	seawater	20210124	dawn	Day3	LB_seagrass
all	Metab_273	0.47848283855615326	CINAR_BC_99	seawater	20210125	peak_photo	Day4	LB_seagrass
all	Metab_274	0.4731739842233072	CINAR_BC_69	seawater	20210124	peak_photo	Day3	Yawzi
all	Metab_275	0.4728378004711636	CINAR_BC_62	seawater	20210124	dawn	Day3	Tektite
all	Metab_276	0.4731289181665169	CINAR_BC_91	seawater	20210125	peak_photo	Day4	Yawzi
all	Metab_277	0.47420732179838343	CINAR_BC_64	seawater	20210124	peak_photo	Day3	Tektite
all	Metab_278	0.4749241040805	CINAR_BC_58	seawater	20210124	dawn	Day3	Tektite
all	Metab_279	0.5124026798442385	CINAR_BC_95	seawater	20210125	peak_photo	Day4	LB_seagrass
all	Metab_281	0.4863288860271923	CINAR_BC_63	seawater	20210124	dawn	Day3	LB_seagrass
all	Metab_282	0.490285060138875	CINAR_BC_100	seawater	20210125	peak_photo	Day4	LB_seagrass
all	Metab_283	0.4745920643677079	CINAR_BC_68	seawater	20210124	peak_photo	Day3	Tektite
all	Metab_284	0.48336882150219596	CINAR_BC_53	seawater	20210124	dawn	Day3	Yawzi
all	Metab_285	0.475354451283715	CINAR_BC_96	seawater	20210125	peak_photo	Day4	Yawzi
all	Metab_286	0.47876535116349883	CINAR_BC_70	seawater	20210124	peak_photo	Day3	LB_seagrass
all	Metab_287	0.4814448449211637	CINAR_BC_54	seawater	20210124	dawn	Day3	LB_seagrass
all	Metab_289	0.4788712948245282	CINAR_BC_74	seawater	20210124	peak_photo	Day3	LB_seagrass
all	Metab_290	0.47828924132755096	CINAR_BC_56	seawater	20210124	dawn	Day3	Tektite
all	Metab_292	0.47843467640486165	CINAR_BC_61	seawater	20210124	dawn	Day3	Yawzi
all	Metab_295	0.47581758922683154	CINAR_BC_55	seawater	20210124	dawn	Day3	Yawzi
all	Metab_303	0.4737625353861167	CINAR_BC_107	seawater	20210126	dawn	Day5	Yawzi
all	Metab_306	0.47055918484273296	CINAR_BC_111	seawater	20210126	dawn	Day5	Yawzi
all	Metab_308	0.480921340993191	CINAR_BC_113	seawater	20210126	peak_photo	Day5	Yawzi
all	Metab_309	0.48124594578095403	CINAR_BC_109	seawater	20210126	dawn	Day5	LB_seagrass
all	Metab_311	0.5093307427023955	CINAR_BC_115	seawater	20210126	peak_photo	Day5	Tektite
all	Metab_312	0.47283482998094534	CINAR_BC_101	seawater	20210126	dawn	Day5	Tektite
all	Metab_313	0.47306891234477483	CINAR_BC_80	seawater	20210125	dawn	Day4	Yawzi
all	Metab_314	0.48431592809938806	CINAR_BC_116	seawater	20210126	peak_photo	Day5	Tektite
all	Metab_315	0.4728034071105982	CINAR_BC_108	seawater	20210126	dawn	Day5	Tektite
all	Metab_316	0.47617905437197294	CINAR_BC_84	seawater	20210125	dawn	Day4	Tektite
all	Metab_317	0.4747431088859309	CINAR_BC_114	seawater	20210126	peak_photo	Day5	Yawzi
all	Metab_318	0.4732919251512049	CINAR_BC_110	seawater	20210126	dawn	Day5	LB_seagrass
all	Metab_319	0.48437447710290726	CINAR_BC_81A	seawater	20210125	dawn	Day4	Tektite
all	Metab_320	0.47594823345392046	CINAR_BC_112	seawater	20210126	peak_photo	Day5	Tektite
all	Metab_321	0.4730958050856811	CINAR_BC_104	seawater	20210126	dawn	Day5	Tektite
all	Metab_322	0.47698928224531145	CINAR_BC_75	seawater	20210125	dawn	Day4	Tektite
all	Metab_323	0.4729350818247869	CINAR_BC_118	seawater	20210126	peak_photo	Day5	Yawzi
all	Metab_324	0.47964620448425477	CINAR_BC_103	seawater	20210126	dawn	Day5	LB_seagrass
all	Metab_325	0.4813423180323662	CINAR_BC_86	seawater	20210125	dawn	Day4	Yawzi
all	Metab_326	0.5264223821367469	CINAR_BC_117	seawater	20210126	peak_photo	Day5	LB_seagrass
all	Metab_327	0.4710132307782901	CINAR_BC_102	seawater	20210126	dawn	Day5	Yawzi
all	Metab_328	0.47182519257851735	CINAR_BC_87	seawater	20210125	dawn	Day4	LB_seagrass
all	Metab_329	0.47307127523404874	CINAR_BC_119	seawater	20210126	peak_photo	Day5	LB_seagrass
all	Metab_331	0.4777967570567792	CINAR_BC_82	seawater	20210125	dawn	Day4	Yawzi
all	Metab_332	0.4688146034987961	CINAR_BC_120	seawater	20210126	peak_photo	Day5	LB_seagrass
all	Metab_334	0.4822957059298976	CINAR_BC_83	seawater	20210125	dawn	Day4	LB_seagrass
all	Metab_337	0.47069096255258125	CINAR_BC_85	seawater	20210125	dawn	Day4	LB_seagrass
site.time	Metab_219	0.1956600941769699	CINAR_BC_81B	seawater	20210123	dawn	Day2	LB_seagrass
