asv_id	label
ASV_00001	ASV_00001: Cyanobacteria; Synechococcus CC9902
ASV_00002	ASV_00002: Alphaproteobacteria; SAR11 Clade Ia
ASV_00003	ASV_00003: Alphaproteobacteria; HIMB11
ASV_00004	ASV_00004: Bacteroidia; NS4 marine group
ASV_00005	ASV_00005: Alphaproteobacteria; SAR11 Clade Ia
ASV_00006	ASV_00006: Bacteroidia; Cryomorphaceae
ASV_00007	ASV_00007: Cyanobacteria; Prochlorococcus MIT9313
ASV_00008	ASV_00008: Gammaproteobacteria; SAR86 clade
ASV_00009	ASV_00009: Bacteroidia; Flavobacteriaceae
ASV_00010	ASV_00010: Alphaproteobacteria; SAR11 Clade Ia
ASV_00011	ASV_00011: Gammaproteobacteria; SAR86 clade
ASV_00012	ASV_00012: Alphaproteobacteria; SAR11 Clade II
ASV_00013	ASV_00013: Acidimicrobia; Candidatus Actinomarina
ASV_00014	ASV_00014: Bacteroidia; NS5 marine group
ASV_00015	ASV_00015: Alphaproteobacteria; SAR116 clade
ASV_00016	ASV_00016: Acidimicrobia; Candidatus Actinomarina
ASV_00017	ASV_00017: Alphaproteobacteria; AEGEAN-169 marine group
ASV_00018	ASV_00018: Verrucomicrobiae; Coraliomargarita
ASV_00019	ASV_00019: Bacteroidia; NS2b marine group
ASV_00020	ASV_00020: Gammaproteobacteria; SAR86 clade
ASV_00021	ASV_00021: Alphaproteobacteria; Rhodobacteraceae
ASV_00022	ASV_00022: Cyanobacteria; Synechococcus CC9902
ASV_00023	ASV_00023: Alphaproteobacteria; SAR11 Clade Ib
ASV_00024	ASV_00024: Alphaproteobacteria; Rhodobacteraceae
ASV_00025	ASV_00025: Bacteroidia; NS5 marine group
ASV_00026	ASV_00026: Alphaproteobacteria; AEGEAN-169 marine group
ASV_00027	ASV_00027: Bacteroidia; NS5 marine group
ASV_00028	ASV_00028: Gammaproteobacteria; Stenotrophomonas
ASV_00029	ASV_00029: Alphaproteobacteria; SAR116 clade
ASV_00030	ASV_00030: Cyanobacteria; Synechococcus CC9902
ASV_00031	ASV_00031: Bacteria; Marinimicrobia (SAR406 clade)
ASV_00032	ASV_00032: Bacteroidia; NS5 marine group
ASV_00034	ASV_00034: Cyanobacteria; Synechococcus CC9902
ASV_00035	ASV_00035: Alphaproteobacteria; SAR11 Clade Ib
ASV_00036	ASV_00036: Bacteroidia; NS9 marine group
ASV_00037	ASV_00037: Alphaproteobacteria; SAR11 Clade II
ASV_00038	ASV_00038: Bacteroidia; Formosa
ASV_00039	ASV_00039: Alphaproteobacteria; Rhodobacteraceae
ASV_00040	ASV_00040: Gammaproteobacteria; OM60(NOR5) clade
ASV_00041	ASV_00041: Gammaproteobacteria; OM60(NOR5) clade
ASV_00043	ASV_00043: Bacteroidia; NS5 marine group
ASV_00044	ASV_00044: Gammaproteobacteria; OM60(NOR5) clade
ASV_00045	ASV_00045: Bacteroidia; NS7 marine group
ASV_00046	ASV_00046: Gammaproteobacteria; SAR86 clade
ASV_00047	ASV_00047: Bacteroidia; NS4 marine group
ASV_00048	ASV_00048: Bacteroidia; NS5 marine group
ASV_00049	ASV_00049: Gammaproteobacteria; SAR86 clade
ASV_00050	ASV_00050: Alphaproteobacteria; Rhodobacteraceae
ASV_00051	ASV_00051: Gammaproteobacteria; Pseudomonas
ASV_00052	ASV_00052: Alphaproteobacteria; SAR116 clade
ASV_00053	ASV_00053: Phycisphaerae; Urania-1B-19 marine sediment group
ASV_00054	ASV_00054: Gammaproteobacteria; Alteromonas
ASV_00055	ASV_00055: Gammaproteobacteria; SAR86 clade
ASV_00057	ASV_00057: Thermoplasmata; Marine Group II
ASV_00058	ASV_00058: Acidimicrobia; Sva0996 marine group
ASV_00059	ASV_00059: Alphaproteobacteria; Ascidiaceihabitans
