order	day	time	date_ast	temp	lux	site
1	01/21/21	12:31:12 PM	01/21/21 12:31:12 PM	26.097	0	Tektite
2	01/21/21	12:36:12 PM	01/21/21 12:36:12 PM	25.61	53.8	Tektite
3	01/21/21	12:41:12 PM	01/21/21 12:41:12 PM	24.835	32.3	Tektite
4	01/21/21	12:46:12 PM	01/21/21 12:46:12 PM	24.738	21.5	Tektite
5	01/21/21	12:51:12 PM	01/21/21 12:51:12 PM	25.222	0	Tektite
6	01/21/21	12:56:12 PM	01/21/21 12:56:12 PM	26.585	775	Tektite
7	01/21/21	01:01:12 PM	01/21/21 01:01:12 PM	28.853	10333.4	Tektite
8	01/21/21	01:06:12 PM	01/21/21 01:06:12 PM	30.154	12400.1	Tektite
9	01/21/21	01:11:12 PM	01/21/21 01:11:12 PM	33.43	22044.6	Tektite
10	01/21/21	01:16:12 PM	01/21/21 01:16:12 PM	35.649	27555.7	Tektite
11	01/21/21	01:21:12 PM	01/21/21 01:21:12 PM	37.604	22044.6	Tektite
12	01/21/21	01:26:12 PM	01/21/21 01:26:12 PM	38.046	88178.4	Tektite
13	01/21/21	01:31:12 PM	01/21/21 01:31:12 PM	38.157	19289	Tektite
14	01/21/21	01:36:12 PM	01/21/21 01:36:12 PM	38.379	85422.8	Tektite
15	01/21/21	01:41:12 PM	01/21/21 01:41:12 PM	38.268	17222.3	Tektite
16	01/21/21	01:46:12 PM	01/21/21 01:46:12 PM	38.49	5511.1	Tektite
17	01/21/21	01:51:12 PM	01/21/21 01:51:12 PM	38.826	8266.7	Tektite
18	01/21/21	01:56:12 PM	01/21/21 01:56:12 PM	38.046	13089	Tektite
19	01/21/21	02:01:12 PM	01/21/21 02:01:12 PM	36.837	22044.6	Tektite
20	01/21/21	02:06:12 PM	01/21/21 02:06:12 PM	35.756	115734.1	Tektite
21	01/21/21	02:11:12 PM	01/21/21 02:11:12 PM	41.692	2755.6	Tektite
22	01/21/21	02:16:12 PM	01/21/21 02:16:12 PM	46.85	21355.7	Tektite
23	01/21/21	02:21:12 PM	01/21/21 02:21:12 PM	46.21	1894.5	Tektite
24	01/21/21	02:26:12 PM	01/21/21 02:26:12 PM	44.58	21.5	Tektite
25	01/21/21	02:31:12 PM	01/21/21 02:31:12 PM	29.853	0	Tektite
26	01/21/21	02:36:12 PM	01/21/21 02:36:12 PM	27.37	5166.7	Tektite
27	01/21/21	02:41:12 PM	01/21/21 02:41:12 PM	27.173	5166.7	Tektite
