sample_ID	sample_type	sampling_date	sampling_time	sampling_day	site	sample_id	replicate	sample_order	sample_order_all
Metab_182	seawater	20210122	dawn	Day1	LB_seagrass	Metab_182	1	1	1
Metab_191	seawater	20210122	dawn	Day1	LB_seagrass	Metab_191	2	2	2
Metab_194	seawater	20210122	dawn	Day1	LB_seagrass	Metab_194	3	3	3
Metab_219	seawater	20210123	dawn	Day2	LB_seagrass	Metab_219	1	4	7
Metab_237	seawater	20210123	dawn	Day2	LB_seagrass	Metab_237	2	5	8
Metab_240	seawater	20210123	dawn	Day2	LB_seagrass	Metab_240	3	6	9
Metab_272	seawater	20210124	dawn	Day3	LB_seagrass	Metab_272	1	7	13
Metab_281	seawater	20210124	dawn	Day3	LB_seagrass	Metab_281	2	8	14
Metab_287	seawater	20210124	dawn	Day3	LB_seagrass	Metab_287	3	9	15
Metab_309	seawater	20210126	dawn	Day5	LB_seagrass	Metab_309	1	13	25
Metab_318	seawater	20210126	dawn	Day5	LB_seagrass	Metab_318	2	14	26
Metab_324	seawater	20210126	dawn	Day5	LB_seagrass	Metab_324	3	15	27
Metab_328	seawater	20210125	dawn	Day4	LB_seagrass	Metab_328	1	10	19
Metab_334	seawater	20210125	dawn	Day4	LB_seagrass	Metab_334	2	11	20
Metab_337	seawater	20210125	dawn	Day4	LB_seagrass	Metab_337	3	12	21
Metab_181	seawater	20210122	peak_photo	Day1	LB_seagrass	Metab_181	1	1	4
Metab_183	seawater	20210123	peak_photo	Day2	LB_seagrass	Metab_183	1	4	10
Metab_189	seawater	20210123	peak_photo	Day2	LB_seagrass	Metab_189	2	5	11
Metab_193	seawater	20210122	peak_photo	Day1	LB_seagrass	Metab_193	2	2	5
Metab_199	seawater	20210122	peak_photo	Day1	LB_seagrass	Metab_199	3	3	6
Metab_233	seawater	20210123	peak_photo	Day2	LB_seagrass	Metab_233	3	6	12
Metab_273	seawater	20210125	peak_photo	Day4	LB_seagrass	Metab_273	1	10	22
Metab_279	seawater	20210125	peak_photo	Day4	LB_seagrass	Metab_279	2	11	23
Metab_280	seawater	20210124	peak_photo	Day3	LB_seagrass	Metab_280	1	7	16
Metab_282	seawater	20210125	peak_photo	Day4	LB_seagrass	Metab_282	3	12	24
Metab_286	seawater	20210124	peak_photo	Day3	LB_seagrass	Metab_286	2	8	17
Metab_289	seawater	20210124	peak_photo	Day3	LB_seagrass	Metab_289	3	9	18
Metab_326	seawater	20210126	peak_photo	Day5	LB_seagrass	Metab_326	1	13	28
Metab_329	seawater	20210126	peak_photo	Day5	LB_seagrass	Metab_329	2	14	29
Metab_332	seawater	20210126	peak_photo	Day5	LB_seagrass	Metab_332	3	15	30
Metab_229	seawater	20210122	dawn	Day1	Tektite	Metab_229	1	1	1
Metab_231	seawater	20210123	dawn	Day2	Tektite	Metab_231	1	4	7
Metab_232	seawater	20210122	dawn	Day1	Tektite	Metab_232	2	2	2
Metab_234	seawater	20210123	dawn	Day2	Tektite	Metab_234	2	5	8
Metab_235	seawater	20210122	dawn	Day1	Tektite	Metab_235	3	3	3
Metab_241	seawater	20210123	dawn	Day2	Tektite	Metab_241	3	6	9
Metab_275	seawater	20210124	dawn	Day3	Tektite	Metab_275	1	7	13
Metab_278	seawater	20210124	dawn	Day3	Tektite	Metab_278	2	8	14
Metab_290	seawater	20210124	dawn	Day3	Tektite	Metab_290	3	9	15
Metab_312	seawater	20210126	dawn	Day5	Tektite	Metab_312	1	13	25
Metab_315	seawater	20210126	dawn	Day5	Tektite	Metab_315	2	14	26
Metab_316	seawater	20210125	dawn	Day4	Tektite	Metab_316	1	10	19
Metab_319	seawater	20210125	dawn	Day4	Tektite	Metab_319	2	11	20
Metab_321	seawater	20210126	dawn	Day5	Tektite	Metab_321	3	15	27
Metab_322	seawater	20210125	dawn	Day4	Tektite	Metab_322	3	12	21
Metab_180	seawater	20210122	peak_photo	Day1	Tektite	Metab_180	1	1	4
Metab_184	seawater	20210122	peak_photo	Day1	Tektite	Metab_184	2	2	5
Metab_196	seawater	20210122	peak_photo	Day1	Tektite	Metab_196	3	3	6
Metab_224	seawater	20210123	peak_photo	Day2	Tektite	Metab_224	1	4	10
Metab_227	seawater	20210123	peak_photo	Day2	Tektite	Metab_227	2	5	11
Metab_236	seawater	20210123	peak_photo	Day2	Tektite	Metab_236	3	6	12
Metab_261	seawater	20210125	peak_photo	Day4	Tektite	Metab_261	1	10	22
Metab_264	seawater	20210125	peak_photo	Day4	Tektite	Metab_264	2	11	23
Metab_266	seawater	20210124	peak_photo	Day3	Tektite	Metab_266	1	7	16
Metab_270	seawater	20210125	peak_photo	Day4	Tektite	Metab_270	3	12	24
Metab_277	seawater	20210124	peak_photo	Day3	Tektite	Metab_277	2	8	17
Metab_283	seawater	20210124	peak_photo	Day3	Tektite	Metab_283	3	9	18
Metab_311	seawater	20210126	peak_photo	Day5	Tektite	Metab_311	1	13	28
Metab_314	seawater	20210126	peak_photo	Day5	Tektite	Metab_314	2	14	29
Metab_320	seawater	20210126	peak_photo	Day5	Tektite	Metab_320	3	15	30
Metab_185	seawater	20210122	dawn	Day1	Yawzi	Metab_185	1	1	1
Metab_188	seawater	20210122	dawn	Day1	Yawzi	Metab_188	2	2	2
Metab_222	seawater	20210123	dawn	Day2	Yawzi	Metab_222	1	4	7
Metab_225	seawater	20210123	dawn	Day2	Yawzi	Metab_225	2	5	8
Metab_228	seawater	20210123	dawn	Day2	Yawzi	Metab_228	3	6	9
Metab_238	seawater	20210122	dawn	Day1	Yawzi	Metab_238	3	3	3
Metab_284	seawater	20210124	dawn	Day3	Yawzi	Metab_284	1	7	13
Metab_292	seawater	20210124	dawn	Day3	Yawzi	Metab_292	2	8	14
Metab_295	seawater	20210124	dawn	Day3	Yawzi	Metab_295	3	9	15
Metab_303	seawater	20210126	dawn	Day5	Yawzi	Metab_303	1	13	25
Metab_306	seawater	20210126	dawn	Day5	Yawzi	Metab_306	2	14	26
Metab_313	seawater	20210125	dawn	Day4	Yawzi	Metab_313	1	10	19
Metab_325	seawater	20210125	dawn	Day4	Yawzi	Metab_325	2	11	20
Metab_327	seawater	20210126	dawn	Day5	Yawzi	Metab_327	3	15	27
Metab_331	seawater	20210125	dawn	Day4	Yawzi	Metab_331	3	12	21
Metab_179	seawater	20210122	peak_photo	Day1	Yawzi	Metab_179	1	1	4
Metab_186	seawater	20210123	peak_photo	Day2	Yawzi	Metab_186	1	4	10
Metab_187	seawater	20210122	peak_photo	Day1	Yawzi	Metab_187	2	2	5
Metab_190	seawater	20210122	peak_photo	Day1	Yawzi	Metab_190	3	3	6
Metab_230	seawater	20210123	peak_photo	Day2	Yawzi	Metab_230	2	5	11
Metab_239	seawater	20210123	peak_photo	Day2	Yawzi	Metab_239	3	6	12
Metab_267	seawater	20210125	peak_photo	Day4	Yawzi	Metab_267	1	10	22
Metab_269	seawater	20210124	peak_photo	Day3	Yawzi	Metab_269	1	7	16
Metab_271	seawater	20210124	peak_photo	Day3	Yawzi	Metab_271	2	8	17
Metab_274	seawater	20210124	peak_photo	Day3	Yawzi	Metab_274	3	9	18
Metab_276	seawater	20210125	peak_photo	Day4	Yawzi	Metab_276	2	11	23
Metab_285	seawater	20210125	peak_photo	Day4	Yawzi	Metab_285	3	12	24
Metab_308	seawater	20210126	peak_photo	Day5	Yawzi	Metab_308	1	13	28
Metab_317	seawater	20210126	peak_photo	Day5	Yawzi	Metab_317	2	14	29
Metab_323	seawater	20210126	peak_photo	Day5	Yawzi	Metab_323	3	15	30
Metab_K1	control_extraction	NA	NA	NA	NA	Metab_K1	1	1	1
Metab_K10	control_extraction	NA	NA	NA	NA	Metab_K10	10	10	10
Metab_K11	control_extraction	NA	NA	NA	NA	Metab_K11	11	11	11
Metab_K2	control_extraction	NA	NA	NA	NA	Metab_K2	2	2	2
Metab_K3	control_extraction	NA	NA	NA	NA	Metab_K3	3	3	3
Metab_K4	control_extraction	NA	NA	NA	NA	Metab_K4	4	4	4
Metab_K5	control_extraction	NA	NA	NA	NA	Metab_K5	5	5	5
Metab_K6	control_extraction	NA	NA	NA	NA	Metab_K6	6	6	6
Metab_K7	control_extraction	NA	NA	NA	NA	Metab_K7	7	7	7
Metab_K8	control_extraction	NA	NA	NA	NA	Metab_K8	8	8	8
Metab_K9	control_extraction	NA	NA	NA	NA	Metab_K9	9	9	9
pcr_control_01_29_cyc	control_pcr	NA	NA	NA	NA	pcr_control_01_29_cyc	1	1	1
pcr_control_02_30_cyc	control_pcr	NA	NA	NA	NA	pcr_control_02_30_cyc	2	2	2
pcr_control_03_30_cyc	control_pcr	NA	NA	NA	NA	pcr_control_03_30_cyc	3	3	3
pcr_control_04_32_cyc	control_pcr	NA	NA	NA	NA	pcr_control_04_32_cyc	4	4	4
pcr_control_05_34_cyc	control_pcr	NA	NA	NA	NA	pcr_control_05_34_cyc	5	5	5
bowhead_3	control_seq	NA	NA	NA	NA	bowhead_3	NA	1	1
C_102	control_seq	NA	NA	NA	NA	C_102	NA	2	2
mock_community	control_seq	NA	NA	NA	NA	mock_community	NA	3	3
