label	NMDS1	NMDS2	type	sample_type	sampling_date	sampling_time	sampling_day	site	replicate	text_label
Metab_183	-0.46829782659880126	-0.14199098400603194	sample	seawater	20210123	peak_photo	Day2	LB_seagrass	1	NA
Metab_186	0.16076916997409554	-0.021620163251881087	sample	seawater	20210123	peak_photo	Day2	Yawzi	1	NA
Metab_189	-0.5453072990729012	0.03838059824399596	sample	seawater	20210123	peak_photo	Day2	LB_seagrass	2	NA
Metab_222	-0.052764665606039346	-0.025889994276914106	sample	seawater	20210123	dawn	Day2	Yawzi	1	NA
Metab_225	0.13466306487707494	-0.035457174028742766	sample	seawater	20210123	dawn	Day2	Yawzi	2	NA
Metab_227	0.2191516308346836	0.006540938599839152	sample	seawater	20210123	peak_photo	Day2	Tektite	2	Metab_227
Metab_228	0.09240547908920925	-0.17905389779008327	sample	seawater	20210123	dawn	Day2	Yawzi	3	NA
Metab_230	0.05866398625246298	-0.010577592094647708	sample	seawater	20210123	peak_photo	Day2	Yawzi	2	NA
Metab_234	0.14214279997536008	-0.11376815605691659	sample	seawater	20210123	dawn	Day2	Tektite	2	NA
Metab_236	0.2827035363819365	-0.06939127652463974	sample	seawater	20210123	peak_photo	Day2	Tektite	3	Metab_236
Metab_237	-0.4826836245839896	0.16390368168975616	sample	seawater	20210123	dawn	Day2	LB_seagrass	2	NA
Metab_239	0.11460259000908508	-0.07982747336648366	sample	seawater	20210123	peak_photo	Day2	Yawzi	3	NA
Metab_240	-0.4409658828883631	0.20437047763957344	sample	seawater	20210123	dawn	Day2	LB_seagrass	3	NA
Metab_241	0.1002686569412563	-0.46487364730355013	sample	seawater	20210123	dawn	Day2	Tektite	3	NA
Metab_261	0.18393524190753105	-0.002645546211979288	sample	seawater	20210125	peak_photo	Day4	Tektite	1	NA
Metab_264	0.23408688569689887	0.028518166328261832	sample	seawater	20210125	peak_photo	Day4	Tektite	2	NA
Metab_266	0.08935741076108215	-0.013865192668403517	sample	seawater	20210124	peak_photo	Day3	Tektite	1	NA
Metab_267	0.23237349625378417	0.10857679517972128	sample	seawater	20210125	peak_photo	Day4	Yawzi	1	NA
Metab_269	0.2158289416802321	0.009892891380001732	sample	seawater	20210124	peak_photo	Day3	Yawzi	1	Metab_269
Metab_270	0.1992928258971823	0.04301020188325651	sample	seawater	20210125	peak_photo	Day4	Tektite	3	NA
Metab_271	0.25131517914108137	0.027142719396080348	sample	seawater	20210124	peak_photo	Day3	Yawzi	2	Metab_271
Metab_272	-0.4345879713740823	0.14346121855533434	sample	seawater	20210124	dawn	Day3	LB_seagrass	1	NA
Metab_273	0.009504967879233514	0.15343883003396802	sample	seawater	20210125	peak_photo	Day4	LB_seagrass	1	NA
Metab_274	0.20737234699992182	-0.0235009520900464	sample	seawater	20210124	peak_photo	Day3	Yawzi	3	Metab_274
Metab_275	0.17134653581758902	-0.07052957601177667	sample	seawater	20210124	dawn	Day3	Tektite	1	NA
Metab_276	0.1370379421048087	0.030467706256698375	sample	seawater	20210125	peak_photo	Day4	Yawzi	2	NA
Metab_277	0.14993434111400158	-0.010563395176515972	sample	seawater	20210124	peak_photo	Day3	Tektite	2	NA
Metab_278	0.13016686125680885	-0.018907205655314133	sample	seawater	20210124	dawn	Day3	Tektite	2	NA
Metab_279	-0.28248742373995256	0.03789914440183695	sample	seawater	20210125	peak_photo	Day4	LB_seagrass	2	NA
Metab_281	-0.5503149958613189	-0.19903545791746877	sample	seawater	20210124	dawn	Day3	LB_seagrass	2	NA
Metab_282	-0.24849586751809713	0.04395369166338838	sample	seawater	20210125	peak_photo	Day4	LB_seagrass	3	NA
Metab_283	0.15358596052725068	-0.09408985123629206	sample	seawater	20210124	peak_photo	Day3	Tektite	3	NA
Metab_284	0.17498798076757585	-0.08322970533748932	sample	seawater	20210124	dawn	Day3	Yawzi	1	NA
Metab_285	0.18249581382072436	0.043955584017134966	sample	seawater	20210125	peak_photo	Day4	Yawzi	3	NA
Metab_286	-0.5779051614867602	-0.07212906780830343	sample	seawater	20210124	peak_photo	Day3	LB_seagrass	2	Metab_286
Metab_287	-0.5715928565830368	-0.1707172650997544	sample	seawater	20210124	dawn	Day3	LB_seagrass	3	NA
Metab_289	-0.5313768460977821	0.09633081329727543	sample	seawater	20210124	peak_photo	Day3	LB_seagrass	3	Metab_289
Metab_290	0.21984636560908172	0.04447424492200333	sample	seawater	20210124	dawn	Day3	Tektite	3	NA
Metab_292	0.1768453882487671	0.02866531852544141	sample	seawater	20210124	dawn	Day3	Yawzi	2	NA
Metab_295	0.0680422409634997	0.013264812543340878	sample	seawater	20210124	dawn	Day3	Yawzi	3	NA
