label	NMDS1	NMDS2	sample_type	sampling_date	sampling_time	sampling_day	site
Metab_183	-0.15985868267534462	0.09064150388318686	seawater	20210123	peak_photo	Day2	LB_seagrass
Metab_189	-0.13493524283484748	-0.05896825072674308	seawater	20210123	peak_photo	Day2	LB_seagrass
Metab_237	-0.11762208291346093	0.143425435670323	seawater	20210123	dawn	Day2	LB_seagrass
Metab_240	-0.06377382429008316	0.11656263404503013	seawater	20210123	dawn	Day2	LB_seagrass
Metab_272	-0.021736154775414924	0.05609880507913765	seawater	20210124	dawn	Day3	LB_seagrass
Metab_273	0.30731306230370226	0.04563706818244301	seawater	20210125	peak_photo	Day4	LB_seagrass
Metab_279	0.0905024318458843	-0.0841375725945587	seawater	20210125	peak_photo	Day4	LB_seagrass
Metab_281	-0.20926047307893308	-0.1901339091250787	seawater	20210124	dawn	Day3	LB_seagrass
Metab_282	0.11047195610963265	-0.06223710552132254	seawater	20210125	peak_photo	Day4	LB_seagrass
Metab_286	-0.21251780007006557	0.022276373367736548	seawater	20210124	peak_photo	Day3	LB_seagrass
Metab_287	-0.2059571680185526	-0.11346608938676866	seawater	20210124	dawn	Day3	LB_seagrass
Metab_289	-0.11370223793723128	0.022755603893486333	seawater	20210124	peak_photo	Day3	LB_seagrass
Metab_309	-0.01997549822235559	-0.08720453851109305	seawater	20210126	dawn	Day5	LB_seagrass
Metab_318	0.04622812857702347	0.003666435304176015	seawater	20210126	dawn	Day5	LB_seagrass
Metab_324	0.13835411781946763	0.049732052224512484	seawater	20210126	dawn	Day5	LB_seagrass
Metab_326	0.40191918258211484	0.016547644520257598	seawater	20210126	peak_photo	Day5	LB_seagrass
Metab_328	-0.011222057146823788	-0.02478030915386076	seawater	20210125	dawn	Day4	LB_seagrass
Metab_329	0.3177934059015064	-0.03227101888384748	seawater	20210126	peak_photo	Day5	LB_seagrass
Metab_332	0.2452332499986794	-0.04155722818543591	seawater	20210126	peak_photo	Day5	LB_seagrass
Metab_334	-0.010222334556434967	-0.08422618269396409	seawater	20210125	dawn	Day4	LB_seagrass
Metab_337	-0.03212277966352598	-0.011485608697984135	seawater	20210125	dawn	Day4	LB_seagrass
Metab_219	-0.32897459511557087	0.05195111147766821	seawater	20210123	dawn	Day2	LB_seagrass
Metab_233	-0.015934603839366093	0.17117314583269932	seawater	20210123	peak_photo	Day2	LB_seagrass
Metab_227	-0.0347422308916987	0.026015443935119655	seawater	20210123	peak_photo	Day2	Tektite
Metab_234	0.0822388808588189	-0.03625328041483506	seawater	20210123	dawn	Day2	Tektite
Metab_236	0.026526717337715885	-0.06808917124893674	seawater	20210123	peak_photo	Day2	Tektite
Metab_241	0.2422086903756545	-0.12725249242236292	seawater	20210123	dawn	Day2	Tektite
Metab_261	-0.012968812711598736	0.007375601463771274	seawater	20210125	peak_photo	Day4	Tektite
Metab_264	-0.04922833292460096	0.0011450531656177177	seawater	20210125	peak_photo	Day4	Tektite
Metab_266	-0.00459361275137197	0.08353231556494772	seawater	20210124	peak_photo	Day3	Tektite
Metab_270	-0.07001874941241884	0.05153261843182062	seawater	20210125	peak_photo	Day4	Tektite
Metab_275	0.047883113536368524	-0.009783388706468396	seawater	20210124	dawn	Day3	Tektite
Metab_277	0.005172094113239465	0.038402317175782526	seawater	20210124	peak_photo	Day3	Tektite
Metab_278	0.028020434326196008	0.017724452482044854	seawater	20210124	dawn	Day3	Tektite
Metab_283	0.048923068888652575	0.01942127710815842	seawater	20210124	peak_photo	Day3	Tektite
