label	NMDS1	NMDS2	sample_id	sample_type	sampling_date	sampling_time	sampling_day	site
CINAR_BC_100	-0.2786363395524299	0.12646757336995818	Metab_282	seawater	20210125	peak_photo	Day4	LB_seagrass
CINAR_BC_45	0.07397413563700576	-0.13521613073290686	Metab_239	seawater	20210123	peak_photo	Day2	Yawzi
CINAR_BC_77	0.39013347867501236	-0.1268654464859071	Metab_234	seawater	20210123	dawn	Day2	Tektite
CINAR_BC_85	-0.22820401748365451	0.27259991262058203	Metab_337	seawater	20210125	dawn	Day4	LB_seagrass
CINAR_BC_98	0.5924845729180465	0.20938591201965268	Metab_270	seawater	20210125	peak_photo	Day4	Tektite
CINAR_BC_101	0.3280760402364248	-0.15009341181134864	Metab_312	seawater	20210126	dawn	Day5	Tektite
CINAR_BC_99	-0.2810820528555774	0.20109042544994882	Metab_273	seawater	20210125	peak_photo	Day4	LB_seagrass
CINAR_BC_69	0.3296465789267062	0.21706169827662064	Metab_274	seawater	20210124	peak_photo	Day3	Yawzi
CINAR_BC_88	-0.20280989522558623	0.3347611126175101	Metab_328	seawater	20210125	dawn	Day4	LB_seagrass
CINAR_BC_70	-0.10836333842361424	0.2796983015390669	Metab_286	seawater	20210124	peak_photo	Day3	LB_seagrass
CINAR_BC_52	-0.0769065505749538	0.1788971872006839	Metab_189	seawater	20210123	peak_photo	Day2	LB_seagrass
CINAR_BC_103	-0.1943416935905392	0.2276597867385654	Metab_324	seawater	20210126	dawn	Day5	LB_seagrass
CINAR_BC_90	0.19831557793102625	-0.19803037326420955	Metab_264	seawater	20210125	peak_photo	Day4	Tektite
CINAR_BC_71	0.2324999457990805	-0.19830504121751932	Metab_269	seawater	20210124	peak_photo	Day3	Yawzi
CINAR_BC_72	0.4389917149022392	-0.1557439989917926	Metab_266	seawater	20210124	peak_photo	Day3	Tektite
CINAR_BC_63	-0.0077873022691392485	0.16694853603194515	Metab_281	seawater	20210124	dawn	Day3	LB_seagrass
CINAR_BC_93	-0.0919049407397071	-0.13345421791486098	Metab_261	seawater	20210125	peak_photo	Day4	Tektite
CINAR_BC_84	0.25636737225392886	0.04331567258561305	Metab_316	seawater	20210125	dawn	Day4	Tektite
CINAR_BC_95	-0.2931988279277057	0.12759414980774364	Metab_279	seawater	20210125	peak_photo	Day4	LB_seagrass
CINAR_BC_42	-0.0775602706237889	-0.23691592411669285	Metab_224	seawater	20210123	peak_photo	Day2	Tektite
CINAR_BC_43	-0.11372027106692417	0.15019465059681092	Metab_236	seawater	20210123	peak_photo	Day2	Tektite
CINAR_BC_75	0.27396725067165256	-0.19847449525082855	Metab_322	seawater	20210125	dawn	Day4	Tektite
CINAR_BC_83	-0.22313353835072655	0.21837485106658858	Metab_334	seawater	20210125	dawn	Day4	LB_seagrass
CINAR_BC_50	0.0872760734950914	-0.10973721549206704	Metab_186	seawater	20210123	peak_photo	Day2	Yawzi
CINAR_BC_109	0.2728318723183383	0.15939275625823787	Metab_309	seawater	20210126	dawn	Day5	LB_seagrass
CINAR_BC_119	-0.19992649351962222	0.13768120901723718	Metab_329	seawater	20210126	peak_photo	Day5	LB_seagrass
CINAR_BC_67	0.4628268386611452	0.0607389560460942	Metab_271	seawater	20210124	peak_photo	Day3	Yawzi
CINAR_BC_79	0.6852248742384217	-0.029469853402104614	Metab_241	seawater	20210123	dawn	Day2	Tektite
CINAR_BC_68	0.31168125269575275	-0.10663177665920055	Metab_283	seawater	20210124	peak_photo	Day3	Tektite
CINAR_BC_49	-0.056284143195140995	0.31898443111839675	Metab_233	seawater	20210123	peak_photo	Day2	LB_seagrass
CINAR_BC_117	0.14409666809732638	0.36208556386281215	Metab_326	seawater	20210126	peak_photo	Day5	LB_seagrass
CINAR_BC_66	-0.18456167976406607	-0.18845970723516414	Metab_277	seawater	20210124	peak_photo	Day3	Tektite
CINAR_BC_37	-0.13015421028944635	0.24334190963640598	Metab_237	seawater	20210123	dawn	Day2	LB_seagrass
CINAR_BC_41	-0.07937850891129714	0.27024425526188345	Metab_240	seawater	20210123	dawn	Day2	LB_seagrass
CINAR_BC_81B	-0.22995493844935183	0.26095848894094537	Metab_219	seawater	20210123	dawn	Day2	LB_seagrass
CINAR_BC_110	0.15842635777767938	0.13802554213736257	Metab_318	seawater	20210126	dawn	Day5	LB_seagrass
CINAR_BC_74	0.005253402141321931	0.2336244593396064	Metab_289	seawater	20210124	peak_photo	Day3	LB_seagrass
CINAR_BC_105	0.21972414500896428	0.21205291066052545	Metab_321	seawater	20210126	dawn	Day5	Tektite
CINAR_BC_57	-0.1355849875684885	0.35914332869909826	Metab_272	seawater	20210124	dawn	Day3	LB_seagrass
