label	NMDS1	NMDS2	sample_id	sample_type	sampling_date	sampling_time	sampling_day	site	text_label
CINAR_BC_48	-0.045274952139138874	-0.08513036016913911	Metab_183	seawater	20210123	peak_photo	Day2	LB_seagrass	NA
CINAR_BC_52	-0.017332126645615023	-0.05579866697359122	Metab_189	seawater	20210123	peak_photo	Day2	LB_seagrass	NA
CINAR_BC_37	0.0014524612946306926	0.0419828782729834	Metab_237	seawater	20210123	dawn	Day2	LB_seagrass	NA
CINAR_BC_41	-0.03885265447966755	0.05273030889619062	Metab_240	seawater	20210123	dawn	Day2	LB_seagrass	NA
CINAR_BC_57	-0.005670847041497892	0.11181679849480901	Metab_272	seawater	20210124	dawn	Day3	LB_seagrass	NA
CINAR_BC_99	0.14728379872217168	-0.06264230612359364	Metab_273	seawater	20210125	peak_photo	Day4	LB_seagrass	NA
CINAR_BC_95	0.1888553729107439	-0.012927783094161344	Metab_279	seawater	20210125	peak_photo	Day4	LB_seagrass	NA
CINAR_BC_63	-0.09641667204789431	0.015425905882372836	Metab_281	seawater	20210124	dawn	Day3	LB_seagrass	NA
CINAR_BC_100	0.17666774155702955	-0.07683280927375631	Metab_282	seawater	20210125	peak_photo	Day4	LB_seagrass	NA
CINAR_BC_70	-0.0016141466287777728	-0.03362072301747195	Metab_286	seawater	20210124	peak_photo	Day3	LB_seagrass	CINAR_BC_70
CINAR_BC_54	6.592138809881605e-4	0.01954959397479838	Metab_287	seawater	20210124	dawn	Day3	LB_seagrass	NA
CINAR_BC_74	-0.10015764340371695	-0.033497969408607026	Metab_289	seawater	20210124	peak_photo	Day3	LB_seagrass	CINAR_BC_74
CINAR_BC_109	-0.3456102009668398	0.06092486070404393	Metab_309	seawater	20210126	dawn	Day5	LB_seagrass	NA
CINAR_BC_110	-0.24174980090398332	0.050646035380906736	Metab_318	seawater	20210126	dawn	Day5	LB_seagrass	NA
CINAR_BC_103	0.04969271235274118	0.07401766824806895	Metab_324	seawater	20210126	dawn	Day5	LB_seagrass	NA
CINAR_BC_117	-0.23646784736391155	-0.17509464925976245	Metab_326	seawater	20210126	peak_photo	Day5	LB_seagrass	NA
CINAR_BC_88	0.048968159941923155	0.10877335217258621	Metab_328	seawater	20210125	dawn	Day4	LB_seagrass	NA
CINAR_BC_119	0.11715328749021646	-0.03258691265628106	Metab_329	seawater	20210126	peak_photo	Day5	LB_seagrass	NA
CINAR_BC_120	0.15555137771246288	-0.09161981419884506	Metab_332	seawater	20210126	peak_photo	Day5	LB_seagrass	NA
CINAR_BC_83	0.09623343136517651	0.041920406493947675	Metab_334	seawater	20210125	dawn	Day4	LB_seagrass	NA
CINAR_BC_85	0.07925711010536314	0.09076406468599693	Metab_337	seawater	20210125	dawn	Day4	LB_seagrass	NA
CINAR_BC_81B	0.09446038973947564	0.08721798987777815	Metab_219	seawater	20210123	dawn	Day2	LB_seagrass	NA
CINAR_BC_49	-0.02708816545187989	-0.09601786890927362	Metab_233	seawater	20210123	peak_photo	Day2	LB_seagrass	NA
CINAR_BC_44	-0.3803805020007057	0.0728455999798707	Metab_227	seawater	20210123	peak_photo	Day2	Tektite	CINAR_BC_44
CINAR_BC_77	0.28346854474941313	-0.10179848534268458	Metab_234	seawater	20210123	dawn	Day2	Tektite	NA
CINAR_BC_43	-0.16227185086926582	0.3316239291549854	Metab_236	seawater	20210123	peak_photo	Day2	Tektite	CINAR_BC_43
CINAR_BC_79	0.5997585262225923	-0.12097476150171939	Metab_241	seawater	20210123	dawn	Day2	Tektite	NA
CINAR_BC_93	-0.20309033375607438	0.009573944505588088	Metab_261	seawater	20210125	peak_photo	Day4	Tektite	NA
CINAR_BC_90	0.06528440066987326	-0.09857157730413559	Metab_264	seawater	20210125	peak_photo	Day4	Tektite	NA
CINAR_BC_72	0.3244389920389506	-0.10256475001790186	Metab_266	seawater	20210124	peak_photo	Day3	Tektite	NA
CINAR_BC_98	0.5577186319621333	0.1509376439719916	Metab_270	seawater	20210125	peak_photo	Day4	Tektite	NA
CINAR_BC_62	0.38758508820728543	0.1143369122622586	Metab_275	seawater	20210124	dawn	Day3	Tektite	NA
CINAR_BC_65	-0.32032143577484545	-0.010374830632784469	Metab_277	seawater	20210124	peak_photo	Day3	Tektite	NA
CINAR_BC_66	-0.3064100278781451	-0.04763372089177577	Metab_277	seawater	20210124	peak_photo	Day3	Tektite	NA
CINAR_BC_60	0.07581835350559002	0.015260297832953016	Metab_278	seawater	20210124	dawn	Day3	Tektite	NA
CINAR_BC_68	0.21106188620559083	-0.06460810696897622	Metab_283	seawater	20210124	peak_photo	Day3	Tektite	NA
CINAR_BC_56	-0.6531391197177995	-0.18773376852658125	Metab_290	seawater	20210124	dawn	Day3	Tektite	NA
CINAR_BC_115	0.14527011385079636	-0.1459454648356174	Metab_311	seawater	20210126	peak_photo	Day5	Tektite	NA
CINAR_BC_101	0.21224261956789062	-0.12098449802409106	Metab_312	seawater	20210126	dawn	Day5	Tektite	CINAR_BC_101
CINAR_BC_116	-0.1618020593341173	0.10644611758135758	Metab_314	seawater	20210126	peak_photo	Day5	Tektite	NA
CINAR_BC_108	-0.24560092263308103	-0.048741755910197714	Metab_315	seawater	20210126	dawn	Day5	Tektite	CINAR_BC_108
CINAR_BC_84	0.17528623794183865	0.12880550298812166	Metab_316	seawater	20210125	dawn	Day4	Tektite	NA
CINAR_BC_81A	0.18057946689677593	-0.07557163022028154	Metab_319	seawater	20210125	dawn	Day4	Tektite	NA
CINAR_BC_112	-0.3679392584104292	0.1103304856964567	Metab_320	seawater	20210126	peak_photo	Day5	Tektite	NA
CINAR_BC_105	0.16421688610867705	0.29155302942401645	Metab_321	seawater	20210126	dawn	Day5	Tektite	CINAR_BC_105
CINAR_BC_75	0.14443413547011136	-0.10508040651738226	Metab_322	seawater	20210125	dawn	Day4	Tektite	NA
CINAR_BC_42	-0.2163980938478558	-0.11050573919910615	Metab_224	seawater	20210123	peak_photo	Day2	Tektite	CINAR_BC_42
CINAR_BC_36	-0.5098102791751996	0.009376032495635586	Metab_231	seawater	20210123	dawn	Day2	Tektite	NA
CINAR_BC_50	-0.09784253495764261	-0.03099574564777419	Metab_186	seawater	20210123	peak_photo	Day2	Yawzi	NA
CINAR_BC_76	0.37158543730764876	-0.0365517119810266	Metab_222	seawater	20210123	dawn	Day2	Yawzi	NA
CINAR_BC_78	-0.0677788820727034	-0.0535021097641264	Metab_225	seawater	20210123	dawn	Day2	Yawzi	NA
CINAR_BC_39	-0.10219777983976987	-0.04915546024640214	Metab_228	seawater	20210123	dawn	Day2	Yawzi	NA
CINAR_BC_40	-0.13350163763130984	-0.0027959030457041867	Metab_228	seawater	20210123	dawn	Day2	Yawzi	NA
CINAR_BC_46	0.44308509480297753	0.17167815581497914	Metab_230	seawater	20210123	peak_photo	Day2	Yawzi	NA
CINAR_BC_45	-0.06251680345958112	0.008179426634530326	Metab_239	seawater	20210123	peak_photo	Day2	Yawzi	NA
CINAR_BC_97	0.5139761407945582	0.0917199593661891	Metab_267	seawater	20210125	peak_photo	Day4	Yawzi	NA
CINAR_BC_71	-0.17580578024316365	0.12137567442372237	Metab_269	seawater	20210124	peak_photo	Day3	Yawzi	CINAR_BC_71
CINAR_BC_67	-0.5233917141709229	0.1235980428177231	Metab_271	seawater	20210124	peak_photo	Day3	Yawzi	CINAR_BC_67
CINAR_BC_69	-0.44827248409087156	-0.17744550704357331	Metab_274	seawater	20210124	peak_photo	Day3	Yawzi	CINAR_BC_69
CINAR_BC_91	0.07207664407997132	-0.06149837968736622	Metab_276	seawater	20210125	peak_photo	Day4	Yawzi	NA
CINAR_BC_53	-0.1839625465285886	0.060209785646177655	Metab_284	seawater	20210124	dawn	Day3	Yawzi	NA
