asv_id	dawn (Tektite - LB_seagrass)	dawn (Yawzi - LB_seagrass)	peak_photo (Tektite - LB_seagrass)	peak_photo (Yawzi - LB_seagrass)	peak_photo (Yawzi - Tektite)	dawn (Yawzi - Tektite)	LB_seagrass (peak_photo - dawn)	Yawzi (peak_photo - dawn)	Tektite (peak_photo - dawn)	test_type	Domain	Phylum	Class	Order	Family	Genus	Species
ASV_00001	deseq	deseq				deseq	deseq			deseq	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Synechococcus CC9902	Synechococcus CC9902
ASV_00002	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob			deseq_corncob	deseq		all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	Clade Ia
ASV_00003	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob		deseq_corncob		all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	HIMB11	HIMB11
ASV_00004	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob		deseq_corncob	deseq	deseq		all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4 marine group	NS4 marine group
ASV_00005	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob		deseq	deseq_corncob	deseq		all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	Clade Ia
ASV_00006	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob	deseq	deseq_corncob		deseq		all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae	Cryomorphaceae
ASV_00007	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob		deseq_corncob	deseq			all	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Prochlorococcus MIT9313	marinus
ASV_00008	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob			deseq			all	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade	SAR86 clade
ASV_00009	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob	deseq	deseq_corncob	deseq	all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae	Flavobacteriaceae
ASV_00010	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob		deseq_corncob	deseq_corncob	deseq_corncob		all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	Clade Ia
ASV_00011	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob			deseq			all	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade	SAR86 clade
ASV_00012	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob		deseq	deseq_corncob	deseq		all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II	Clade II
ASV_00013	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob						all	Bacteria	Actinobacteriota	Acidimicrobia	Actinomarinales	Actinomarinaceae	Candidatus Actinomarina	Candidatus Actinomarina
ASV_00014	deseq_corncob	corncob	deseq_corncob	corncob						all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	NS5 marine group
ASV_00016	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob		corncob				all	Bacteria	Actinobacteriota	Acidimicrobia	Actinomarinales	Actinomarinaceae	Candidatus Actinomarina	Candidatus Actinomarina
ASV_00017	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob			deseq			all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group	AEGEAN-169 marine group
ASV_00018	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob					corncob	all	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Coraliomargarita	Coraliomargarita
ASV_00019	deseq_corncob	deseq_corncob	deseq	deseq						all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS2b marine group	NS2b marine group
ASV_00020	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob			deseq	deseq		all	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade	SAR86 clade
ASV_00021	deseq_corncob	deseq_corncob		corncob		deseq	deseq			all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae	Rhodobacteraceae
ASV_00022	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob		deseq				all	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Synechococcus CC9902	Synechococcus CC9902
ASV_00023	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob	corncob	deseq_corncob	deseq_corncob	deseq_corncob		all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ib	Clade Ib
ASV_00024	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob		deseq_corncob		deseq_corncob		all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae	Rhodobacteraceae
ASV_00025	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob		deseq		deseq		all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	NS5 marine group
ASV_00026	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob		deseq		deseq_corncob		all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group	AEGEAN-169 marine group
ASV_00027	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob		deseq		deseq_corncob		all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	NS5 marine group
ASV_00028	deseq	deseq		deseq						deseq	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	maltophilia
ASV_00029	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob			deseq	deseq		all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116 clade	SAR116 clade	SAR116 clade
ASV_00030	deseq_corncob	deseq	deseq_corncob	deseq_corncob						all	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Synechococcus CC9902	Synechococcus CC9902
ASV_00031	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob			deseq	deseq		all	Bacteria	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)
ASV_00032	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob		deseq_corncob		deseq_corncob		all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	NS5 marine group
ASV_00034	deseq_corncob	deseq	deseq_corncob	deseq						all	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Synechococcus CC9902	Synechococcus CC9902
ASV_00035	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob	corncob	deseq_corncob		deseq_corncob		all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ib	Clade Ib
ASV_00036	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob		corncob		deseq		all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NS9 marine group	NS9 marine group
ASV_00037	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob		corncob				all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II	Clade II
ASV_00038	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob		deseq_corncob	deseq	deseq_corncob		all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Formosa	Formosa
ASV_00039	deseq_corncob	deseq_corncob	deseq	deseq_corncob	corncob					all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae	Rhodobacteraceae
ASV_00040	deseq_corncob	deseq_corncob	deseq	deseq		deseq_corncob	deseq	deseq		all	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	OM60(NOR5) clade	OM60(NOR5) clade
ASV_00043	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob	corncob	deseq_corncob	deseq	deseq_corncob		all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	NS5 marine group
ASV_00045	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob	corncob	deseq_corncob	deseq	deseq_corncob		all	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS7 marine group	NS7 marine group	NS7 marine group
ASV_00046	deseq_corncob	deseq_corncob	deseq_corncob	deseq_corncob		deseq		deseq_corncob		all	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade	SAR86 clade
