asv_id	Yawzi_peak_photo - LB_seagrass	dawn (Yawzi - LB_seagrass)	dawn (Tektite - LB_seagrass)	peak_photo (Yawzi - LB_seagrass)	peak_photo (Tektite - LB_seagrass)	LB_seagrass (peak_photo - dawn)	dawn (Yawzi - Tektite)	peak_photo (Yawzi - Tektite)	Yawzi (peak_photo - dawn)	Tektite (peak_photo - dawn)	Yawzi_dawn - LB_seagrass_dawn	Tektite_peak_photo - LB_seagrass	Tektite_dawn - LB_seagrass_dawn	Yawzi_dawn - LB_seagrass	Tektite_dawn - LB_seagrass	Tektite_peak_photo - LB_seagrass_peak_photo	Yawzi_peak_photo - LB_seagrass_peak_photo	test_type	taxonomy	Domain	Phylum	Class	Order	Family	Genus	Species
ASV_00001	deseq																	deseq	Cyanobacteria;Synechococcus CC9902	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Synechococcus CC9902	
ASV_00002		corncob	corncob	corncob	corncob	corncob												corncob	Alphaproteobacteria;SAR11 Clade Ia	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	
ASV_00003		corncob	corncob	corncob	corncob		corncob	corncob	corncob									corncob	Alphaproteobacteria;HIMB11	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	HIMB11	
ASV_00004		corncob	corncob	corncob	corncob		corncob											corncob	Bacteroidia;NS4 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4 marine group	
ASV_00005		corncob	corncob	corncob	corncob	corncob												corncob	Alphaproteobacteria;SAR11 Clade Ia	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	
ASV_00006		corncob	corncob	corncob	corncob		corncob											corncob	Bacteroidia;Cryomorphaceae	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae		
ASV_00007		corncob	corncob	corncob	corncob		corncob											corncob	Cyanobacteria;Prochlorococcus MIT9313	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Prochlorococcus MIT9313	marinus
ASV_00008	deseq	corncob	corncob	corncob	corncob													all	Gammaproteobacteria;SAR86 clade	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade		
ASV_00009		corncob	corncob	corncob	corncob		corncob	corncob	corncob									corncob	Bacteroidia;Flavobacteriaceae	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae		
ASV_00010		corncob	corncob	corncob	corncob	corncob	corncob		corncob									corncob	Alphaproteobacteria;SAR11 Clade Ia	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	
