contrast	asv_id	estimate	pval	group	site	commonid	test_type	model	sampling_time	Combo	baseline	baseMean	padj	log2FoldChange_MMSE	pair1	pair2	hold	variable	p_fdr
Tektite_dawn - all_peak_photo	ASV_00002	14.656685780943487	1.2897633220160405e-4	high_dawn	Tektite	dawn	rademu	auto_fit	dawn	Tektite_d	all_peak_photo				Tektite_dawn	all_peak_photo			
Yawzi_dawn - all_peak_photo	ASV_00002	14.602405651815051	1.327449783933823e-4	high_dawn	Yawzi	dawn	rademu	auto_fit	dawn	Yawzi_d	all_peak_photo				Yawzi_dawn	all_peak_photo			
Tektite_dawn - all_peak_photo	ASV_00003	13.340764270796035	2.5969848547273573e-4	low_dawn	Tektite	dawn	rademu	auto_fit	dawn	Tektite_d	all_peak_photo				Tektite_dawn	all_peak_photo			
Yawzi_dawn - all_peak_photo	ASV_00003	14.687565879184225	1.2688060120486124e-4	low_dawn	Yawzi	dawn	rademu	auto_fit	dawn	Yawzi_d	all_peak_photo				Yawzi_dawn	all_peak_photo			
Tektite_dawn - all_peak_photo	ASV_00006	14.344174927653441	1.5225002133389717e-4	low_dawn	Tektite	dawn	rademu	auto_fit	dawn	Tektite_d	all_peak_photo				Tektite_dawn	all_peak_photo			
Yawzi_dawn - all_peak_photo	ASV_00006	14.426512497430764	1.4573605260662589e-4	low_dawn	Yawzi	dawn	rademu	auto_fit	dawn	Yawzi_d	all_peak_photo				Yawzi_dawn	all_peak_photo			
Tektite_dawn - all_peak_photo	ASV_00007	12.686605086431586	3.6828431792344145e-4	high_dawn	Tektite	dawn	rademu	auto_fit	dawn	Tektite_d	all_peak_photo				Tektite_dawn	all_peak_photo			
Yawzi_dawn - all_peak_photo	ASV_00007	13.670802790028349	2.1781480129917072e-4	high_dawn	Yawzi	dawn	rademu	auto_fit	dawn	Yawzi_d	all_peak_photo				Yawzi_dawn	all_peak_photo			
Tektite_dawn - all_peak_photo	ASV_00008	14.516026164959353	1.389722383551048e-4	high_dawn	Tektite	dawn	rademu	auto_fit	dawn	Tektite_d	all_peak_photo				Tektite_dawn	all_peak_photo			
Yawzi_dawn - all_peak_photo	ASV_00008	14.011363692595083	1.8170913699205678e-4	high_dawn	Yawzi	dawn	rademu	auto_fit	dawn	Yawzi_d	all_peak_photo				Yawzi_dawn	all_peak_photo			
Tektite_dawn - all_peak_photo	ASV_00009	14.358917246998748	1.5106253386962314e-4	low_dawn	Tektite	dawn	rademu	auto_fit	dawn	Tektite_d	all_peak_photo				Tektite_dawn	all_peak_photo			
Yawzi_dawn - all_peak_photo	ASV_00009	14.393094235085115	1.4834533861438233e-4	low_dawn	Yawzi	dawn	rademu	auto_fit	dawn	Yawzi_d	all_peak_photo				Yawzi_dawn	all_peak_photo			
Tektite_dawn - all_peak_photo	ASV_00012	14.37461334554801	1.4980846864619778e-4	high_dawn	Tektite	dawn	rademu	auto_fit	dawn	Tektite_d	all_peak_photo				Tektite_dawn	all_peak_photo			
Yawzi_dawn - all_peak_photo	ASV_00012	14.440138945155189	1.4468541334910725e-4	high_dawn	Yawzi	dawn	rademu	auto_fit	dawn	Yawzi_d	all_peak_photo				Yawzi_dawn	all_peak_photo			
Tektite_dawn - all_peak_photo	ASV_00017	14.579643576377428	1.343581515611903e-4	high_dawn	Tektite	dawn	rademu	auto_fit	dawn	Tektite_d	all_peak_photo				Tektite_dawn	all_peak_photo			
Yawzi_dawn - all_peak_photo	ASV_00017	14.557908214648036	1.3591698020618483e-4	high_dawn	Yawzi	dawn	rademu	auto_fit	dawn	Yawzi_d	all_peak_photo				Yawzi_dawn	all_peak_photo			
Tektite_dawn - all_peak_photo	ASV_00023	14.406017075542835	1.4733079530075588e-4	high_dawn	Tektite	dawn	rademu	auto_fit	dawn	Tektite_d	all_peak_photo				Tektite_dawn	all_peak_photo			
Yawzi_dawn - all_peak_photo	ASV_00023	14.565774376020645	1.353507390493501e-4	high_dawn	Yawzi	dawn	rademu	auto_fit	dawn	Yawzi_d	all_peak_photo				Yawzi_dawn	all_peak_photo			
Tektite_dawn - all_peak_photo	ASV_00031	14.343048866260316	1.523411105846522e-4	high_dawn	Tektite	dawn	rademu	auto_fit	dawn	Tektite_d	all_peak_photo				Tektite_dawn	all_peak_photo			
Yawzi_dawn - all_peak_photo	ASV_00031	14.529840559461503	1.3795692328583085e-4	high_dawn	Yawzi	dawn	rademu	auto_fit	dawn	Yawzi_d	all_peak_photo				Yawzi_dawn	all_peak_photo			
