asv_id	dawn (Tektite - LB_seagrass)	Tektite_dawn - all_peak_photo	Yawzi_dawn - all_peak_photo	Tektite - LB_seagrass_all	Yawzi - LB_seagrass_all	Tektite_dawn - LB_seagrass_all	Yawzi_dawn - LB_seagrass_all	Tektite_peak_photo - LB_seagrass_all	Yawzi_peak_photo - LB_seagrass_all	dawn (Yawzi - LB_seagrass)	peak_photo (Yawzi - LB_seagrass)	peak_photo (Tektite - LB_seagrass)	LB_seagrass (peak_photo - dawn)	Yawzi (peak_photo - dawn)	dawn (Yawzi - Tektite)	peak_photo (Yawzi - Tektite)	Tektite_dawn - LB_seagrass_dawn	Yawzi_dawn - LB_seagrass_dawn	Tektite_peak_photo - LB_seagrass_peak_photo	Tektite_dawn - LB_seagrass	Tektite_peak_photo - LB_seagrass	Yawzi_peak_photo - LB_seagrass	Tektite (peak_photo - dawn)	Yawzi_peak_photo - LB_seagrass_peak_photo	Yawzi_dawn - LB_seagrass	test_type	Domain	Phylum	Class	Order	Family	Genus	taxonomy
ASV_00001	corncob																									corncob	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Synechococcus CC9902	Cyanobacteria;Synechococcus CC9902
ASV_00002	corncob	rademu	rademu	rademu	rademu	rademu	rademu	rademu	rademu	corncob	corncob	corncob	corncob	corncob												rademu_corncob	Bacteria	Alphaproteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	Alphaproteobacteria;SAR11 Clade Ia
ASV_00003	corncob	rademu	rademu	rademu	rademu	rademu	rademu	rademu	rademu	corncob	corncob	corncob		corncob	corncob	corncob										rademu_corncob	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	HIMB11	Alphaproteobacteria;HIMB11
ASV_00004	corncob									corncob	corncob	corncob			corncob		deseq	deseq	deseq							deseq_corncob	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4 marine group	Bacteroidia;NS4 marine group
ASV_00006	corncob	rademu	rademu	rademu	rademu	rademu	rademu	rademu	rademu	corncob	corncob	corncob		corncob	corncob	corncob										rademu_corncob	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae	Bacteroidia;Cryomorphaceae
ASV_00007	corncob	rademu	rademu	rademu	rademu	rademu	rademu	rademu	rademu	corncob	corncob	corncob			corncob		deseq	deseq	deseq							all	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Prochlorococcus MIT9313	Cyanobacteria;Prochlorococcus MIT9313
ASV_00008	corncob	rademu	rademu			rademu	rademu	rademu	rademu	corncob	corncob	corncob					deseq	deseq	deseq							all	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade	Gammaproteobacteria;SAR86 clade
ASV_00009	corncob	rademu	rademu	rademu	rademu	rademu	rademu	rademu	rademu	corncob	corncob	corncob		corncob	corncob	corncob										rademu_corncob	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae	Bacteroidia;Flavobacteriaceae
ASV_00012	corncob	rademu	rademu			rademu	rademu	rademu	rademu	corncob	corncob	corncob	corncob	corncob	corncob		deseq	deseq	deseq							all	Bacteria	Alphaproteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II	Alphaproteobacteria;SAR11 Clade II
ASV_00013	corncob									corncob	corncob	corncob			corncob											corncob	Bacteria	Actinobacteriota	Acidimicrobia	Actinomarinales	Actinomarinaceae	Candidatus Actinomarina	Acidimicrobia;Candidatus Actinomarina
