var1	ASV_00001	ASV_00002	ASV_00008	ASV_00014	ASV_00004	ASV_00003	ASV_00006	ASV_00015	ASV_00013	ASV_00021	ASV_00012	ASV_00017	ASV_00009	ASV_00007	ASV_00023	ASV_00040	ASV_00036	ASV_00019	ASV_00031	ASV_00018	ASV_00051	ASV_00057	ASV_00028	ASV_00038	ASV_00064	ASV_00045	ASV_00103	ASV_00133	ASV_00060	ASV_00053	ASV_00066	ASV_00054	ASV_00058	ASV_00059	ASV_00150	ASV_00072	ASV_00080	ASV_00084	ASV_00093	ASV_00092	ASV_00111	ASV_00125	ASV_00119	ASV_00097	ASV_00096	ASV_00124	ASV_00094	ASV_00105	ASV_00215	ASV_00147	ASV_00240	ASV_00164	ASV_00217	ASV_00129	ASV_00191	ASV_00155	ASV_00269	ASV_00131	ASV_00130	ASV_00138	ASV_01134	ASV_00146	ASV_00361	ASV_00168	ASV_00153	ASV_00227	ASV_00171	ASV_00229	ASV_00177	ASV_00290	ASV_00624	ASV_00209	ASV_00243	ASV_00392	ASV_00231	ASV_00236	ASV_00314	ASV_00251	ASV_00256	ASV_00260	ASV_00524	ASV_00271	ASV_00264	ASV_00282	ASV_00277	ASV_00441	ASV_00370	ASV_00186	ASV_00317	ASV_00300	ASV_00349	ASV_00337	ASV_00451	ASV_00313	ASV_00307	ASV_00389	ASV_00346	ASV_00400	ASV_00568	ASV_00323	2'deoxycytidine	3'AMP	4-aminobenzoic acid	5'AMP	5'UMP	alanine	amMP	arginine	asparagine	aspartate	ciliatine	citrulline	cysteate	cysteine 2	cytidine	DHPS	folate	GABA	glutamic acid	glutamine	glutathione 2	glycine	guanosine	histidine	homoserine betaine	isethionate	isoleucine	kynurenine	leucine	lysine 2	malic acid	methionine	N-acetyl-muramic acid	ornithine 2	pantothenic acid	phenylalanine	proline	putrescine 2	sarcosine	serine	sn-glycerol 3-phosphate	spermidine 3	taurine	threonine	tryptamine	tryptophan	tyrosine	uridine	valine
ASV_00001	0	0	-0.04405712724430941	0	0.014704945079801801	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.06878824901689146	0	0	-0.03443680619211045	0	0	0	0	0	-0.12231050024343734	0	0	0.013688313166264426	0	0	0.07344007603136207	0	0	0	0	0	0	0	0	0	0	0	0	0.014687999769693733	0	0.08239082829307212	0	0	0	0	0	0	0	0	0.07379035548638738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07076734740084781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00002	0	0	0	0	0	0	0	0	0	0	0.2236041257466079	0	0	0	0.14850418881176358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008052906486597872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00008	-0.04405712724430941	0	0	0	0	0	0	0.3596744920818264	0	0	0	0	0	0	0	0	0	0	0.0931282244163869	0	0	0	0	0	0	0	0	0	0	0.04693114485680247	0	0	-0.026380186677680717	0	0	0.038365527564728025	0	0	0	0	0	0	0.10634664404089425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.008521915368921773	0	0	0	0	0	0	0	0	0	0	0	0	-0.020639438695466056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00014	0	0	0	0	0.38650926926182416	0	0	0	0	0	0	0	0	0	0	0	0.07085531887920182	0	0	0	0	0	0	0.16481152931985957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.02802193283295104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.013312764781097303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00004	0.014704945079801801	0	0	0.38650926926182416	0	0	0	0	0	0.005253624216177449	-0.028215719715555726	0	0	0	0	0	0.06293497337344925	0.3421187237934842	0	0	0	0	0	0.07039912401946793	0	0	0	0	0	0	0	0	0	0.004168563774519213	0	0	0.052622448599527166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00003	0	0	0	0	0	0	0.3175627004732836	0	0	0.1043009439646978	-0.03210013711226839	0	0	0	0	0	0	0	0	-0.052181798910704014	0	0	0	0.159649437387884	0	0.0076931815232869905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11012041184443497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00006	0	0	0	0	0	0.3175627004732836	0	0	0	0	0	0	0.2702482536939573	0	0	0	0.21045658269379502	0	0	0	0	0	0	0	0	0.004818688991808595	0	0	0	0	0	0	0	0	0	0	0.027663562799433633	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033554119613233874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02253222539107072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00015	0	0	0.3596744920818264	0	0	0	0	0	0	0	0	0.050209367032114205	0	0	0	0	0	0	0	0	0	0.17226330277298638	0	0	0	0	0.005255642096988533	0.10578629661326439	0	0	0	0	0	0	0	0	0	-0.009929519209112503	0	0	0	0	0	0	0.06178853701376805	0	0	0	0	0	0	-0.01574775077310106	0	0	0	0	0	0	0.026885529136770475	0	0	0	0	0	0.048114779629197135	-0.032693341044360585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00013	0	0	0	0	0	0	0	0	0	0.1097492588526349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007190626432608288	0	-0.2347813210836423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04317077529524607	0	0	0.06642311781632554	0	-0.005223726276921414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00021	0	0	0	0	0.005253624216177449	0.1043009439646978	0	0	0.1097492588526349	0	0	0	0	-0.07694383467778604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.02093576162186689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
