var1	ASV_00001	ASV_00002	ASV_00008	ASV_00014	ASV_00004	ASV_00003	ASV_00006	ASV_00015	ASV_00013	ASV_00021	ASV_00012	ASV_00017	ASV_00009	ASV_00007	ASV_00023	ASV_00040	ASV_00036	ASV_00019	ASV_00031	ASV_00018	ASV_00051	ASV_00057	ASV_00028	ASV_00038	ASV_00064	ASV_00045	ASV_00103	ASV_00133	ASV_00060	ASV_00053	ASV_00066	ASV_00054	ASV_00058	ASV_00059	ASV_00150	ASV_00072	ASV_00080	ASV_00084	ASV_00093	ASV_00092	ASV_00111	ASV_00125	ASV_00119	ASV_00097	ASV_00096	ASV_00124	ASV_00094	ASV_00105	ASV_00215	ASV_00147	ASV_00240	ASV_00164	ASV_00217	ASV_00129	ASV_00191	ASV_00155	ASV_00269	ASV_00131	ASV_00130	ASV_00138	ASV_01134	ASV_00146	ASV_00361	ASV_00168	ASV_00153	ASV_00227	ASV_00171	ASV_00229	ASV_00177	ASV_00290	ASV_00624	ASV_00209	ASV_00243	ASV_00392	ASV_00231	ASV_00236	ASV_00314	ASV_00251	ASV_00256	ASV_00260	ASV_00524	ASV_00271	ASV_00264	ASV_00282	ASV_00277	ASV_00441	ASV_00370	ASV_00186	ASV_00317	ASV_00300	ASV_00349	ASV_00337	ASV_00451	ASV_00313	ASV_00307	ASV_00389	ASV_00346	ASV_00400	ASV_00568	ASV_00323	2'deoxycytidine	3'AMP	4-aminobenzoic acid	5'AMP	5'UMP	alanine	amMP	arginine	asparagine	aspartate	ciliatine	citrulline	cysteate	cysteine 2	cytidine	DHPS	folate	GABA	glutamic acid	glutamine	glutathione 2	glycine	guanosine	histidine	homoserine betaine	isethionate	isoleucine	kynurenine	leucine	lysine 2	malic acid	methionine	N-acetyl-muramic acid	ornithine 2	pantothenic acid	phenylalanine	proline	putrescine 2	sarcosine	serine	sn-glycerol 3-phosphate	spermidine 3	taurine	threonine	tryptamine	tryptophan	tyrosine	uridine	valine
ASV_00001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021216489105179787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06134968550978728	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0771658599251192	0	0	0	0	0.012622681851896106	0	0	0	0.0797169561841049	0	0	0	0	0	0	0	0	0	0	0	0.10001408525009078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021722894212771876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00002	0	0	0	0	-0.002720423268159522	0	0	0.030389415372077594	0	0	0.2286898303788924	0.4032539935947216	0	0	0.05926851075760528	0	0	0	0	0	0	0	0	0	0	-0.07254238279971983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.07728523293343784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00008	0	0	0	0	0	0	0	0.16159103151966514	0.024144119738398057	0	0	0	0	0	0	0.1077042450540566	0	0	0.09541980927012123	0.0945907608575294	0	0	0	0	0	0	0.2476813826486179	0.06362470151697872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.03606633441973475	0	0	0	0	0	0	0	0	-0.011992262970322631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00014	0	0	0	0	0	0	0	0	0	0	0	-0.086058308014381385	0	-0.19409584615724668	-0.010023668148899767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13919776268965703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00004	0	-0.002720423268159522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023088928791629743	0	0	0	0	0	0.3773464086499893	0	0.17539545017483082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038183629253512624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00003	0	0	0	0	0	0	0.013066522383719775	0	0	0.1603803997622152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22480367677700497	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07118406769769944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006331973990638506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00006	0	0	0	0	0	0.013066522383719775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0016342365815352755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.05817053069397857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.02168830614760628	0	0	0	0.17599128803039543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00015	0	0.030389415372077594	0.16159103151966514	0	0	0	0	0	0	0	0	0	0	0.32945439930965614	0	0	0	0	0	0	0	0.036259723997774135	0	0	0	0	0	0.09848462171876879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00013	0	0	0.024144119738398057	0	0	0	0	0	0	0	0	0.022587379288958348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028550614495968712	0	0	-0.0016026818181955615	0	0	0	0	0	0.17185647891022343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.09342655416880688	0	0	0	0	0	0	0	0	0	0	0	0	-0.035207339933468446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00021	0	0	0	0	0	0.1603803997622152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0025047171519823608	0	0	0	0	0	0	0	0	0	0.0626122320702969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.021311544775395402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.024962977678663706	-0.03608760204079528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
