site	v1	v2	asso	type
reef	ASV_00001	valine	NA	taxon
reef	ASV_00001	uridine	NA	taxon
reef	ASV_00001	tyrosine	NA	taxon
reef	ASV_00001	tryptophan	NA	taxon
reef	ASV_00001	tryptamine	NA	taxon
reef	ASV_00001	threonine	NA	taxon
reef	ASV_00001	taurine	NA	taxon
reef	ASV_00001	spermidine 3	NA	taxon
reef	ASV_00001	sn-glycerol 3-phosphate	NA	taxon
reef	ASV_00001	serine	NA	taxon
reef	ASV_00001	sarcosine	NA	taxon
reef	ASV_00001	putrescine 2	NA	taxon
reef	ASV_00001	proline	NA	taxon
reef	ASV_00001	phenylalanine	NA	taxon
reef	ASV_00001	pantothenic acid	NA	taxon
reef	ASV_00001	ornithine 2	NA	taxon
reef	ASV_00001	N-acetyl-muramic acid	NA	taxon
reef	ASV_00001	methionine	NA	taxon
reef	ASV_00001	malic acid	NA	taxon
reef	ASV_00001	lysine 2	NA	taxon
reef	ASV_00001	leucine	NA	taxon
reef	ASV_00001	kynurenine	NA	taxon
reef	ASV_00001	isoleucine	NA	taxon
reef	ASV_00001	isethionate	NA	taxon
reef	ASV_00001	homoserine betaine	NA	taxon
reef	ASV_00001	histidine	NA	taxon
reef	ASV_00001	guanosine	NA	taxon
reef	ASV_00001	glycine	NA	taxon
reef	ASV_00001	glutathione 2	NA	taxon
reef	ASV_00001	glutamine	NA	taxon
reef	ASV_00001	glutamic acid	NA	taxon
reef	ASV_00001	GABA	NA	taxon
reef	ASV_00001	folate	NA	taxon
reef	ASV_00001	DHPS	NA	taxon
reef	ASV_00001	cytidine	NA	taxon
reef	ASV_00001	cysteine 2	NA	taxon
reef	ASV_00001	cysteate	NA	taxon
reef	ASV_00001	citrulline	NA	taxon
reef	ASV_00001	ciliatine	NA	taxon
reef	ASV_00001	aspartate	NA	taxon
reef	ASV_00001	asparagine	NA	taxon
reef	ASV_00001	arginine	NA	taxon
reef	ASV_00001	amMP	NA	taxon
reef	ASV_00001	alanine	NA	taxon
reef	ASV_00001	5'UMP	NA	taxon
reef	ASV_00001	5'AMP	NA	taxon
reef	ASV_00001	4-aminobenzoic acid	NA	taxon
reef	ASV_00001	3'AMP	NA	taxon
reef	ASV_00001	2'deoxycytidine	NA	taxon
reef	ASV_00001	ASV_00323	NA	taxon
reef	ASV_00001	ASV_00568	NA	taxon
reef	ASV_00001	ASV_00400	NA	taxon
reef	ASV_00001	ASV_00346	NA	taxon
reef	ASV_00001	ASV_00389	NA	taxon
reef	ASV_00001	ASV_00307	NA	taxon
reef	ASV_00001	ASV_00313	NA	taxon
reef	ASV_00001	ASV_00451	NA	taxon
reef	ASV_00001	ASV_00337	NA	taxon
reef	ASV_00001	ASV_00349	NA	taxon
reef	ASV_00001	ASV_00300	NA	taxon
reef	ASV_00001	ASV_00317	NA	taxon
reef	ASV_00001	ASV_00186	NA	taxon
reef	ASV_00001	ASV_00370	NA	taxon
reef	ASV_00001	ASV_00441	NA	taxon
reef	ASV_00001	ASV_00277	NA	taxon
reef	ASV_00001	ASV_00282	NA	taxon
reef	ASV_00001	ASV_00264	NA	taxon
reef	ASV_00001	ASV_00271	0.07076734740084781	taxon
reef	ASV_00001	ASV_00524	NA	taxon
reef	ASV_00001	ASV_00260	NA	taxon
reef	ASV_00001	ASV_00256	NA	taxon
reef	ASV_00001	ASV_00251	NA	taxon
reef	ASV_00001	ASV_00314	NA	taxon
reef	ASV_00001	ASV_00236	NA	taxon
reef	ASV_00001	ASV_00231	NA	taxon
reef	ASV_00001	ASV_00392	NA	taxon
reef	ASV_00001	ASV_00243	NA	taxon
reef	ASV_00001	ASV_00209	NA	taxon
reef	ASV_00001	ASV_00624	NA	taxon
reef	ASV_00001	ASV_00290	NA	taxon
reef	ASV_00001	ASV_00177	NA	taxon
reef	ASV_00001	ASV_00229	NA	taxon
reef	ASV_00001	ASV_00171	NA	taxon
reef	ASV_00001	ASV_00227	NA	taxon
reef	ASV_00001	ASV_00153	NA	taxon
reef	ASV_00001	ASV_00168	NA	taxon
reef	ASV_00001	ASV_00361	NA	taxon
reef	ASV_00001	ASV_00146	NA	taxon
reef	ASV_00001	ASV_01134	NA	taxon
reef	ASV_00001	ASV_00138	NA	taxon
reef	ASV_00001	ASV_00130	NA	taxon
reef	ASV_00001	ASV_00131	0.07379035548638738	taxon
reef	ASV_00001	ASV_00269	NA	taxon
reef	ASV_00001	ASV_00155	NA	taxon
reef	ASV_00001	ASV_00191	NA	taxon
reef	ASV_00001	ASV_00129	NA	taxon
reef	ASV_00001	ASV_00217	NA	taxon
reef	ASV_00001	ASV_00164	NA	taxon
reef	ASV_00001	ASV_00240	NA	taxon
reef	ASV_00001	ASV_00147	NA	taxon
reef	ASV_00001	ASV_00215	0.08239082829307212	taxon
reef	ASV_00001	ASV_00105	NA	taxon
reef	ASV_00001	ASV_00094	0.014687999769693733	taxon
reef	ASV_00001	ASV_00124	NA	taxon
reef	ASV_00001	ASV_00096	NA	taxon
reef	ASV_00001	ASV_00097	NA	taxon
reef	ASV_00001	ASV_00119	NA	taxon
reef	ASV_00001	ASV_00125	NA	taxon
reef	ASV_00001	ASV_00111	NA	taxon
reef	ASV_00001	ASV_00092	NA	taxon
reef	ASV_00001	ASV_00093	NA	taxon
reef	ASV_00001	ASV_00084	NA	taxon
reef	ASV_00001	ASV_00080	NA	taxon
reef	ASV_00001	ASV_00072	NA	taxon
reef	ASV_00001	ASV_00150	NA	taxon
reef	ASV_00001	ASV_00059	0.07344007603136207	taxon
reef	ASV_00001	ASV_00058	NA	taxon
reef	ASV_00001	ASV_00054	NA	taxon
reef	ASV_00001	ASV_00066	0.013688313166264426	taxon
reef	ASV_00001	ASV_00053	NA	taxon
reef	ASV_00001	ASV_00060	NA	taxon
reef	ASV_00001	ASV_00133	-0.12231050024343734	taxon
reef	ASV_00001	ASV_00103	NA	taxon
reef	ASV_00001	ASV_00045	NA	taxon
reef	ASV_00001	ASV_00064	NA	taxon
reef	ASV_00001	ASV_00038	NA	taxon
reef	ASV_00001	ASV_00028	NA	taxon
reef	ASV_00001	ASV_00057	-0.03443680619211045	taxon
reef	ASV_00001	ASV_00051	NA	taxon
reef	ASV_00001	ASV_00018	NA	taxon
reef	ASV_00001	ASV_00031	-0.06878824901689146	taxon
reef	ASV_00001	ASV_00019	NA	taxon
reef	ASV_00001	ASV_00036	NA	taxon
reef	ASV_00001	ASV_00040	NA	taxon
reef	ASV_00001	ASV_00023	NA	taxon
reef	ASV_00001	ASV_00007	NA	taxon
reef	ASV_00001	ASV_00009	NA	taxon
reef	ASV_00001	ASV_00017	NA	taxon
reef	ASV_00001	ASV_00012	NA	taxon
