sample_id	site	sampling_day	sampling_time	sample_order	total_seqs
Metab_182	Lameshur Bay seagrass	Day1	Dawn	1	112319
Metab_191	Lameshur Bay seagrass	Day1	Dawn	2	82737
Metab_194	Lameshur Bay seagrass	Day1	Dawn	3	97897
Metab_181	Lameshur Bay seagrass	Day1	Peak photosynthesis	1	97059
Metab_193	Lameshur Bay seagrass	Day1	Peak photosynthesis	2	98670
Metab_199	Lameshur Bay seagrass	Day1	Peak photosynthesis	3	18535
Metab_219	Lameshur Bay seagrass	Day2	Dawn	4	84955
Metab_237	Lameshur Bay seagrass	Day2	Dawn	5	18346
Metab_240	Lameshur Bay seagrass	Day2	Dawn	6	58108
Metab_183	Lameshur Bay seagrass	Day2	Peak photosynthesis	4	100600
Metab_189	Lameshur Bay seagrass	Day2	Peak photosynthesis	5	111503
Metab_233	Lameshur Bay seagrass	Day2	Peak photosynthesis	6	93111
Metab_272	Lameshur Bay seagrass	Day3	Dawn	7	105467
Metab_281	Lameshur Bay seagrass	Day3	Dawn	8	79925
Metab_287	Lameshur Bay seagrass	Day3	Dawn	9	82889
Metab_280	Lameshur Bay seagrass	Day3	Peak photosynthesis	7	96759
Metab_286	Lameshur Bay seagrass	Day3	Peak photosynthesis	8	73773
Metab_289	Lameshur Bay seagrass	Day3	Peak photosynthesis	9	78554
Metab_328	Lameshur Bay seagrass	Day4	Dawn	10	89797
Metab_334	Lameshur Bay seagrass	Day4	Dawn	11	83825
Metab_337	Lameshur Bay seagrass	Day4	Dawn	12	91791
Metab_273	Lameshur Bay seagrass	Day4	Peak photosynthesis	10	96102
Metab_279	Lameshur Bay seagrass	Day4	Peak photosynthesis	11	83652
Metab_282	Lameshur Bay seagrass	Day4	Peak photosynthesis	12	85441
Metab_309	Lameshur Bay seagrass	Day5	Dawn	13	81920
Metab_318	Lameshur Bay seagrass	Day5	Dawn	14	70281
Metab_324	Lameshur Bay seagrass	Day5	Dawn	15	85640
Metab_326	Lameshur Bay seagrass	Day5	Peak photosynthesis	13	88797
Metab_329	Lameshur Bay seagrass	Day5	Peak photosynthesis	14	78673
Metab_332	Lameshur Bay seagrass	Day5	Peak photosynthesis	15	75246
Metab_229	Tektite Reef	Day1	Dawn	1	74210
Metab_232	Tektite Reef	Day1	Dawn	2	84974
Metab_235	Tektite Reef	Day1	Dawn	3	116784
Metab_180	Tektite Reef	Day1	Peak photosynthesis	1	108797
Metab_184	Tektite Reef	Day1	Peak photosynthesis	2	80810
Metab_196	Tektite Reef	Day1	Peak photosynthesis	3	88275
Metab_231	Tektite Reef	Day2	Dawn	4	13942
Metab_234	Tektite Reef	Day2	Dawn	5	91906
Metab_241	Tektite Reef	Day2	Dawn	6	91129
Metab_224	Tektite Reef	Day2	Peak photosynthesis	4	33973
Metab_227	Tektite Reef	Day2	Peak photosynthesis	5	80703
Metab_236	Tektite Reef	Day2	Peak photosynthesis	6	87375
Metab_275	Tektite Reef	Day3	Dawn	7	83613
Metab_278	Tektite Reef	Day3	Dawn	8	75410
Metab_290	Tektite Reef	Day3	Dawn	9	82150
Metab_266	Tektite Reef	Day3	Peak photosynthesis	7	96555
Metab_277	Tektite Reef	Day3	Peak photosynthesis	8	98884
Metab_283	Tektite Reef	Day3	Peak photosynthesis	9	93335
Metab_316	Tektite Reef	Day4	Dawn	10	95840
Metab_319	Tektite Reef	Day4	Dawn	11	67461
Metab_322	Tektite Reef	Day4	Dawn	12	103654
Metab_261	Tektite Reef	Day4	Peak photosynthesis	10	90108
Metab_264	Tektite Reef	Day4	Peak photosynthesis	11	76400
Metab_270	Tektite Reef	Day4	Peak photosynthesis	12	101266
Metab_312	Tektite Reef	Day5	Dawn	13	81691
