Domain	Phylum	Class	Order	Family	Genus	id	tax_level	asv_id	taxonomy	arrangement	arb_rangement	prop_arb_rangement
Archaea	Crenarchaeota	Bathyarchaeia	NA	NA	NA	NA	NA	ASV_04089	Crenarchaeota; Bathyarchaeia	1	350	350
Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	42942	genus	ASV_00499	Nitrososphaeria; Candidatus Nitrosopumilus	2	NA	357
Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	42942	genus	ASV_01430	Nitrososphaeria; Candidatus Nitrosopumilus	3	NA	357
Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	42942	genus	ASV_01950	Nitrososphaeria; Candidatus Nitrosopumilus	4	NA	357
Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	42942	genus	ASV_02026	Nitrososphaeria; Candidatus Nitrosopumilus	5	NA	357
Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Cenarchaeum	42944	genus	ASV_01065	Nitrososphaeria; Cenarchaeum	6	NA	357
Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011_GWC1_47_15	NA	NA	NA	ASV_02146	Nanoarchaeia; GW2011_GWC1_47_15	7	NA	357
Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011_GWC1_47_15	NA	NA	NA	ASV_02946	Nanoarchaeia; GW2011_GWC1_47_15	8	357	357
Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	SCGC AAA011-D5	NA	NA	NA	ASV_01462	Nanoarchaeia; SCGC AAA011-D5	9	NA	349
Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	SCGC AAA011-D5	NA	NA	NA	ASV_02979	Nanoarchaeia; SCGC AAA011-D5	10	NA	349
Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	SCGC AAA011-D5	NA	NA	NA	ASV_03155	Nanoarchaeia; SCGC AAA011-D5	11	NA	349
Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	SCGC AAA011-D5	NA	NA	NA	ASV_03471	Nanoarchaeia; SCGC AAA011-D5	12	NA	349
